Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",1575.7
AUT Forestry and logging,115.9
AUT Fishing and aquaculture,0.2
AUT Mining and quarrying,927.2
"AUT Manufacture of food products, beverages and tobacco products",1031.3
"AUT Manufacture of textiles, wearing apparel and leather products",65.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",359.7
AUT Manufacture of paper and paper products,2205.4
AUT Printing and reproduction of recorded media,23.2
AUT Manufacture of coke and refined petroleum products ,2807.4
AUT Manufacture of chemicals and chemical products ,2205.4
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,5.3
AUT Manufacture of rubber and plastic products,33.5
AUT Manufacture of other non-metallic mineral products,6072.1
AUT Manufacture of basic metals,12776.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",157.9
"AUT Manufacture of computer, electronic and optical products",41.1
AUT Manufacture of electrical equipment,74.2
AUT Manufacture of machinery and equipment n.e.c.,162.6
"AUT Manufacture of motor vehicles, trailers and semi-trailers",81.8
AUT Manufacture of other transport equipment,14.1
AUT Manufacture of furniture; other manufacturing,80.3
AUT Repair and installation of machinery and equipment,19.7
"AUT Electricity, gas, steam and air conditioning supply",10594.5
"AUT Water collection, treatment and supply",224.7
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",100.8
AUT Construction,2930.5
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,176.1
"AUT Wholesale trade, except of motor vehicles and motorcycles",668.3
"AUT Retail trade, except of motor vehicles and motorcycles",570.3
AUT Land transport and transport via pipelines,3568.2
AUT Water transport,89.8
AUT Air transport,2787.6
AUT Warehousing and support activities for transportation,155.8
AUT Postal and courier activities,44.4
AUT Accommodation and food service activities,640.7
AUT Publishing activities,63.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",72.6
AUT Telecommunications,20.1
"AUT Computer programming, consultancy and related activities; information service activities",38.4
"AUT Financial service activities, except insurance and pension funding",57.3
"AUT Insurance, reinsurance and pension funding, except compulsory social security",24.9
AUT Activities auxiliary to financial services and insurance activities,42.5
AUT Real estate activities,52.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,88.8
AUT Architectural and engineering activities; technical testing and analysis,31.8
AUT Scientific research and development,9.4
AUT Advertising and market research,23.3
"AUT Other professional, scientific and technical activities; veterinary activities",54.0
AUT Administrative and support service activities,278.4
