Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",1730.8
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,912.3
"AUT Manufacture of food products, beverages and tobacco products",1218.9
"AUT Manufacture of textiles, wearing apparel and leather products",184.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",618.3
AUT Manufacture of paper and paper products,1606.3
AUT Printing and reproduction of recorded media,36.1
AUT Manufacture of coke and refined petroleum products ,368.1
AUT Manufacture of chemicals and chemical products ,2118.6
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.7
AUT Manufacture of rubber and plastic products,189.3
AUT Manufacture of other non-metallic mineral products,4978.6
AUT Manufacture of basic metals,18847.3
"AUT Manufacture of fabricated metal products, except machinery and equipment",313.6
"AUT Manufacture of computer, electronic and optical products",35.4
AUT Manufacture of electrical equipment,182.8
AUT Manufacture of machinery and equipment n.e.c.,198.0
"AUT Manufacture of motor vehicles, trailers and semi-trailers",153.0
AUT Manufacture of other transport equipment,14.3
AUT Manufacture of furniture; other manufacturing,183.9
AUT Repair and installation of machinery and equipment,34.1
"AUT Electricity, gas, steam and air conditioning supply",14211.2
"AUT Water collection, treatment and supply",18.6
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",100.7
AUT Construction,3499.1
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,425.5
"AUT Wholesale trade, except of motor vehicles and motorcycles",1443.3
"AUT Retail trade, except of motor vehicles and motorcycles",1106.6
AUT Land transport and transport via pipelines,2918.1
AUT Water transport,143.5
AUT Air transport,5631.8
AUT Warehousing and support activities for transportation,106.2
AUT Postal and courier activities,100.1
AUT Accommodation and food service activities,920.3
AUT Publishing activities,3.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",27.0
AUT Telecommunications,32.4
"AUT Computer programming, consultancy and related activities; information service activities",70.0
"AUT Financial service activities, except insurance and pension funding",215.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",21.8
AUT Activities auxiliary to financial services and insurance activities,48.4
AUT Real estate activities,182.3
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,95.0
AUT Scientific research and development,16.4
AUT Advertising and market research,40.0
"AUT Other professional, scientific and technical activities; veterinary activities",47.1
AUT Administrative and support service activities,287.2
