Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",7.147858582256279e+17
AUT Forestry and logging,8.484125754707016e+16
AUT Fishing and aquaculture,2.3118433958168996e+16
AUT Mining and quarrying,2.596314220282651e+18
"AUT Manufacture of food products, beverages and tobacco products",6.389457966651354e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.126201108914542e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.1086330367364413e+17
AUT Manufacture of paper and paper products,2.468464377412028e+17
AUT Printing and reproduction of recorded media,3.904830814151233e+17
AUT Manufacture of coke and refined petroleum products ,7.806016434900397e+17
AUT Manufacture of chemicals and chemical products ,4.690118367481708e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.195012051636362e+17
AUT Manufacture of rubber and plastic products,3.3701366538195014e+17
AUT Manufacture of other non-metallic mineral products,3.643362048302307e+17
AUT Manufacture of basic metals,8.833695064610601e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.240937324774985e+17
"AUT Manufacture of computer, electronic and optical products",1.2883001102264637e+17
AUT Manufacture of electrical equipment,1.3310752302666235e+17
AUT Manufacture of machinery and equipment n.e.c.,2.5397683265249642e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.883134438574007e+17
AUT Manufacture of other transport equipment,2.44238443966052e+17
AUT Manufacture of furniture; other manufacturing,1.0160554395231338e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5380869343700892e+18
"AUT Water collection, treatment and supply",3.7877321262565805e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.3649810063229365e+17
AUT Construction,3.546875494525934e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.4764050926618694e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.978929545831752e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.201904363942989e+17
AUT Land transport and transport via pipelines,9.902604609633036e+17
AUT Water transport,2.427541401824687e+17
AUT Air transport,1.182101504780419e+18
AUT Warehousing and support activities for transportation,1.4569901103800264e+18
AUT Postal and courier activities,5.85381319260564e+17
AUT Accommodation and food service activities,5.472942275900616e+17
AUT Publishing activities,4.253019415634947e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.448635308107932e+17
AUT Telecommunications,1.8406732291236367e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2308678414733135e+18
"AUT Financial service activities, except insurance and pension funding",4.1366392676153533e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.466866524321438e+17
AUT Activities auxiliary to financial services and insurance activities,2.801106971901487e+18
AUT Real estate activities,2.822670019397297e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.781602533998654e+18
AUT Administrative and support service activities,4.41931381726289e+18
AUT Public administration and defence; compulsory social security,8.377729357625096e+17
AUT Education,2.964202546676767e+17
AUT Human health and social work activities,7.210097076559173e+16
AUT Other service activities,1.1317018889759084e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5.607273563870482e+16
