Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",7.861594543389112e+17
AUT Forestry and logging,1.1387706672167141e+17
AUT Fishing and aquaculture,2.6824728138302964e+16
AUT Mining and quarrying,2.7160625850821233e+18
"AUT Manufacture of food products, beverages and tobacco products",7.263630542956398e+17
"AUT Manufacture of textiles, wearing apparel and leather products",1.0409710298025158e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.756714478298639e+17
AUT Manufacture of paper and paper products,3.082926815873605e+17
AUT Printing and reproduction of recorded media,4.158305474944197e+17
AUT Manufacture of coke and refined petroleum products ,1.0360742864346883e+18
AUT Manufacture of chemicals and chemical products ,6.34547829260277e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1407798961594718e+17
AUT Manufacture of rubber and plastic products,4.5589594511033165e+17
AUT Manufacture of other non-metallic mineral products,4.23238705129219e+17
AUT Manufacture of basic metals,1.0315013506934604e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",7.405502197863804e+17
"AUT Manufacture of computer, electronic and optical products",1.4633350935435466e+17
AUT Manufacture of electrical equipment,1.4393385086395926e+17
AUT Manufacture of machinery and equipment n.e.c.,2.5959243947326938e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.816632313389638e+17
AUT Manufacture of other transport equipment,2.5024420617702154e+17
AUT Manufacture of furniture; other manufacturing,1.1527617040153558e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2205399531039101e+18
"AUT Water collection, treatment and supply",3.921178733334864e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.435573985194403e+16
AUT Construction,3.2814110747561446e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5.491997940455008e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.0391603452778575e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.131101204486318e+17
AUT Land transport and transport via pipelines,1.0260713157842316e+18
AUT Water transport,3.271518115320211e+17
AUT Air transport,1.2403272069232635e+18
AUT Warehousing and support activities for transportation,1.6237202880774976e+18
AUT Postal and courier activities,6.83792649382168e+17
AUT Accommodation and food service activities,5.733819603924896e+17
AUT Publishing activities,4.598359217972493e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",8.35318582292504e+17
AUT Telecommunications,1.5900726819553477e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.7974299403540337e+18
"AUT Financial service activities, except insurance and pension funding",3.622201646594059e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.2652629377258746e+17
AUT Activities auxiliary to financial services and insurance activities,5.365219694723037e+18
AUT Real estate activities,2.9700852841427866e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.962118642245869e+18
AUT Administrative and support service activities,4.2931099330930104e+18
AUT Public administration and defence; compulsory social security,7.889298150430506e+17
AUT Education,3.350435209735275e+17
AUT Human health and social work activities,5.778225051275548e+16
AUT Other service activities,1.1604190007547932e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8.112221923506589e+16
