Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",6.682275748525818e+17
AUT Forestry and logging,9.07367314054834e+16
AUT Fishing and aquaculture,2.205950445228358e+16
AUT Mining and quarrying,1.9813320624987553e+18
"AUT Manufacture of food products, beverages and tobacco products",6.776185728816869e+17
"AUT Manufacture of textiles, wearing apparel and leather products",9.00528267723084e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.314262845658735e+17
AUT Manufacture of paper and paper products,2.6849378045655712e+17
AUT Printing and reproduction of recorded media,3.798806210209691e+17
AUT Manufacture of coke and refined petroleum products ,8.535416293099578e+17
AUT Manufacture of chemicals and chemical products ,5.4898716809297766e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.1699177373887016e+17
AUT Manufacture of rubber and plastic products,3.7173821397460934e+17
AUT Manufacture of other non-metallic mineral products,3.712976169562672e+17
AUT Manufacture of basic metals,1.0203260129254971e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",6.312634783067648e+17
"AUT Manufacture of computer, electronic and optical products",1.3108602013420422e+17
AUT Manufacture of electrical equipment,1.2686925982202166e+17
AUT Manufacture of machinery and equipment n.e.c.,2.1223311141662534e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.3479172686704275e+17
AUT Manufacture of other transport equipment,2.28048473652595e+17
AUT Manufacture of furniture; other manufacturing,1.0472901147238392e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2903938770994836e+18
"AUT Water collection, treatment and supply",3.5742071557173766e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.0280985500874598e+17
AUT Construction,3.229732286109296e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.660862770205885e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.9087202411815165e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.688276418979037e+17
AUT Land transport and transport via pipelines,9.438320743564364e+17
AUT Water transport,2.5453876396040096e+17
AUT Air transport,1.1223304506228795e+18
AUT Warehousing and support activities for transportation,1.4284425179247923e+18
AUT Postal and courier activities,5.877801511731195e+17
AUT Accommodation and food service activities,5.515441768921412e+17
AUT Publishing activities,4.296244346712192e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7.691233368369592e+17
AUT Telecommunications,1.6710812979738017e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.967793755291299e+18
"AUT Financial service activities, except insurance and pension funding",3.566915633048741e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.950627500544262e+17
AUT Activities auxiliary to financial services and insurance activities,3.4910239549028183e+18
AUT Real estate activities,2.7451198393478175e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.61806602552142e+18
AUT Administrative and support service activities,4.004737845006845e+18
AUT Public administration and defence; compulsory social security,7.842671625526058e+17
AUT Education,3.136887683447645e+17
AUT Human health and social work activities,6.4057788603852616e+16
AUT Other service activities,1.0948538817431247e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6.4156242166092744e+16
