Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",6.438034790949353e+17
AUT Forestry and logging,7.399004848410523e+16
AUT Fishing and aquaculture,2.20062008014999e+16
AUT Mining and quarrying,2.2893039349677115e+18
"AUT Manufacture of food products, beverages and tobacco products",6.337631848144425e+17
"AUT Manufacture of textiles, wearing apparel and leather products",7.356066759412437e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.8903570104744352e+17
AUT Manufacture of paper and paper products,2.340844969496261e+17
AUT Printing and reproduction of recorded media,3.950289720704061e+17
AUT Manufacture of coke and refined petroleum products ,7.075147244635734e+17
AUT Manufacture of chemicals and chemical products ,4.0915011571414464e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.2547602344109285e+17
AUT Manufacture of rubber and plastic products,2.9252218893959277e+17
AUT Manufacture of other non-metallic mineral products,3.4767147883389606e+17
AUT Manufacture of basic metals,7.572571747452822e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.831553803790058e+17
"AUT Manufacture of computer, electronic and optical products",1.2414703907275509e+17
AUT Manufacture of electrical equipment,1.3413734108222906e+17
AUT Manufacture of machinery and equipment n.e.c.,2.7973643061419744e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.33804049040574e+17
AUT Manufacture of other transport equipment,2.3859480182716083e+17
AUT Manufacture of furniture; other manufacturing,9.323767321049349e+16
"AUT Electricity, gas, steam and air conditioning supply",1.819056365458806e+18
"AUT Water collection, treatment and supply",3.8609719178904474e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.6516165507791814e+17
AUT Construction,3.518185376025633e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4.0837110603382637e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.9443052427861798e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.571327008003808e+17
AUT Land transport and transport via pipelines,1.0133587068412173e+18
AUT Water transport,2.3971048953158208e+17
AUT Air transport,1.2163079246046582e+18
AUT Warehousing and support activities for transportation,1.4501607341548513e+18
AUT Postal and courier activities,5.606904068719885e+17
AUT Accommodation and food service activities,5.477817699016823e+17
AUT Publishing activities,4.116237384247071e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6.986858983355299e+17
AUT Telecommunications,1.9614006385784535e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.4086239163560207e+18
"AUT Financial service activities, except insurance and pension funding",4.525231949505282e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.629378746602982e+17
AUT Activities auxiliary to financial services and insurance activities,2.0493998847793981e+18
AUT Real estate activities,3.085891361419971e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.733912149197731e+18
AUT Administrative and support service activities,4.4295885456446223e+18
AUT Public administration and defence; compulsory social security,8.281874124204055e+17
AUT Education,2.896744721902132e+17
AUT Human health and social work activities,7.387860549318264e+16
AUT Other service activities,1.1545095046697132e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4.818530046840258e+16
