Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",1.5214453879415183e+18
AUT Forestry and logging,2.271750614911574e+17
AUT Fishing and aquaculture,4.7657606720851496e+16
AUT Mining and quarrying,1.9021449913553452e+18
"AUT Manufacture of food products, beverages and tobacco products",9.234609278427212e+17
"AUT Manufacture of textiles, wearing apparel and leather products",8.765547137748053e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.0068941684321056e+17
AUT Manufacture of paper and paper products,4.0743064266180883e+17
AUT Printing and reproduction of recorded media,5.292958793238276e+17
AUT Manufacture of coke and refined petroleum products ,1.4461772228718157e+18
AUT Manufacture of chemicals and chemical products ,9.219525366842148e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.5252938399426355e+17
AUT Manufacture of rubber and plastic products,6.59387478500605e+17
AUT Manufacture of other non-metallic mineral products,5.766246045502262e+17
AUT Manufacture of basic metals,1.6265401822306396e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0086943872083758e+18
"AUT Manufacture of computer, electronic and optical products",2.0343098690115946e+17
AUT Manufacture of electrical equipment,1.774786997115281e+17
AUT Manufacture of machinery and equipment n.e.c.,3.452276003610672e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.337837625624163e+17
AUT Manufacture of other transport equipment,3.0758943394445094e+17
AUT Manufacture of furniture; other manufacturing,1.511341147667997e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4087919661098522e+18
"AUT Water collection, treatment and supply",5.0333325015429824e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.83314947614307e+16
AUT Construction,3.040420856996599e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.89640111833533e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.5985572207020826e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.180329295501729e+17
AUT Land transport and transport via pipelines,1.0166164050873798e+18
AUT Water transport,3.878252681935147e+17
AUT Air transport,1.2733645672191355e+18
AUT Warehousing and support activities for transportation,1.7142250091111585e+18
AUT Postal and courier activities,7.115219901991112e+17
AUT Accommodation and food service activities,6.762279378120086e+17
AUT Publishing activities,6.087701458794619e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.110798364147217e+18
AUT Telecommunications,1.7386547225496323e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0469896346758062e+18
"AUT Financial service activities, except insurance and pension funding",3.0932598987193713e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.4126356007706106e+17
AUT Activities auxiliary to financial services and insurance activities,7.752955659955257e+18
AUT Real estate activities,3.2698658659429105e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.753330849301723e+18
AUT Administrative and support service activities,4.5784787262140063e+18
AUT Public administration and defence; compulsory social security,1.0062819879947288e+18
AUT Education,3.7762998726620544e+17
AUT Human health and social work activities,5.002148221521467e+16
AUT Other service activities,1.391806764297372e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0839863346536403e+17
