Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",6.961205949736707e+17
AUT Forestry and logging,8.482151629045678e+16
AUT Fishing and aquaculture,2.2875943523115892e+16
AUT Mining and quarrying,1.1455490897333965e+18
"AUT Manufacture of food products, beverages and tobacco products",5.4006022252581504e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.182967962302775e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.5288804773475978e+17
AUT Manufacture of paper and paper products,1.9178559762100803e+17
AUT Printing and reproduction of recorded media,3.180951613903181e+17
AUT Manufacture of coke and refined petroleum products ,6.017985427990207e+17
AUT Manufacture of chemicals and chemical products ,2.7919183116788128e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,9.41174105770307e+16
AUT Manufacture of rubber and plastic products,1.9863327378113546e+17
AUT Manufacture of other non-metallic mineral products,3.2083982050703104e+17
AUT Manufacture of basic metals,4.7876995851304954e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",4.987851773824834e+17
"AUT Manufacture of computer, electronic and optical products",1.0174279503732504e+17
AUT Manufacture of electrical equipment,1.2658189649807378e+17
AUT Manufacture of machinery and equipment n.e.c.,2.9030599084993395e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.488830476399168e+17
AUT Manufacture of other transport equipment,2.0734901930098147e+17
AUT Manufacture of furniture; other manufacturing,6.828609356723375e+16
"AUT Electricity, gas, steam and air conditioning supply",1.622796380100866e+18
"AUT Water collection, treatment and supply",3.17495836337023e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.5039247854166477e+17
AUT Construction,3.6127785320041216e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,2.978484448099599e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.69007720298491e+18
"AUT Retail trade, except of motor vehicles and motorcycles",5.656936410583324e+17
AUT Land transport and transport via pipelines,8.231047797823823e+17
AUT Water transport,1.614236070600544e+17
AUT Air transport,1.1095908584280947e+18
AUT Warehousing and support activities for transportation,1.2036712973248502e+18
AUT Postal and courier activities,4.446196184866116e+17
AUT Accommodation and food service activities,4.855665205115816e+17
AUT Publishing activities,3.165381184984154e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5.225173285695073e+17
AUT Telecommunications,1.7978314514439478e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.2535479736808965e+18
"AUT Financial service activities, except insurance and pension funding",4.4990766831450394e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.208517909447462e+17
AUT Activities auxiliary to financial services and insurance activities,1.384168364720204e+18
AUT Real estate activities,2.8690117044442143e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,4.928420734284541e+18
AUT Administrative and support service activities,3.803780603003566e+18
AUT Public administration and defence; compulsory social security,7.14135233688869e+17
AUT Education,2.3303301312498093e+17
AUT Human health and social work activities,7.14285185707433e+16
AUT Other service activities,1.0606155556042083e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.354175573880579e+16
