Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",1.1179147696312316e+18
AUT Forestry and logging,1.855547000909429e+17
AUT Fishing and aquaculture,3.5133979096901284e+16
AUT Mining and quarrying,1.7362536569927214e+18
"AUT Manufacture of food products, beverages and tobacco products",8.745170048588562e+17
"AUT Manufacture of textiles, wearing apparel and leather products",7.506566057561027e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.8896783204076154e+17
AUT Manufacture of paper and paper products,3.910583517547234e+17
AUT Printing and reproduction of recorded media,5.104723188630954e+17
AUT Manufacture of coke and refined petroleum products ,1.3328216783337395e+18
AUT Manufacture of chemicals and chemical products ,8.674197096919199e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3698041917064986e+17
AUT Manufacture of rubber and plastic products,6.340419593335521e+17
AUT Manufacture of other non-metallic mineral products,5.652219914411591e+17
AUT Manufacture of basic metals,1.4204382539722565e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",9.835531702000895e+17
"AUT Manufacture of computer, electronic and optical products",1.9287737144878138e+17
AUT Manufacture of electrical equipment,1.7154043953291245e+17
AUT Manufacture of machinery and equipment n.e.c.,3.398459109910451e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.0630236982752934e+17
AUT Manufacture of other transport equipment,2.6691923795850406e+17
AUT Manufacture of furniture; other manufacturing,1.4318758883306771e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2603811728436316e+18
"AUT Water collection, treatment and supply",4.539512089608166e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.1345937584621464e+16
AUT Construction,2.529849831259025e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.141243233896983e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.2924217421652503e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.144778413108558e+17
AUT Land transport and transport via pipelines,8.963626343569599e+17
AUT Water transport,3.499317993546246e+17
AUT Air transport,1.1757181965998758e+18
AUT Warehousing and support activities for transportation,1.5464448653085097e+18
AUT Postal and courier activities,6.630812602279122e+17
AUT Accommodation and food service activities,6.301559652449385e+17
AUT Publishing activities,5.728736989579997e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0651820540607892e+18
AUT Telecommunications,1.6300273853507564e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.9660576684860618e+18
"AUT Financial service activities, except insurance and pension funding",2.897895348858858e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.0812437619922176e+17
AUT Activities auxiliary to financial services and insurance activities,7.547533440907844e+18
AUT Real estate activities,2.9411314605653565e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.365442030212665e+18
AUT Administrative and support service activities,4.069464916160943e+18
AUT Public administration and defence; compulsory social security,8.799252419703377e+17
AUT Education,3.278492998426725e+17
AUT Human health and social work activities,4.1830888464538056e+16
AUT Other service activities,1.278500895380087e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,9.603949480872118e+16
