Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",5.728537348271691e+17
AUT Forestry and logging,7.158264124249956e+16
AUT Fishing and aquaculture,1.9366622051985816e+16
AUT Mining and quarrying,2.0450495902324444e+18
"AUT Manufacture of food products, beverages and tobacco products",5.1894415700103546e+17
"AUT Manufacture of textiles, wearing apparel and leather products",6.027344541146559e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.7117293660346582e+17
AUT Manufacture of paper and paper products,2.1246152815166176e+17
AUT Printing and reproduction of recorded media,3.7469734638966874e+17
AUT Manufacture of coke and refined petroleum products ,5.97684659905629e+17
AUT Manufacture of chemicals and chemical products ,3.443835804348171e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0822318736166117e+17
AUT Manufacture of rubber and plastic products,2.483816663640213e+17
AUT Manufacture of other non-metallic mineral products,3.4455484051001056e+17
AUT Manufacture of basic metals,6.764499316114972e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.4149555679432646e+17
"AUT Manufacture of computer, electronic and optical products",1.099075827653042e+17
AUT Manufacture of electrical equipment,1.2641735751635371e+17
AUT Manufacture of machinery and equipment n.e.c.,2.8771471829989766e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",3.2465550359356416e+17
AUT Manufacture of other transport equipment,2.3669779291873565e+17
AUT Manufacture of furniture; other manufacturing,8.37665896568504e+16
"AUT Electricity, gas, steam and air conditioning supply",2.126233129352766e+18
"AUT Water collection, treatment and supply",3.903789134366639e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.9924272444329645e+17
AUT Construction,3.391405137131764e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.488237445766311e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.8143128829488532e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.251581587798131e+17
AUT Land transport and transport via pipelines,9.48833537182803e+17
AUT Water transport,1.9157042936364314e+17
AUT Air transport,1.2218488859028467e+18
AUT Warehousing and support activities for transportation,1.381174056232317e+18
AUT Postal and courier activities,5.076459948565919e+17
AUT Accommodation and food service activities,4.669532967018768e+17
AUT Publishing activities,3.911723877154441e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6.41320441119254e+17
AUT Telecommunications,2.0558015066932083e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.6725017183772974e+18
"AUT Financial service activities, except insurance and pension funding",5.055038193718313e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.73672182426582e+17
AUT Activities auxiliary to financial services and insurance activities,1.4558399481226191e+18
AUT Real estate activities,3.026519247332818e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.567205140454216e+18
AUT Administrative and support service activities,4.4445867247417646e+18
AUT Public administration and defence; compulsory social security,8.190371453983293e+17
AUT Education,2.5492184894236752e+17
AUT Human health and social work activities,7.255287370310834e+16
AUT Other service activities,1.1132195417252006e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.4753623877998524e+16
