Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",1.1690883003940864e+18
AUT Forestry and logging,1.7271055298625974e+17
AUT Fishing and aquaculture,4.0836131104238744e+16
AUT Mining and quarrying,3.071829160450187e+18
"AUT Manufacture of food products, beverages and tobacco products",9.925954999073929e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.6925008363255178e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.92441017783954e+17
AUT Manufacture of paper and paper products,4.1916806565474566e+17
AUT Printing and reproduction of recorded media,5.421026766666997e+17
AUT Manufacture of coke and refined petroleum products ,1.5966907326703805e+18
AUT Manufacture of chemicals and chemical products ,9.876418357932783e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.7223321136470275e+17
AUT Manufacture of rubber and plastic products,6.675976898839694e+17
AUT Manufacture of other non-metallic mineral products,5.4031412279148454e+17
AUT Manufacture of basic metals,1.8274327315192435e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.0012833243909498e+18
"AUT Manufacture of computer, electronic and optical products",2.2264268990437072e+17
AUT Manufacture of electrical equipment,1.7945206194683658e+17
AUT Manufacture of machinery and equipment n.e.c.,3.467620401954381e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.0472889669980026e+17
AUT Manufacture of other transport equipment,3.2027949498732205e+17
AUT Manufacture of furniture; other manufacturing,1.6148988902812387e+17
"AUT Electricity, gas, steam and air conditioning supply",1.4821733305750113e+18
"AUT Water collection, treatment and supply",5.343580624379793e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.939662057200192e+16
AUT Construction,3.675434619841123e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.524057181859571e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.73144446983673e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.37235355663453e+17
AUT Land transport and transport via pipelines,1.2559511483961152e+18
AUT Water transport,4.6558188791878566e+17
AUT Air transport,1.4576674508007142e+18
AUT Warehousing and support activities for transportation,2.037643241603366e+18
AUT Postal and courier activities,8.120866327364404e+17
AUT Accommodation and food service activities,7.168300883681638e+17
AUT Publishing activities,5.908363874179164e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0649769236383547e+18
AUT Telecommunications,1.7566782613832061e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.9287713644572099e+18
"AUT Financial service activities, except insurance and pension funding",3.465525477251286e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.9435751160112237e+17
AUT Activities auxiliary to financial services and insurance activities,8.41985265174502e+18
AUT Real estate activities,3.59904419196516e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.552019748181765e+18
AUT Administrative and support service activities,5.226039228379411e+18
AUT Public administration and defence; compulsory social security,1.0522009714258729e+18
AUT Education,4.296436886867655e+17
AUT Human health and social work activities,6.051429424795091e+16
AUT Other service activities,1.4647874559581202e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.1525298872472856e+17
