Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",7.639477684484294e+17
AUT Forestry and logging,1.1902812303172413e+17
AUT Fishing and aquaculture,2.7108658969954884e+16
AUT Mining and quarrying,2.827509927773623e+18
"AUT Manufacture of food products, beverages and tobacco products",8.322204229387337e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.3617595146448307e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.3155659448650566e+17
AUT Manufacture of paper and paper products,3.518097175113429e+17
AUT Printing and reproduction of recorded media,4.6266433677144e+17
AUT Manufacture of coke and refined petroleum products ,1.337142737002683e+18
AUT Manufacture of chemicals and chemical products ,8.115657518719863e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.3234382552422496e+17
AUT Manufacture of rubber and plastic products,5.59066376820793e+17
AUT Manufacture of other non-metallic mineral products,4.5194230175386336e+17
AUT Manufacture of basic metals,1.1399937309934616e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",8.482736801556618e+17
"AUT Manufacture of computer, electronic and optical products",1.8883251037003517e+17
AUT Manufacture of electrical equipment,1.5074656244617088e+17
AUT Manufacture of machinery and equipment n.e.c.,3.010821498301229e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.370819875122274e+17
AUT Manufacture of other transport equipment,2.9090871536337235e+17
AUT Manufacture of furniture; other manufacturing,1.36848219553203e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2258620528292877e+18
"AUT Water collection, treatment and supply",4.603956678116373e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",6.79308935621114e+16
AUT Construction,3.5152181716457897e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6.612878610479424e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.3517985342189455e+18
"AUT Retail trade, except of motor vehicles and motorcycles",7.549819723375127e+17
AUT Land transport and transport via pipelines,1.1940268747560868e+18
AUT Water transport,4.5169212953593984e+17
AUT Air transport,1.4314941748634002e+18
AUT Warehousing and support activities for transportation,1.9860403132966897e+18
AUT Postal and courier activities,7.971405202487163e+17
AUT Accommodation and food service activities,6.113881473533766e+17
AUT Publishing activities,5.236096411914962e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",9.467295980824945e+17
AUT Telecommunications,1.5578867384817e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.7200667301670295e+18
"AUT Financial service activities, except insurance and pension funding",3.26096267129906e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.626199839254592e+17
AUT Activities auxiliary to financial services and insurance activities,7.973042478480542e+18
AUT Real estate activities,3.346948923546834e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.229960659005532e+18
AUT Administrative and support service activities,5.022792892131188e+18
AUT Public administration and defence; compulsory social security,9.022408701880183e+17
AUT Education,3.726606340616784e+17
AUT Human health and social work activities,5.408795248624051e+16
AUT Other service activities,1.2600709347363052e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0118932451325629e+17
