Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",1.3472422764001964e+18
AUT Forestry and logging,1.7942809341030534e+17
AUT Fishing and aquaculture,4.304856120979745e+16
AUT Mining and quarrying,1.8364454750869082e+18
"AUT Manufacture of food products, beverages and tobacco products",1.108535983685357e+18
"AUT Manufacture of textiles, wearing apparel and leather products",2.1619821083156883e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.311573960400077e+17
AUT Manufacture of paper and paper products,4.455823780232147e+17
AUT Printing and reproduction of recorded media,5.731065826749084e+17
AUT Manufacture of coke and refined petroleum products ,1.6455356811131185e+18
AUT Manufacture of chemicals and chemical products ,1.0412591303054317e+18
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.7678410095437696e+17
AUT Manufacture of rubber and plastic products,7.228749278885848e+17
AUT Manufacture of other non-metallic mineral products,6.09717934136743e+17
AUT Manufacture of basic metals,2.2143218075857897e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",1.1006997311161471e+18
"AUT Manufacture of computer, electronic and optical products",2.3756054013556877e+17
AUT Manufacture of electrical equipment,2.1389838667587568e+17
AUT Manufacture of machinery and equipment n.e.c.,3.707071204446283e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5.355250242821946e+17
AUT Manufacture of other transport equipment,4.178772482918908e+17
AUT Manufacture of furniture; other manufacturing,1.6942878695924742e+17
"AUT Electricity, gas, steam and air conditioning supply",1.5351035353487004e+18
"AUT Water collection, treatment and supply",5.352138427269064e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",8.191362521331413e+16
AUT Construction,3.6100554747441644e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.690861199296129e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.9119505200560763e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.60958295654445e+17
AUT Land transport and transport via pipelines,1.207844885739084e+18
AUT Water transport,4.2328404469814605e+17
AUT Air transport,1.3828555032167327e+18
AUT Warehousing and support activities for transportation,1.9258674137310177e+18
AUT Postal and courier activities,7.592762136074561e+17
AUT Accommodation and food service activities,7.367140544650947e+17
AUT Publishing activities,6.238267277823299e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.1196662193667538e+18
AUT Telecommunications,1.8144024582605978e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.0550280992143101e+18
"AUT Financial service activities, except insurance and pension funding",3.1276337658194555e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",4.399374059582144e+17
AUT Activities auxiliary to financial services and insurance activities,7.482588127673572e+18
AUT Real estate activities,3.4300428925680645e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.107157329806683e+18
AUT Administrative and support service activities,5.07003413080799e+18
AUT Public administration and defence; compulsory social security,1.0556381652557951e+18
AUT Education,4.0057931416031674e+17
AUT Human health and social work activities,5.6198593192625176e+16
AUT Other service activities,1.4964477611704259e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.187434327940587e+17
