Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",6.450361800214917e+17
AUT Forestry and logging,9.273679592771253e+16
AUT Fishing and aquaculture,2.374950678418483e+16
AUT Mining and quarrying,1.7425338701578824e+18
"AUT Manufacture of food products, beverages and tobacco products",5.75248274299263e+17
"AUT Manufacture of textiles, wearing apparel and leather products",4.33809496807627e+16
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.763372177090517e+17
AUT Manufacture of paper and paper products,2.1032408836697997e+17
AUT Printing and reproduction of recorded media,3.58316170298888e+17
AUT Manufacture of coke and refined petroleum products ,6.593992149272444e+17
AUT Manufacture of chemicals and chemical products ,2.906081903953237e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.0159398805043608e+17
AUT Manufacture of rubber and plastic products,2.0923202560759242e+17
AUT Manufacture of other non-metallic mineral products,3.409408003904473e+17
AUT Manufacture of basic metals,5.085820630589119e+17
"AUT Manufacture of fabricated metal products, except machinery and equipment",5.370878359100884e+17
"AUT Manufacture of computer, electronic and optical products",1.1078815874189528e+17
AUT Manufacture of electrical equipment,1.3717052181409018e+17
AUT Manufacture of machinery and equipment n.e.c.,3.150785520089209e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",1.586886253018268e+17
AUT Manufacture of other transport equipment,2.263489284222118e+17
AUT Manufacture of furniture; other manufacturing,7.013495948266536e+16
"AUT Electricity, gas, steam and air conditioning supply",1.999305042667508e+18
"AUT Water collection, treatment and supply",3.8779411259936384e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1.846115165006844e+17
AUT Construction,3.508738864120298e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3.3107629333668717e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",1.8359470344884444e+18
"AUT Retail trade, except of motor vehicles and motorcycles",6.169554222618534e+17
AUT Land transport and transport via pipelines,9.167906246970819e+17
AUT Water transport,1.741817198188313e+17
AUT Air transport,1.2202782201458317e+18
AUT Warehousing and support activities for transportation,1.3173194825096712e+18
AUT Postal and courier activities,4.9067305667937485e+17
AUT Accommodation and food service activities,4.7432913410586995e+17
AUT Publishing activities,3.642482494746422e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5.938875339750575e+17
AUT Telecommunications,2.0354354184788948e+18
"AUT Computer programming, consultancy and related activities; information service activities",2.505322443441862e+18
"AUT Financial service activities, except insurance and pension funding",4.847375011380491e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",6.672957335986582e+17
AUT Activities auxiliary to financial services and insurance activities,1.4929779618099756e+18
AUT Real estate activities,3.045443202370863e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,5.563354008029909e+18
AUT Administrative and support service activities,4.1508888858844713e+18
AUT Public administration and defence; compulsory social security,7.634665580853558e+17
AUT Education,2.4496349769698093e+17
AUT Human health and social work activities,7.266845243999518e+16
AUT Other service activities,1.1242534769492684e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3.5178481032116396e+16
