Unnamed: 0,Total Output
"AUT Crop and animal production, hunting and related service activities",9.912993866452077e+17
AUT Forestry and logging,1.3076730167417155e+17
AUT Fishing and aquaculture,3.26463650718079e+16
AUT Mining and quarrying,2.9678616023237565e+18
"AUT Manufacture of food products, beverages and tobacco products",9.232706236872218e+17
"AUT Manufacture of textiles, wearing apparel and leather products",2.5822515137894387e+17
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.442918994766727e+17
AUT Manufacture of paper and paper products,3.840910057617505e+17
AUT Printing and reproduction of recorded media,5.034861925660823e+17
AUT Manufacture of coke and refined petroleum products ,1.418658833392769e+18
AUT Manufacture of chemicals and chemical products ,8.465244932304115e+17
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.4184877552132202e+17
AUT Manufacture of rubber and plastic products,5.94572920245195e+17
AUT Manufacture of other non-metallic mineral products,4.7106765012171e+17
AUT Manufacture of basic metals,1.0253733837490748e+18
"AUT Manufacture of fabricated metal products, except machinery and equipment",8.680414098837513e+17
"AUT Manufacture of computer, electronic and optical products",1.9614403038260675e+17
AUT Manufacture of electrical equipment,1.5138367426450406e+17
AUT Manufacture of machinery and equipment n.e.c.,2.758872739983099e+17
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4.9772096518238054e+17
AUT Manufacture of other transport equipment,3.012310168050433e+17
AUT Manufacture of furniture; other manufacturing,1.4579815857243965e+17
"AUT Electricity, gas, steam and air conditioning supply",1.2855484363643244e+18
"AUT Water collection, treatment and supply",4.9645480644370336e+17
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",7.019507952102712e+16
AUT Construction,3.6513697848138675e+18
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7.353113772921946e+17
"AUT Wholesale trade, except of motor vehicles and motorcycles",2.5662289738824325e+18
"AUT Retail trade, except of motor vehicles and motorcycles",8.163674996553366e+17
AUT Land transport and transport via pipelines,1.2789376874116938e+18
AUT Water transport,4.784135573041246e+17
AUT Air transport,1.5446017853110592e+18
AUT Warehousing and support activities for transportation,2.1279155368453832e+18
AUT Postal and courier activities,8.668548797241939e+17
AUT Accommodation and food service activities,6.632269346567877e+17
AUT Publishing activities,5.6510956689636224e+17
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1.0368360224841405e+18
AUT Telecommunications,1.7002986510370598e+18
"AUT Computer programming, consultancy and related activities; information service activities",1.8364633023902868e+18
"AUT Financial service activities, except insurance and pension funding",3.703525748643762e+18
"AUT Insurance, reinsurance and pension funding, except compulsory social security",5.303788620289738e+17
AUT Activities auxiliary to financial services and insurance activities,9.148707985460994e+18
AUT Real estate activities,3.7686287416651484e+18
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6.955036793122075e+18
AUT Administrative and support service activities,5.591761137372756e+18
AUT Public administration and defence; compulsory social security,8.919858234236018e+17
AUT Education,3.8325657914739194e+17
AUT Human health and social work activities,5.927396992829943e+16
AUT Other service activities,1.36389386811485e+18
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1.0791111582808914e+17
