,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUT Warehousing and support activities for transportation,8820.6,4.1,24.3,0.2,3.0,5.3,6.7,52.0,2.7,23.1,22.4,0.3,12.9,9.9,0.5,8.3,42.6,16.7,0.6,2.9,12.4,0.3,0.7,0.0,1.8,1.2,5.0,19.9,30.0,419.4
AUT Postal and courier activities,222.6,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.1,1.7
AUT Accommodation and food service activities,42680.5,2.9,8.2,0.0,6.4,99.4,230.6,10.9,0.5,0.0,228.0,0.7,57.8,0.0,31.0,14.2,82.7,9.9,0.0,0.3,0.0,0.0,0.5,0.1,0.0,0.0,61.7,0.6,48.4,1421.7
AUT Publishing activities,4672.2,0.5,2.2,0.0,1.8,0.0,0.9,6.5,2.9,1.2,7.5,0.1,1.9,0.0,0.0,0.3,0.6,0.2,0.0,13.4,0.5,0.1,0.3,0.1,0.0,0.0,0.3,38.6,2.3,434.1
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",3443.9,0.4,0.7,0.0,11.0,2.9,1.3,4.7,1.0,2.6,15.6,0.7,35.6,0.0,0.0,3.1,4.6,5.7,0.2,3.7,0.6,0.2,0.1,0.1,0.0,0.0,4.5,11.2,1.7,129.0
AUT Telecommunications,13648.3,0.3,1.6,0.0,1.8,1.3,55.7,0.9,3.0,3.7,23.6,0.1,2.0,1.7,1.4,8.2,4.4,1.1,0.6,4.6,0.2,0.1,0.1,0.1,0.7,1.6,6.3,1.0,2.5,119.1
"AUT Computer programming, consultancy and related activities; information service activities",12040.0,0.0,0.0,0.0,5.7,0.4,5.6,0.4,2.8,0.2,0.9,0.1,0.2,0.0,0.0,0.2,0.8,0.1,0.0,1.8,0.2,0.1,0.0,0.1,0.0,0.1,0.1,2.9,6.7,341.3
"AUT Financial service activities, except insurance and pension funding",27784.0,0.1,0.2,0.0,4.6,0.3,8.5,0.4,3.0,0.3,15.1,0.1,1.8,0.0,0.9,0.2,1.8,0.9,0.2,1.3,0.1,0.1,0.1,0.0,0.0,2.4,0.1,1.3,1.4,278.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",33538.8,0.0,0.2,0.0,0.8,1.0,2.3,1.0,0.2,0.5,2.9,0.0,1.4,0.4,0.5,0.5,4.1,1.2,0.2,0.8,0.1,0.1,0.0,0.0,0.4,0.1,0.6,32.1,0.8,41.0
AUT Activities auxiliary to financial services and insurance activities,2433.4,0.0,1.1,0.0,0.6,0.0,0.6,0.2,0.4,0.0,4.1,0.0,0.2,0.0,0.0,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,78.8
AUT Real estate activities,96016.6,0.3,0.0,0.0,44.7,0.7,0.1,14.9,0.3,0.0,33.5,0.0,49.6,0.0,0.0,17.9,0.5,2.2,0.0,35.5,0.2,1.2,0.1,0.0,0.2,0.0,1.3,0.2,0.3,43.5
AUT Legal and accounting activities; activities of head offices; management consultancy activities,20854.3,0.4,1.8,0.3,12.0,5.9,680.4,4.3,17.3,13.7,4.6,0.2,22.2,1.2,0.4,19.3,1.1,0.7,0.0,42.7,8.6,3.3,0.4,1.4,0.1,0.0,0.5,131.2,19.2,650.4
AUT Architectural and engineering activities; technical testing and analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Scientific research and development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Advertising and market research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Administrative and support service activities,4307.2,0.2,0.1,0.0,95.3,1.3,0.5,0.8,1.7,2.4,3.2,0.1,0.5,0.0,1.5,6.2,0.9,1.2,0.0,4.0,0.3,0.0,0.1,0.0,0.0,0.0,0.1,136.3,38.9,168.3
AUT Public administration and defence; compulsory social security,82253.9,0.1,0.0,0.1,0.2,0.2,7.0,0.8,0.2,0.1,0.1,0.3,6.0,0.0,0.0,0.2,4.7,0.0,0.0,0.5,6.6,0.0,0.0,0.0,0.0,6.5,0.0,2.3,1.0,39.6
AUT Education,52170.9,0.8,0.1,0.9,2.7,49.0,17.2,0.2,0.2,0.2,6.2,0.6,28.4,56.0,0.0,2.5,60.5,0.4,0.0,2.6,0.1,8.0,0.0,0.1,0.5,0.0,0.8,38.9,5.8,1106.8
AUT Human health and social work activities,75955.3,0.0,0.0,0.0,0.0,0.8,2.0,0.0,0.1,0.2,0.7,0.0,0.8,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.2,107.6
AUT Other service activities,21782.6,0.2,0.2,0.0,1.5,63.2,107.1,0.7,3.6,0.1,51.7,1.4,6.2,10.8,0.6,0.9,4.3,0.6,0.0,1.3,0.1,0.2,0.0,0.0,0.0,1.6,1.3,0.7,3.9,16.2
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8006.9,0.0,0.0,0.0,0.1,3.0,5.2,0.0,0.2,0.0,2.6,0.1,0.3,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,-1.8
AUT Activities of extraterritorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUS Crop and animal production, hunting and related service activities",3.4,1549.9,5.5,3.6,1.0,2.1,0.5,161.6,7.6,10.5,10.6,48.9,0.1,0.2,1.1,86.2,4.2,2.3,0.7,8.9,1.5,17.2,0.6,30.1,16.8,1.5,0.2,11.0,150.9,29.5
AUS Forestry and logging,0.0,450.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,3.5,0.0
AUS Fishing and aquaculture,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.1
AUS Mining and quarrying,0.3,650.9,1.2,0.3,0.1,0.2,0.6,121.8,0.8,1.6,1.2,9.5,0.0,0.1,0.2,6.3,0.4,0.2,0.1,0.8,0.2,1.0,0.2,1.0,1.0,0.3,0.3,3.1,8.0,0.5
"AUS Manufacture of food products, beverages and tobacco products",97.0,6921.6,103.2,82.3,26.4,53.3,15.3,2520.3,153.7,230.6,201.8,284.6,1.9,1.9,19.3,1013.3,115.9,64.4,19.3,200.6,18.6,130.3,14.2,213.6,168.6,28.6,3.1,280.7,1368.5,854.7
"AUS Manufacture of textiles, wearing apparel and leather products",7.0,101.4,13.7,9.9,0.7,10.6,5.2,677.6,39.8,70.9,103.2,132.2,0.2,0.4,3.4,210.3,14.5,7.3,1.7,18.6,10.5,98.0,6.7,59.4,271.7,8.4,2.9,54.0,412.0,138.1
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.8,1873.1,0.7,0.6,0.4,0.9,2.4,31.2,1.6,4.4,2.5,3.0,0.1,0.2,0.5,8.2,1.1,0.2,0.4,2.0,0.5,2.0,0.3,2.2,1.0,0.5,0.1,4.6,16.0,1.2
AUS Manufacture of paper and paper products,0.2,226.2,1.2,2.6,0.2,0.2,0.8,63.8,2.3,5.3,2.8,16.7,1.7,0.1,0.2,5.9,0.2,0.2,1.4,4.7,0.4,6.3,0.4,11.0,6.2,0.7,0.3,1.6,39.6,9.1
AUS Printing and reproduction of recorded media,0.2,161.9,2.1,0.7,0.0,0.0,0.5,26.3,0.3,1.5,0.9,1.1,0.0,0.0,0.0,3.1,0.1,0.2,0.0,0.6,0.2,3.0,0.1,0.8,0.2,0.0,0.1,1.3,9.2,-0.0
AUS Manufacture of coke and refined petroleum products ,1.9,2892.4,3.2,20.6,1.6,1.1,3.8,92.6,4.1,22.8,4.0,241.1,0.2,0.6,1.1,16.5,1.1,1.1,0.9,5.4,0.8,14.9,0.7,54.8,10.7,4.6,1.3,10.0,338.9,55.5
AUS Manufacture of chemicals and chemical products ,4.1,629.7,8.0,11.7,5.9,1.2,6.0,224.4,8.2,19.2,7.2,35.2,0.4,1.0,0.8,51.3,1.1,3.4,1.6,25.8,1.5,38.8,1.8,47.4,19.7,16.1,0.4,20.6,264.7,48.5
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,35.2,404.3,4.6,25.7,24.7,9.4,25.1,481.9,46.9,113.0,6.3,45.0,1.3,0.7,2.3,78.0,1.6,8.7,11.4,4.8,2.2,55.9,13.4,88.1,3.4,0.8,0.7,210.0,240.6,415.5
AUS Manufacture of rubber and plastic products,5.5,475.9,5.9,5.0,5.7,7.1,15.8,301.4,14.4,45.1,33.4,35.7,1.1,4.8,3.4,55.4,8.5,2.2,4.4,21.9,3.6,17.4,5.5,25.4,8.5,6.1,1.1,26.2,101.0,59.1
AUS Manufacture of other non-metallic mineral products,1.0,1208.4,1.1,0.9,0.8,3.1,4.1,57.7,2.8,7.3,6.4,6.4,0.1,0.7,0.8,13.7,3.0,0.5,0.6,2.9,1.0,2.9,0.7,2.8,2.7,0.6,0.3,14.8,37.4,8.1
AUS Manufacture of basic metals,3.7,780.4,3.4,2.5,2.0,19.1,9.4,80.1,6.8,12.2,6.7,6.8,0.7,1.6,1.6,14.5,1.8,2.3,2.8,4.2,1.8,8.8,0.9,8.3,7.3,3.6,1.0,17.4,51.3,-0.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",47.2,2225.7,25.9,13.9,13.5,25.5,44.1,769.9,54.5,132.2,62.8,44.8,6.2,10.5,15.0,126.8,14.3,8.2,35.3,18.8,17.0,69.3,6.8,28.6,35.3,22.7,3.4,234.6,279.5,220.8
"AUS Manufacture of computer, electronic and optical products",17.9,541.9,46.5,35.0,25.9,17.4,138.4,518.0,85.7,54.8,49.4,59.9,1.9,19.8,1.9,103.7,56.5,32.0,9.5,9.9,12.9,116.2,12.4,181.5,32.1,19.0,13.1,150.7,695.5,386.2
AUS Manufacture of electrical equipment,95.6,1949.1,48.5,43.6,19.8,23.4,127.0,1461.0,166.8,156.9,175.9,60.8,34.4,43.3,21.4,220.4,31.5,33.9,11.8,55.7,33.7,79.5,20.7,53.1,31.5,71.7,15.0,235.0,694.3,835.1
AUS Manufacture of machinery and equipment n.e.c.,120.0,2066.3,168.4,132.4,148.4,131.7,832.8,2785.2,400.4,586.1,373.7,304.4,40.3,124.5,34.6,694.7,59.6,221.8,161.6,126.1,105.7,338.0,44.5,476.9,857.8,225.5,88.2,534.3,1823.5,1734.2
"AUS Manufacture of motor vehicles, trailers and semi-trailers",150.1,810.9,66.5,80.7,39.3,152.1,260.6,3126.4,243.4,280.7,520.9,182.8,2.2,23.1,10.6,368.1,73.9,70.3,23.2,91.2,70.1,119.3,8.4,235.1,382.9,50.3,4.5,1264.8,932.3,810.2
AUS Manufacture of other transport equipment,24.7,64.1,5.8,1.7,6.5,67.5,9.3,858.3,66.2,111.2,136.5,7.8,0.6,40.2,8.1,132.8,59.9,8.9,2.4,26.1,9.4,25.9,39.0,12.5,1.5,4.7,2.3,99.8,215.6,362.6
AUS Manufacture of furniture; other manufacturing,19.6,3285.7,19.7,20.2,9.1,59.1,61.7,1173.4,76.6,197.4,106.3,73.1,0.8,4.8,25.4,317.9,71.6,10.6,12.8,53.3,28.3,73.9,8.5,62.2,41.9,16.9,0.9,231.2,642.2,425.1
AUS Repair and installation of machinery and equipment,1.9,1397.0,4.8,3.9,4.0,1.8,12.4,114.4,6.9,36.9,5.2,11.9,0.4,1.8,0.4,13.6,2.9,2.9,1.7,11.5,7.8,7.8,9.8,21.8,7.7,2.6,20.0,12.8,55.4,60.6
"AUS Electricity, gas, steam and air conditioning supply",0.1,5048.4,12.6,0.4,0.2,0.3,6.9,224.6,0.8,1.8,1.1,9.0,0.1,0.1,0.5,14.2,0.1,0.1,0.0,3.8,0.4,2.7,0.4,1.1,0.1,0.7,0.3,1.8,24.8,35.1
"AUS Water collection, treatment and supply",0.0,33.8,0.1,0.0,0.0,0.0,0.1,1.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-37.5
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.1,166.6,0.2,0.1,0.1,0.1,1.1,3.6,0.3,0.6,0.3,0.4,0.0,0.1,0.1,0.9,0.1,0.1,0.1,0.4,0.1,0.5,0.1,0.4,0.5,0.2,0.1,0.7,14.1,87.1
AUS Construction,1.1,39314.0,1.6,3.8,0.6,1.4,8.3,29.7,2.4,4.8,9.5,27.9,0.3,3.8,0.5,6.7,0.6,0.7,0.6,4.9,1.1,16.6,0.8,9.5,6.8,1.1,1.2,4.6,23.1,100.2
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,2.5,6635.6,2.0,2.4,1.6,1.7,8.1,66.1,5.3,9.2,5.1,9.9,0.3,0.7,0.6,12.4,1.4,2.0,1.2,2.5,1.0,6.6,0.8,8.5,7.5,1.4,0.5,15.5,40.2,30.6
"AUS Wholesale trade, except of motor vehicles and motorcycles",35.6,12892.7,30.0,35.0,24.0,23.2,98.9,862.5,77.3,141.8,69.5,147.8,4.5,11.0,17.7,193.6,22.0,26.0,18.0,42.0,15.5,94.4,13.5,121.6,99.0,21.0,11.0,209.9,569.2,1383.4
"AUS Retail trade, except of motor vehicles and motorcycles",1.4,23864.7,2.4,1.4,0.9,1.3,9.8,43.2,3.5,5.4,5.4,6.1,0.2,0.5,1.7,10.1,1.1,0.8,0.6,3.3,0.7,5.3,0.5,5.2,3.7,0.8,0.4,8.4,32.9,56.3
AUS Land transport and transport via pipelines,4.8,6026.1,44.2,9.0,1.8,8.0,20.7,518.7,26.5,35.9,26.6,42.8,0.7,0.8,1.6,135.7,5.7,1.8,1.2,18.3,1.2,72.5,2.0,11.9,41.4,34.6,1.4,19.4,366.3,1035.9
AUS Water transport,0.1,11.7,0.1,0.1,0.0,0.1,0.3,4.1,0.2,0.3,0.7,0.4,0.0,0.4,0.0,0.6,0.2,0.0,0.0,0.3,0.0,0.3,0.0,0.4,0.3,0.7,0.0,0.4,1.8,42.3
AUS Air transport,0.0,1724.6,4.5,8.3,0.6,4.5,3.6,66.4,11.8,17.5,25.5,22.0,0.4,19.3,2.0,133.9,7.6,0.5,0.3,9.4,1.2,4.1,1.2,3.0,2.3,2.9,0.8,14.7,84.9,67.4
AUS Warehousing and support activities for transportation,1.8,1876.8,32.8,2.2,1.2,1.3,6.6,357.3,11.9,23.7,7.8,18.7,0.3,3.5,0.3,114.4,2.3,1.6,0.6,4.7,2.0,10.2,1.3,4.5,10.2,3.9,0.7,6.8,94.4,123.2
AUS Postal and courier activities,0.0,373.2,1.0,0.4,0.0,0.1,0.8,15.7,2.8,1.9,15.8,1.4,0.0,0.0,0.5,1.5,0.0,0.0,0.0,12.3,0.4,0.7,0.2,0.2,0.0,0.2,0.1,0.0,18.0,114.1
AUS Accommodation and food service activities,2.5,22144.2,48.1,3.3,1.9,17.8,7.8,410.5,4.5,1.5,100.8,31.0,0.3,0.4,36.4,55.1,7.5,0.6,0.1,1.8,0.2,1.7,1.4,19.1,1.2,0.3,2.0,2.0,381.9,176.6
AUS Publishing activities,1.6,850.7,18.3,6.0,0.1,0.0,0.8,224.6,1.7,11.8,6.8,7.6,0.1,0.0,0.0,25.4,0.2,0.2,0.0,3.7,1.2,25.1,1.0,4.8,0.0,0.0,0.4,9.3,68.8,124.6
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.7,944.9,1.4,0.3,0.9,0.3,0.2,89.2,1.0,6.7,3.0,0.6,1.9,0.0,0.1,57.6,1.6,7.0,2.0,1.3,0.2,2.4,0.5,2.7,0.0,0.0,7.6,2.4,11.6,37.9
AUS Telecommunications,0.7,3871.6,8.1,4.2,0.2,0.7,4.0,72.6,6.7,5.2,40.7,9.9,0.9,1.3,1.0,45.8,0.6,0.5,1.1,14.4,3.5,6.1,1.4,3.3,13.4,2.6,2.1,0.5,89.8,44.5
"AUS Computer programming, consultancy and related activities; information service activities",0.8,4904.6,0.7,1.4,0.1,0.7,1.8,44.3,3.5,1.7,5.6,6.9,0.0,0.1,0.1,3.7,0.3,0.3,0.1,5.5,1.4,6.2,0.2,9.9,0.5,0.1,0.2,2.8,75.4,327.7
"AUS Financial service activities, except insurance and pension funding",0.5,3623.0,0.8,0.3,1.8,5.2,1.2,84.2,46.8,16.2,25.7,14.4,2.7,0.0,15.4,33.2,0.6,2.4,1.6,51.4,23.2,33.2,1.6,4.7,4.0,71.7,0.6,2.1,256.5,1086.3
