,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",8773.1,0.1,7.9,0.1,0.5,11.7,45.6,17.5,10.1,8.4,24.6,0.0,23.5,114.3,1.5,6.2,71.2,5.9,14.4,6.8,1.5,0.8,0.4,0.1,17.3,7.5,11.2,45.4,3.4,502.2
AUT Forestry and logging,215.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
AUT Fishing and aquaculture,817.6,0.0,0.2,0.0,0.1,0.4,4.1,0.7,0.4,4.2,0.8,0.0,0.4,0.3,0.0,1.1,14.0,0.9,0.1,0.1,0.0,0.0,0.0,0.0,15.7,0.0,9.9,1.6,0.9,301.3
AUT Mining and quarrying,8424.4,0.1,11.2,0.0,1.7,0.9,44.7,350.7,0.9,1.1,25.8,0.1,1.5,0.4,0.1,3.5,2.7,1.0,0.1,2.2,0.5,0.2,0.0,0.1,0.3,0.1,0.5,190.9,5.2,45.6
"AUT Manufacture of food products, beverages and tobacco products",25973.9,3.6,32.2,1.9,6.4,417.2,590.8,93.8,6.7,53.2,915.1,0.1,349.5,9.2,38.4,21.0,3415.9,719.5,30.7,89.0,16.7,3.8,0.1,2.4,276.2,0.9,266.5,1510.3,192.6,3672.0
"AUT Manufacture of textiles, wearing apparel and leather products",2925.0,0.5,1.2,0.1,0.3,11.9,9.0,6.9,1.2,2.8,34.6,0.0,3.7,1.3,1.0,2.5,14.9,7.9,0.7,3.9,1.1,4.5,0.2,0.1,10.5,0.6,1.4,60.7,7.0,263.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",19.2,0.0,0.1,0.0,0.2,0.8,2.1,0.8,0.1,0.7,1.5,0.0,0.6,0.4,0.1,0.2,2.2,0.7,0.3,0.4,0.1,0.0,0.0,0.0,0.4,0.1,0.3,5.7,0.5,0.6
AUT Manufacture of paper and paper products,1117.4,0.0,0.0,0.0,0.1,0.4,1.3,0.6,0.1,0.3,1.5,0.0,0.4,0.2,0.0,0.1,1.3,0.5,0.1,0.5,0.0,0.1,0.0,0.0,0.4,0.0,0.2,3.8,0.3,56.4
AUT Printing and reproduction of recorded media,410.4,0.0,0.1,0.0,0.1,0.6,2.1,0.4,0.1,0.3,1.3,0.0,0.4,0.2,0.1,0.1,2.4,0.6,0.1,0.3,0.1,0.1,0.0,0.0,0.3,0.0,0.3,3.6,0.4,0.0
AUT Manufacture of coke and refined petroleum products ,6252.6,0.0,0.1,0.0,0.3,1.6,6.4,1.0,0.1,0.4,2.0,0.0,2.5,0.8,0.1,0.2,23.2,5.2,0.3,0.8,0.2,0.0,0.0,0.0,0.6,0.1,34.6,5.3,1.8,391.6
AUT Manufacture of chemicals and chemical products ,2596.9,0.1,0.4,0.1,0.9,4.0,28.7,9.9,0.5,3.2,26.7,0.1,7.6,16.4,0.6,1.0,18.5,13.7,1.0,3.1,7.0,0.2,0.0,0.1,1.7,0.9,8.5,42.5,12.0,207.7
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2156.8,0.4,5.7,0.2,4.2,53.5,74.3,75.0,8.3,50.7,9.6,0.1,7.7,0.6,19.2,12.0,8.2,84.8,10.1,14.4,1.3,5.4,0.6,0.6,0.3,0.0,82.2,165.9,42.9,599.2
AUT Manufacture of rubber and plastic products,1568.7,0.2,0.4,0.1,2.3,4.2,32.3,3.4,0.7,2.1,8.6,0.0,6.6,3.8,0.5,0.8,8.9,3.7,1.9,2.5,0.8,0.2,0.1,0.0,1.4,0.3,1.8,29.0,2.7,74.2
AUT Manufacture of other non-metallic mineral products,-169.6,0.1,0.1,0.0,0.3,0.9,3.8,0.9,0.2,0.5,2.0,0.0,1.0,0.6,0.1,0.3,2.0,1.0,0.4,0.5,0.1,0.1,0.0,0.0,0.5,0.1,0.4,5.2,0.6,7.0
AUT Manufacture of basic metals,-52.1,0.1,0.5,0.1,1.0,117.2,12.2,2.1,0.4,2.9,4.0,0.0,3.1,1.9,0.4,0.7,5.7,2.5,2.1,1.6,0.3,0.1,0.0,0.0,1.0,0.2,0.6,36.6,2.0,0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",2678.8,0.6,5.3,0.2,2.5,7.7,20.6,7.4,1.3,13.7,12.4,0.1,16.7,10.9,0.6,2.4,17.7,5.3,23.1,2.1,0.6,0.4,0.2,0.1,4.2,0.8,3.5,84.2,5.8,233.7
"AUT Manufacture of computer, electronic and optical products",3221.3,1.8,3.7,1.3,13.5,16.4,36.7,48.5,10.4,11.9,60.5,0.4,13.7,10.7,0.8,9.9,33.1,28.8,3.4,1.6,2.0,1.4,1.1,0.8,4.0,2.2,7.9,182.9,19.7,559.4
AUT Manufacture of electrical equipment,2769.3,1.6,1.4,0.4,2.4,8.3,27.7,7.8,1.8,5.3,24.5,0.1,11.2,7.8,1.1,3.0,8.1,8.0,2.1,1.8,0.7,0.4,1.8,0.1,2.0,2.2,4.0,53.1,5.8,203.6
AUT Manufacture of machinery and equipment n.e.c.,5236.5,2.6,2.2,1.6,12.0,25.9,127.8,19.5,5.1,7.3,33.7,0.4,40.3,27.1,0.9,10.5,10.3,15.6,17.8,4.3,2.1,1.4,0.8,0.3,33.1,5.7,5.6,116.0,13.1,487.0
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8560.4,0.5,0.6,0.6,21.8,86.5,35.1,8.1,0.7,2.4,38.8,0.2,27.2,3.5,0.6,1.4,8.2,82.9,1.3,2.8,0.3,0.3,0.2,0.0,1.7,0.4,1.6,941.6,12.2,2124.4
AUT Manufacture of other transport equipment,4209.8,0.1,1.0,0.1,0.9,19.7,6.5,7.4,13.3,6.5,41.8,0.0,13.9,10.7,0.3,22.3,1.1,1.5,1.6,7.5,1.1,0.1,0.3,0.1,0.8,1.0,1.4,64.2,5.7,203.2
AUT Manufacture of furniture; other manufacturing,2704.2,0.8,1.2,0.2,1.4,16.4,20.1,18.4,1.5,27.6,29.7,0.3,2.9,6.3,5.3,2.6,32.5,3.2,1.3,16.0,1.8,0.8,0.4,0.1,1.3,0.9,1.0,201.7,14.0,198.2
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",11623.7,0.0,0.5,0.0,0.1,0.3,1.1,2.0,0.0,0.1,0.4,0.0,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,2.7
"AUT Water collection, treatment and supply",5669.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-61.0
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",799.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5
AUT Construction,161705.2,0.1,0.3,0.0,8.1,2.6,35.8,1.8,1.2,1.5,4.1,0.0,3.0,1.2,0.3,1.9,6.2,2.1,0.3,3.4,0.5,0.3,0.1,0.1,0.7,0.1,1.1,23.3,5.0,63.4
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6324.5,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.1,5.2
"AUT Wholesale trade, except of motor vehicles and motorcycles",45209.2,2.9,10.3,1.6,17.9,97.6,167.9,91.1,14.7,42.9,166.2,0.8,61.4,33.3,13.3,18.6,327.1,120.1,15.5,24.3,5.8,4.6,1.6,1.1,37.1,4.6,66.6,489.9,57.6,480.6
"AUT Retail trade, except of motor vehicles and motorcycles",65074.1,0.6,3.0,0.3,4.2,33.9,52.0,19.3,2.6,10.9,62.2,0.2,23.2,6.6,4.2,4.0,176.3,46.1,3.9,8.5,1.6,1.2,0.3,0.2,16.5,0.8,20.8,152.5,17.7,144.6
AUT Land transport and transport via pipelines,14509.0,3.1,10.2,1.1,12.3,75.0,132.7,66.9,9.3,32.8,131.4,0.5,51.9,26.2,10.4,13.2,292.2,93.9,12.3,18.5,4.2,3.3,1.1,0.7,32.2,4.3,48.8,379.0,52.9,510.8
AUT Water transport,667.5,0.0,0.2,0.0,0.3,0.2,0.2,0.5,0.0,0.2,0.4,0.0,0.2,0.1,0.0,0.1,0.7,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,1.1,0.4,4.1
AUT Air transport,780.9,0.1,0.4,0.0,2.9,1.6,0.7,1.3,1.1,0.9,3.7,0.0,1.3,1.0,0.1,2.1,0.7,0.3,0.1,0.8,0.3,0.0,0.0,0.0,0.1,0.1,0.2,8.5,2.0,30.8
