,0
"AUT Crop and animal production, hunting and related service activities",1411.7
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,879.0
"AUT Manufacture of food products, beverages and tobacco products",1181.0
"AUT Manufacture of textiles, wearing apparel and leather products",181.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",631.0
AUT Manufacture of paper and paper products,1454.1
AUT Printing and reproduction of recorded media,32.8
AUT Manufacture of coke and refined petroleum products ,444.0
AUT Manufacture of chemicals and chemical products ,2108.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.2
AUT Manufacture of rubber and plastic products,197.7
AUT Manufacture of other non-metallic mineral products,5287.4
AUT Manufacture of basic metals,21185.2
"AUT Manufacture of fabricated metal products, except machinery and equipment",334.7
"AUT Manufacture of computer, electronic and optical products",33.7
AUT Manufacture of electrical equipment,210.7
AUT Manufacture of machinery and equipment n.e.c.,201.7
"AUT Manufacture of motor vehicles, trailers and semi-trailers",187.7
AUT Manufacture of other transport equipment,13.3
AUT Manufacture of furniture; other manufacturing,168.5
AUT Repair and installation of machinery and equipment,35.9
"AUT Electricity, gas, steam and air conditioning supply",14576.4
"AUT Water collection, treatment and supply",17.5
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",116.8
AUT Construction,3169.3
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,424.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",1356.4
"AUT Retail trade, except of motor vehicles and motorcycles",1068.1
AUT Land transport and transport via pipelines,3399.7
AUT Water transport,125.2
AUT Air transport,3469.9
AUT Warehousing and support activities for transportation,214.7
AUT Postal and courier activities,93.9
AUT Accommodation and food service activities,817.7
AUT Publishing activities,3.3
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",28.9
AUT Telecommunications,38.9
"AUT Computer programming, consultancy and related activities; information service activities",70.3
"AUT Financial service activities, except insurance and pension funding",207.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",21.5
AUT Activities auxiliary to financial services and insurance activities,51.7
AUT Real estate activities,178.8
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,144.5
AUT Scientific research and development,51.9
AUT Advertising and market research,20.7
"AUT Other professional, scientific and technical activities; veterinary activities",51.7
AUT Administrative and support service activities,314.3
AUT Public administration and defence; compulsory social security,239.5
AUT Education,238.3
AUT Human health and social work activities,903.0
AUT Other service activities,698.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",6175.1
AUS Forestry and logging,853.9
AUS Fishing and aquaculture,27.3
AUS Mining and quarrying,14752.0
"AUS Manufacture of food products, beverages and tobacco products",3827.5
"AUS Manufacture of textiles, wearing apparel and leather products",573.4
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",138.4
AUS Manufacture of paper and paper products,1618.3
AUS Printing and reproduction of recorded media,310.1
AUS Manufacture of coke and refined petroleum products ,6129.5
AUS Manufacture of chemicals and chemical products ,7721.2
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,39.1
AUS Manufacture of rubber and plastic products,114.3
AUS Manufacture of other non-metallic mineral products,12449.3
AUS Manufacture of basic metals,37583.7
"AUS Manufacture of fabricated metal products, except machinery and equipment",332.1
"AUS Manufacture of computer, electronic and optical products",117.9
AUS Manufacture of electrical equipment,141.9
AUS Manufacture of machinery and equipment n.e.c.,288.4
"AUS Manufacture of motor vehicles, trailers and semi-trailers",201.9
AUS Manufacture of other transport equipment,94.8
AUS Manufacture of furniture; other manufacturing,347.6
AUS Repair and installation of machinery and equipment,0.0
"AUS Electricity, gas, steam and air conditioning supply",204887.2
"AUS Water collection, treatment and supply",264.5
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",97.9
AUS Construction,4108.9
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,781.1
"AUS Wholesale trade, except of motor vehicles and motorcycles",3083.5
"AUS Retail trade, except of motor vehicles and motorcycles",2921.3
AUS Land transport and transport via pipelines,9184.0
AUS Water transport,2594.5
AUS Air transport,27712.1
AUS Warehousing and support activities for transportation,921.9
AUS Postal and courier activities,375.6
AUS Accommodation and food service activities,1865.4
AUS Publishing activities,9.0
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",12.8
AUS Telecommunications,412.7
"AUS Computer programming, consultancy and related activities; information service activities",380.7
"AUS Financial service activities, except insurance and pension funding",545.2
"AUS Insurance, reinsurance and pension funding, except compulsory social security",193.6
AUS Activities auxiliary to financial services and insurance activities,284.2
AUS Real estate activities,381.8
AUS Legal and accounting activities; activities of head offices; management consultancy activities,1680.9
AUS Architectural and engineering activities; technical testing and analysis,0.0
AUS Scientific research and development,0.0
AUS Advertising and market research,0.0
"AUS Other professional, scientific and technical activities; veterinary activities",0.0
AUS Administrative and support service activities,1072.0
AUS Public administration and defence; compulsory social security,1999.1
AUS Education,2011.8
AUS Human health and social work activities,4416.4
AUS Other service activities,6000.0
AUS Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUS Activities of extraterritorial organizations and bodies,0.0
"BEL Crop and animal production, hunting and related service activities",2313.8
BEL Forestry and logging,40.6
BEL Fishing and aquaculture,435.9
BEL Mining and quarrying,780.7
"BEL Manufacture of food products, beverages and tobacco products",2353.5
"BEL Manufacture of textiles, wearing apparel and leather products",428.5
"BEL Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",69.6
BEL Manufacture of paper and paper products,374.3
BEL Printing and reproduction of recorded media,258.2
BEL Manufacture of coke and refined petroleum products ,4678.0
BEL Manufacture of chemicals and chemical products ,10657.3
BEL Manufacture of basic pharmaceutical products and pharmaceutical preparations,243.4
BEL Manufacture of rubber and plastic products,93.7
BEL Manufacture of other non-metallic mineral products,9992.9
BEL Manufacture of basic metals,12809.8
"BEL Manufacture of fabricated metal products, except machinery and equipment",267.7
"BEL Manufacture of computer, electronic and optical products",88.8
BEL Manufacture of electrical equipment,73.0
BEL Manufacture of machinery and equipment n.e.c.,186.9
"BEL Manufacture of motor vehicles, trailers and semi-trailers",154.5
BEL Manufacture of other transport equipment,34.3
BEL Manufacture of furniture; other manufacturing,73.0
BEL Repair and installation of machinery and equipment,45.9
"BEL Electricity, gas, steam and air conditioning supply",24477.8
"BEL Water collection, treatment and supply",25.6
"BEL Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",850.5
BEL Construction,1821.1
BEL Wholesale and retail trade and repair of motor vehicles and motorcycles,674.1
"BEL Wholesale trade, except of motor vehicles and motorcycles",1504.6
"BEL Retail trade, except of motor vehicles and motorcycles",820.6
BEL Land transport and transport via pipelines,6322.8
BEL Water transport,745.5
BEL Air transport,2910.6
BEL Warehousing and support activities for transportation,849.6
BEL Postal and courier activities,114.4
BEL Accommodation and food service activities,563.8
BEL Publishing activities,87.4
"BEL Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",37.5
BEL Telecommunications,47.2
"BEL Computer programming, consultancy and related activities; information service activities",85.8
"BEL Financial service activities, except insurance and pension funding",86.9
"BEL Insurance, reinsurance and pension funding, except compulsory social security",38.9
BEL Activities auxiliary to financial services and insurance activities,42.0
BEL Real estate activities,105.4
BEL Legal and accounting activities; activities of head offices; management consultancy activities,580.3
BEL Architectural and engineering activities; technical testing and analysis,70.3
BEL Scientific research and development,72.4
BEL Advertising and market research,24.5
"BEL Other professional, scientific and technical activities; veterinary activities",37.8
BEL Administrative and support service activities,1168.2
BEL Public administration and defence; compulsory social security,1721.1
BEL Education,1033.0
BEL Human health and social work activities,836.1
BEL Other service activities,657.7
BEL Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,37.4
BEL Activities of extraterritorial organizations and bodies,0.0
"BGR Crop and animal production, hunting and related service activities",1393.7
BGR Forestry and logging,114.6
BGR Fishing and aquaculture,0.9
BGR Mining and quarrying,612.3
"BGR Manufacture of food products, beverages and tobacco products",597.9
"BGR Manufacture of textiles, wearing apparel and leather products",352.4
"BGR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",134.2
BGR Manufacture of paper and paper products,377.9
BGR Printing and reproduction of recorded media,36.5
BGR Manufacture of coke and refined petroleum products ,837.7
BGR Manufacture of chemicals and chemical products ,3978.7
BGR Manufacture of basic pharmaceutical products and pharmaceutical preparations,6.8
BGR Manufacture of rubber and plastic products,35.0
BGR Manufacture of other non-metallic mineral products,3939.9
BGR Manufacture of basic metals,4340.8
"BGR Manufacture of fabricated metal products, except machinery and equipment",112.2
"BGR Manufacture of computer, electronic and optical products",15.9
BGR Manufacture of electrical equipment,26.8
BGR Manufacture of machinery and equipment n.e.c.,74.4
"BGR Manufacture of motor vehicles, trailers and semi-trailers",10.0
BGR Manufacture of other transport equipment,7.9
BGR Manufacture of furniture; other manufacturing,40.5
BGR Repair and installation of machinery and equipment,34.5
"BGR Electricity, gas, steam and air conditioning supply",27899.6
"BGR Water collection, treatment and supply",28.5
"BGR Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",49.9
BGR Construction,322.7
BGR Wholesale and retail trade and repair of motor vehicles and motorcycles,55.8
"BGR Wholesale trade, except of motor vehicles and motorcycles",211.0
"BGR Retail trade, except of motor vehicles and motorcycles",272.6
BGR Land transport and transport via pipelines,2654.0
BGR Water transport,263.3
BGR Air transport,1190.2
BGR Warehousing and support activities for transportation,98.4
BGR Postal and courier activities,39.6
BGR Accommodation and food service activities,26.7
BGR Publishing activities,0.2
"BGR Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.1
BGR Telecommunications,14.2
"BGR Computer programming, consultancy and related activities; information service activities",74.4
"BGR Financial service activities, except insurance and pension funding",12.4
"BGR Insurance, reinsurance and pension funding, except compulsory social security",26.2
BGR Activities auxiliary to financial services and insurance activities,5.6
BGR Real estate activities,11.3
BGR Legal and accounting activities; activities of head offices; management consultancy activities,16.5
BGR Architectural and engineering activities; technical testing and analysis,25.3
BGR Scientific research and development,14.7
BGR Advertising and market research,10.7
"BGR Other professional, scientific and technical activities; veterinary activities",11.0
BGR Administrative and support service activities,30.9
BGR Public administration and defence; compulsory social security,258.4
BGR Education,192.8
BGR Human health and social work activities,165.1
BGR Other service activities,88.9
BGR Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BGR Activities of extraterritorial organizations and bodies,0.0
"BRA Crop and animal production, hunting and related service activities",26327.1
BRA Forestry and logging,1431.2
BRA Fishing and aquaculture,318.1
