,0
"AUT Crop and animal production, hunting and related service activities",1479.1
AUT Forestry and logging,85.9
AUT Fishing and aquaculture,0.1
AUT Mining and quarrying,888.4
"AUT Manufacture of food products, beverages and tobacco products",1073.2
"AUT Manufacture of textiles, wearing apparel and leather products",68.4
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",372.7
AUT Manufacture of paper and paper products,2231.7
AUT Printing and reproduction of recorded media,24.9
AUT Manufacture of coke and refined petroleum products ,2810.2
AUT Manufacture of chemicals and chemical products ,2102.7
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,6.0
AUT Manufacture of rubber and plastic products,37.6
AUT Manufacture of other non-metallic mineral products,5396.3
AUT Manufacture of basic metals,10027.1
"AUT Manufacture of fabricated metal products, except machinery and equipment",175.5
"AUT Manufacture of computer, electronic and optical products",48.4
AUT Manufacture of electrical equipment,81.3
AUT Manufacture of machinery and equipment n.e.c.,175.6
"AUT Manufacture of motor vehicles, trailers and semi-trailers",54.0
AUT Manufacture of other transport equipment,8.3
AUT Manufacture of furniture; other manufacturing,87.5
AUT Repair and installation of machinery and equipment,11.9
"AUT Electricity, gas, steam and air conditioning supply",9511.3
"AUT Water collection, treatment and supply",197.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",120.7
AUT Construction,2824.9
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,162.4
"AUT Wholesale trade, except of motor vehicles and motorcycles",625.4
"AUT Retail trade, except of motor vehicles and motorcycles",515.5
AUT Land transport and transport via pipelines,3431.9
AUT Water transport,76.7
AUT Air transport,2574.4
AUT Warehousing and support activities for transportation,148.3
AUT Postal and courier activities,40.9
AUT Accommodation and food service activities,521.0
AUT Publishing activities,51.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",61.2
AUT Telecommunications,17.9
"AUT Computer programming, consultancy and related activities; information service activities",36.7
"AUT Financial service activities, except insurance and pension funding",48.7
"AUT Insurance, reinsurance and pension funding, except compulsory social security",21.6
AUT Activities auxiliary to financial services and insurance activities,39.0
AUT Real estate activities,50.6
AUT Legal and accounting activities; activities of head offices; management consultancy activities,85.7
AUT Architectural and engineering activities; technical testing and analysis,30.2
AUT Scientific research and development,9.1
AUT Advertising and market research,22.3
"AUT Other professional, scientific and technical activities; veterinary activities",52.0
AUT Administrative and support service activities,266.5
AUT Public administration and defence; compulsory social security,289.7
AUT Education,869.0
AUT Human health and social work activities,307.3
AUT Other service activities,602.7
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",5484.0
AUS Forestry and logging,1027.2
AUS Fishing and aquaculture,28.0
AUS Mining and quarrying,15800.9
"AUS Manufacture of food products, beverages and tobacco products",3485.2
"AUS Manufacture of textiles, wearing apparel and leather products",469.4
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",275.7
AUS Manufacture of paper and paper products,1305.4
AUS Printing and reproduction of recorded media,250.5
AUS Manufacture of coke and refined petroleum products ,4980.9
AUS Manufacture of chemicals and chemical products ,7429.2
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,60.6
AUS Manufacture of rubber and plastic products,87.3
AUS Manufacture of other non-metallic mineral products,12303.1
AUS Manufacture of basic metals,33068.4
"AUS Manufacture of fabricated metal products, except machinery and equipment",402.4
"AUS Manufacture of computer, electronic and optical products",123.2
AUS Manufacture of electrical equipment,138.0
AUS Manufacture of machinery and equipment n.e.c.,269.4
"AUS Manufacture of motor vehicles, trailers and semi-trailers",130.6
AUS Manufacture of other transport equipment,76.0
AUS Manufacture of furniture; other manufacturing,312.2
AUS Repair and installation of machinery and equipment,0.0
"AUS Electricity, gas, steam and air conditioning supply",225195.7
"AUS Water collection, treatment and supply",237.8
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",118.3
AUS Construction,4041.1
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,696.3
"AUS Wholesale trade, except of motor vehicles and motorcycles",3024.8
"AUS Retail trade, except of motor vehicles and motorcycles",2684.1
AUS Land transport and transport via pipelines,10240.5
AUS Water transport,3547.9
AUS Air transport,36952.5
AUS Warehousing and support activities for transportation,1067.1
AUS Postal and courier activities,454.0
AUS Accommodation and food service activities,1948.7
AUS Publishing activities,12.4
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",13.0
AUS Telecommunications,462.2
"AUS Computer programming, consultancy and related activities; information service activities",389.1
"AUS Financial service activities, except insurance and pension funding",473.7
"AUS Insurance, reinsurance and pension funding, except compulsory social security",212.5
AUS Activities auxiliary to financial services and insurance activities,285.7
AUS Real estate activities,374.5
AUS Legal and accounting activities; activities of head offices; management consultancy activities,1773.7
AUS Architectural and engineering activities; technical testing and analysis,0.0
AUS Scientific research and development,0.0
AUS Advertising and market research,0.0
"AUS Other professional, scientific and technical activities; veterinary activities",0.0
AUS Administrative and support service activities,1013.9
AUS Public administration and defence; compulsory social security,1968.3
AUS Education,2025.1
AUS Human health and social work activities,4509.4
AUS Other service activities,6149.8
AUS Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUS Activities of extraterritorial organizations and bodies,0.0
"BEL Crop and animal production, hunting and related service activities",1956.6
BEL Forestry and logging,36.3
BEL Fishing and aquaculture,190.8
BEL Mining and quarrying,613.0
"BEL Manufacture of food products, beverages and tobacco products",2053.4
"BEL Manufacture of textiles, wearing apparel and leather products",292.1
"BEL Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",49.8
BEL Manufacture of paper and paper products,285.1
BEL Printing and reproduction of recorded media,216.5
BEL Manufacture of coke and refined petroleum products ,6074.1
BEL Manufacture of chemicals and chemical products ,7559.9
BEL Manufacture of basic pharmaceutical products and pharmaceutical preparations,200.0
BEL Manufacture of rubber and plastic products,70.4
BEL Manufacture of other non-metallic mineral products,8055.0
BEL Manufacture of basic metals,5757.2
"BEL Manufacture of fabricated metal products, except machinery and equipment",198.5
"BEL Manufacture of computer, electronic and optical products",40.5
BEL Manufacture of electrical equipment,64.2
BEL Manufacture of machinery and equipment n.e.c.,117.3
"BEL Manufacture of motor vehicles, trailers and semi-trailers",75.2
BEL Manufacture of other transport equipment,25.7
BEL Manufacture of furniture; other manufacturing,67.2
BEL Repair and installation of machinery and equipment,86.3
"BEL Electricity, gas, steam and air conditioning supply",20799.1
"BEL Water collection, treatment and supply",22.4
"BEL Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",928.0
BEL Construction,2209.6
BEL Wholesale and retail trade and repair of motor vehicles and motorcycles,389.3
"BEL Wholesale trade, except of motor vehicles and motorcycles",1317.3
"BEL Retail trade, except of motor vehicles and motorcycles",723.4
BEL Land transport and transport via pipelines,4161.6
BEL Water transport,575.7
BEL Air transport,3248.2
BEL Warehousing and support activities for transportation,1627.1
BEL Postal and courier activities,109.4
BEL Accommodation and food service activities,529.5
BEL Publishing activities,89.2
"BEL Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",48.2
BEL Telecommunications,47.8
"BEL Computer programming, consultancy and related activities; information service activities",117.0
"BEL Financial service activities, except insurance and pension funding",116.4
"BEL Insurance, reinsurance and pension funding, except compulsory social security",43.8
BEL Activities auxiliary to financial services and insurance activities,128.7
BEL Real estate activities,144.6
BEL Legal and accounting activities; activities of head offices; management consultancy activities,631.9
BEL Architectural and engineering activities; technical testing and analysis,172.7
BEL Scientific research and development,67.2
BEL Advertising and market research,40.1
"BEL Other professional, scientific and technical activities; veterinary activities",38.3
BEL Administrative and support service activities,1093.2
BEL Public administration and defence; compulsory social security,1451.9
BEL Education,739.0
BEL Human health and social work activities,872.2
BEL Other service activities,620.6
BEL Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,34.0
BEL Activities of extraterritorial organizations and bodies,0.0
"BGR Crop and animal production, hunting and related service activities",820.4
BGR Forestry and logging,42.0
BGR Fishing and aquaculture,2.5
BGR Mining and quarrying,269.0
"BGR Manufacture of food products, beverages and tobacco products",322.1
"BGR Manufacture of textiles, wearing apparel and leather products",86.3
"BGR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",59.5
BGR Manufacture of paper and paper products,131.7
BGR Printing and reproduction of recorded media,4.3
BGR Manufacture of coke and refined petroleum products ,17.1
BGR Manufacture of chemicals and chemical products ,1681.7
BGR Manufacture of basic pharmaceutical products and pharmaceutical preparations,26.0
BGR Manufacture of rubber and plastic products,34.2
BGR Manufacture of other non-metallic mineral products,3085.3
BGR Manufacture of basic metals,447.9
"BGR Manufacture of fabricated metal products, except machinery and equipment",58.9
"BGR Manufacture of computer, electronic and optical products",3.4
BGR Manufacture of electrical equipment,12.8
BGR Manufacture of machinery and equipment n.e.c.,26.6
"BGR Manufacture of motor vehicles, trailers and semi-trailers",4.9
BGR Manufacture of other transport equipment,3.7
BGR Manufacture of furniture; other manufacturing,20.1
BGR Repair and installation of machinery and equipment,7.2
"BGR Electricity, gas, steam and air conditioning supply",30745.6
"BGR Water collection, treatment and supply",24.4
"BGR Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",62.2
BGR Construction,537.1
BGR Wholesale and retail trade and repair of motor vehicles and motorcycles,31.6
"BGR Wholesale trade, except of motor vehicles and motorcycles",284.8
"BGR Retail trade, except of motor vehicles and motorcycles",79.2
BGR Land transport and transport via pipelines,3908.7
BGR Water transport,69.7
BGR Air transport,71.6
BGR Warehousing and support activities for transportation,39.1
BGR Postal and courier activities,29.7
BGR Accommodation and food service activities,55.5
BGR Publishing activities,1.5
"BGR Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",3.9
BGR Telecommunications,16.6
"BGR Computer programming, consultancy and related activities; information service activities",11.8
"BGR Financial service activities, except insurance and pension funding",22.1
"BGR Insurance, reinsurance and pension funding, except compulsory social security",2.5
BGR Activities auxiliary to financial services and insurance activities,6.3
BGR Real estate activities,20.8
BGR Legal and accounting activities; activities of head offices; management consultancy activities,23.4
BGR Architectural and engineering activities; technical testing and analysis,12.1
BGR Scientific research and development,3.9
BGR Advertising and market research,6.3
"BGR Other professional, scientific and technical activities; veterinary activities",7.9
BGR Administrative and support service activities,59.5
BGR Public administration and defence; compulsory social security,78.5
BGR Education,231.7
BGR Human health and social work activities,77.1
BGR Other service activities,37.9
BGR Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BGR Activities of extraterritorial organizations and bodies,0.0
"BRA Crop and animal production, hunting and related service activities",27155.6
BRA Forestry and logging,1351.4
BRA Fishing and aquaculture,271.7
BRA Mining and quarrying,13099.8
"BRA Manufacture of food products, beverages and tobacco products",5569.0
"BRA Manufacture of textiles, wearing apparel and leather products",3344.6
"BRA Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",604.5
BRA Manufacture of paper and paper products,4090.8
BRA Printing and reproduction of recorded media,224.1
BRA Manufacture of coke and refined petroleum products ,20857.3
BRA Manufacture of chemicals and chemical products ,15762.5
BRA Manufacture of basic pharmaceutical products and pharmaceutical preparations,76.8
BRA Manufacture of rubber and plastic products,1737.4
BRA Manufacture of other non-metallic mineral products,38415.7
BRA Manufacture of basic metals,68169.5
"BRA Manufacture of fabricated metal products, except machinery and equipment",1080.7
"BRA Manufacture of computer, electronic and optical products",301.7
BRA Manufacture of electrical equipment,721.8
BRA Manufacture of machinery and equipment n.e.c.,768.1
"BRA Manufacture of motor vehicles, trailers and semi-trailers",1307.3
BRA Manufacture of other transport equipment,199.3
BRA Manufacture of furniture; other manufacturing,1618.8
BRA Repair and installation of machinery and equipment,0.0
"BRA Electricity, gas, steam and air conditioning supply",21797.5
"BRA Water collection, treatment and supply",209.6
"BRA Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.0
BRA Construction,6150.0
BRA Wholesale and retail trade and repair of motor vehicles and motorcycles,2073.6
"BRA Wholesale trade, except of motor vehicles and motorcycles",4996.8
"BRA Retail trade, except of motor vehicles and motorcycles",6744.9
BRA Land transport and transport via pipelines,37878.6
BRA Water transport,8059.1
BRA Air transport,23193.4
BRA Warehousing and support activities for transportation,3979.2
BRA Postal and courier activities,0.0
BRA Accommodation and food service activities,3260.5
BRA Publishing activities,9.9
"BRA Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",12.4
BRA Telecommunications,633.7
"BRA Computer programming, consultancy and related activities; information service activities",540.6
"BRA Financial service activities, except insurance and pension funding",795.2
"BRA Insurance, reinsurance and pension funding, except compulsory social security",0.0
BRA Activities auxiliary to financial services and insurance activities,0.0
BRA Real estate activities,500.4
BRA Legal and accounting activities; activities of head offices; management consultancy activities,1951.5
BRA Architectural and engineering activities; technical testing and analysis,793.4
BRA Scientific research and development,481.2
BRA Advertising and market research,0.0
"BRA Other professional, scientific and technical activities; veterinary activities",0.0
BRA Administrative and support service activities,2940.9
BRA Public administration and defence; compulsory social security,4369.0
BRA Education,3972.2
BRA Human health and social work activities,2421.6
BRA Other service activities,2904.9
BRA Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BRA Activities of extraterritorial organizations and bodies,0.0
"CAN Crop and animal production, hunting and related service activities",9525.8
CAN Forestry and logging,2950.5
CAN Fishing and aquaculture,56.4
CAN Mining and quarrying,74470.7
"CAN Manufacture of food products, beverages and tobacco products",4400.1
"CAN Manufacture of textiles, wearing apparel and leather products",323.5
"CAN Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2387.1
CAN Manufacture of paper and paper products,4692.7
CAN Printing and reproduction of recorded media,714.7
CAN Manufacture of coke and refined petroleum products ,27790.3
CAN Manufacture of chemicals and chemical products ,12540.1
CAN Manufacture of basic pharmaceutical products and pharmaceutical preparations,104.2
CAN Manufacture of rubber and plastic products,1737.9
CAN Manufacture of other non-metallic mineral products,12038.0
CAN Manufacture of basic metals,22069.6
