,0
AUT,13816.2
AUS,39624.2
BEL,25676.0
BGR,2012.9
BRA,77895.8
CAN,110473.5
CHN,582384.9
DEU,179169.6
ESP,62888.3
FRA,115111.5
GBR,124574.2
HUN,12913.2
IDN,72874.3
IND,153809.8
IRL,11670.7
ITA,97250.3
JPN,129616.4
KOR,52042.2
MEX,89659.6
NLD,32866.2
NOR,4878.2
POL,45530.4
PRT,8162.6
ROU,14416.8
RUS,197649.8
TUR,86771.4
TWN,20498.8
USA,913979.7
REU,91538.2
RoW,858072.8
