,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",3361.4,0.1,10.6,0.0,0.1,7.7,27.3,8.3,1.5,4.3,21.8,0.0,36.0,89.9,0.3,6.6,105.5,7.7,7.0,21.7,0.5,0.0,0.4,0.0,0.2,0.0,25.6,50.6,2.9,349.9
AUT Forestry and logging,113.9,0.0,0.0,0.0,0.0,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.3
AUT Fishing and aquaculture,345.5,0.0,2.1,0.0,0.1,0.0,6.8,0.0,2.2,7.5,2.7,0.0,1.8,2.1,0.0,7.1,56.1,0.6,0.1,0.0,0.1,0.0,0.0,0.0,17.5,0.1,33.7,0.3,0.7,149.2
AUT Mining and quarrying,1188.2,0.0,0.7,0.0,0.0,0.1,4.6,56.7,0.1,0.1,15.6,0.3,4.2,0.0,0.1,0.9,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,2.2,3.6,9.1
"AUT Manufacture of food products, beverages and tobacco products",11842.3,2.9,13.4,0.1,1.1,396.7,156.3,60.9,8.1,32.4,674.2,0.4,147.5,4.4,25.1,2.7,1735.2,270.9,79.7,36.9,8.8,2.5,0.7,0.2,37.2,0.2,207.3,1053.2,95.5,1726.5
"AUT Manufacture of textiles, wearing apparel and leather products",987.0,0.2,0.2,0.0,0.2,7.5,7.3,3.7,1.6,2.0,21.8,0.0,1.4,1.1,0.2,2.6,9.6,6.8,0.2,0.7,0.3,0.3,0.1,0.0,1.4,0.2,1.1,260.3,2.8,211.4
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",286.1,0.0,0.1,0.0,0.0,0.5,0.8,0.3,0.1,0.2,1.3,0.0,0.5,0.3,0.0,0.1,1.5,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.3,4.2,0.3,1.6
AUT Manufacture of paper and paper products,580.4,0.0,0.3,0.0,0.0,0.3,0.5,0.1,0.0,0.1,0.5,0.0,0.3,0.1,0.0,0.0,0.7,0.3,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,6.8,0.5,26.0
AUT Printing and reproduction of recorded media,146.9,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.0,0.1,0.8,0.0,0.2,0.1,0.0,0.1,1.3,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.3,0.2,-0.0
AUT Manufacture of coke and refined petroleum products ,3489.5,0.0,0.1,0.0,0.1,0.5,5.0,0.4,0.1,0.2,1.3,0.0,10.9,0.3,0.0,0.1,16.8,1.3,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,11.2,9.0,1.0,208.5
AUT Manufacture of chemicals and chemical products ,1154.2,0.1,0.6,0.0,0.2,2.1,14.3,1.5,0.3,1.3,12.3,0.1,5.1,4.3,0.2,0.6,13.2,1.5,1.4,1.4,0.4,0.0,0.4,0.0,6.3,0.3,3.7,29.5,3.1,86.8
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,989.7,0.5,1.0,0.0,3.5,13.6,4.6,12.1,7.1,7.1,11.8,0.3,1.7,0.4,1.8,11.0,13.8,23.7,2.4,4.5,0.8,0.1,2.2,0.4,0.2,0.0,22.7,99.9,6.0,147.8
AUT Manufacture of rubber and plastic products,874.8,0.1,0.2,0.0,0.2,1.9,4.3,1.3,0.3,0.9,6.0,0.0,4.0,1.6,0.2,0.5,6.5,1.7,0.5,0.7,0.4,0.1,0.1,0.2,0.6,0.1,1.5,18.9,1.5,41.4
AUT Manufacture of other non-metallic mineral products,388.5,0.0,0.1,0.0,0.1,0.5,1.4,0.4,0.2,0.2,1.2,0.0,0.8,0.4,0.0,0.2,1.3,0.7,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.3,4.4,0.3,5.8
AUT Manufacture of basic metals,441.0,0.0,0.3,0.0,0.2,0.7,4.3,6.7,0.3,0.6,1.8,0.0,1.6,0.6,0.1,0.4,2.3,0.9,0.3,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.5,8.0,0.6,0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",1701.7,0.2,3.5,0.0,0.6,2.5,9.6,3.4,2.0,3.7,8.0,0.0,7.6,3.5,0.3,2.7,20.8,8.0,3.0,0.6,1.0,0.2,0.2,0.1,0.3,0.1,2.5,44.5,2.0,84.2
"AUT Manufacture of computer, electronic and optical products",1296.5,1.2,2.2,0.1,2.7,11.4,28.4,42.0,1.7,6.7,25.8,0.2,6.6,9.2,0.6,5.9,28.1,30.9,2.4,0.7,8.7,4.0,0.6,0.9,1.8,1.1,7.4,123.0,13.5,296.6
AUT Manufacture of electrical equipment,1481.0,2.2,0.5,0.0,1.1,7.6,13.9,4.5,1.0,2.3,12.3,0.1,3.7,2.9,0.8,1.3,6.1,5.5,0.7,0.5,0.8,0.3,0.3,0.1,0.3,0.1,2.7,42.2,2.9,100.2
AUT Manufacture of machinery and equipment n.e.c.,2679.8,0.8,1.9,0.0,3.8,7.3,46.2,9.8,3.3,5.4,24.1,0.3,29.3,13.6,0.7,4.9,9.1,15.7,3.5,1.9,1.5,0.8,0.7,0.2,1.5,0.6,8.6,80.1,6.7,207.1
