,0
"AUT Crop and animal production, hunting and related service activities",1300.0
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,881.0
"AUT Manufacture of food products, beverages and tobacco products",1122.4
"AUT Manufacture of textiles, wearing apparel and leather products",164.7
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",509.6
AUT Manufacture of paper and paper products,1453.8
AUT Printing and reproduction of recorded media,29.3
AUT Manufacture of coke and refined petroleum products ,485.0
AUT Manufacture of chemicals and chemical products ,2128.6
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.8
AUT Manufacture of rubber and plastic products,192.2
AUT Manufacture of other non-metallic mineral products,5125.3
AUT Manufacture of basic metals,19081.5
"AUT Manufacture of fabricated metal products, except machinery and equipment",291.4
"AUT Manufacture of computer, electronic and optical products",30.1
AUT Manufacture of electrical equipment,180.2
AUT Manufacture of machinery and equipment n.e.c.,172.5
"AUT Manufacture of motor vehicles, trailers and semi-trailers",174.5
AUT Manufacture of other transport equipment,14.6
AUT Manufacture of furniture; other manufacturing,154.5
AUT Repair and installation of machinery and equipment,24.5
"AUT Electricity, gas, steam and air conditioning supply",14736.8
"AUT Water collection, treatment and supply",16.5
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",98.9
AUT Construction,2644.7
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,345.3
"AUT Wholesale trade, except of motor vehicles and motorcycles",1120.0
"AUT Retail trade, except of motor vehicles and motorcycles",907.8
AUT Land transport and transport via pipelines,3308.7
AUT Water transport,105.6
AUT Air transport,4631.5
AUT Warehousing and support activities for transportation,145.8
AUT Postal and courier activities,81.1
AUT Accommodation and food service activities,740.5
AUT Publishing activities,3.3
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",33.0
AUT Telecommunications,39.7
"AUT Computer programming, consultancy and related activities; information service activities",61.0
"AUT Financial service activities, except insurance and pension funding",164.9
"AUT Insurance, reinsurance and pension funding, except compulsory social security",20.9
AUT Activities auxiliary to financial services and insurance activities,39.3
AUT Real estate activities,169.1
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,79.2
AUT Scientific research and development,16.1
AUT Advertising and market research,35.0
