,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",12386.2,0.7,5.3,0.1,0.8,12.2,198.1,50.1,13.6,9.6,35.9,0.0,60.2,193.0,5.1,25.4,92.1,17.5,0.6,4.2,3.9,3.0,0.3,0.0,30.7,5.9,18.3,36.5,12.4,865.5
AUT Forestry and logging,268.3,0.0,0.0,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.1,0.0
AUT Fishing and aquaculture,1451.1,0.0,0.0,0.0,0.2,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.1,0.3,0.1,394.4
AUT Mining and quarrying,17929.0,0.2,0.6,0.1,2.7,3.2,359.7,3.9,0.7,1.8,11.3,0.0,3.7,1.2,0.4,1.0,9.4,3.6,0.5,8.2,0.4,0.3,0.0,0.1,1.0,0.2,2.2,22.0,3.5,25.4
"AUT Manufacture of food products, beverages and tobacco products",32092.8,3.9,25.8,0.2,40.4,524.5,2388.8,98.0,3.8,34.5,973.0,0.1,441.4,17.9,19.4,50.2,3355.5,1023.4,38.1,116.5,11.1,5.3,0.2,1.0,234.0,10.3,382.0,1729.9,163.0,4926.9
"AUT Manufacture of textiles, wearing apparel and leather products",1449.8,2.1,0.4,0.1,0.3,11.5,31.1,6.9,0.4,1.3,31.4,0.2,2.7,1.9,0.8,13.1,14.1,8.7,1.1,5.0,3.7,27.7,0.1,0.1,2.4,1.4,2.3,67.3,15.4,423.6
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-571.2,0.1,0.1,0.0,0.2,1.8,3.2,5.2,0.1,0.6,1.4,0.0,0.2,0.7,0.1,0.2,2.5,0.4,0.2,3.4,0.1,0.1,0.0,0.0,0.3,0.1,0.6,16.4,2.3,0.6
AUT Manufacture of paper and paper products,1686.8,0.1,0.0,0.0,0.3,0.8,3.2,0.6,0.0,0.1,2.7,0.1,0.4,0.2,0.1,0.8,1.4,0.8,0.1,0.4,1.0,1.6,0.0,0.0,0.2,0.1,0.3,5.0,3.0,59.3
AUT Printing and reproduction of recorded media,906.6,0.1,0.0,0.0,0.9,1.0,20.1,0.6,0.4,0.6,1.0,0.0,1.5,0.2,0.1,0.6,1.2,0.5,0.1,0.4,0.1,0.4,0.0,0.0,0.1,0.0,0.3,9.2,1.1,-0.0
AUT Manufacture of coke and refined petroleum products ,6614.4,0.0,0.0,0.0,0.1,0.2,4.3,0.2,0.1,0.1,0.3,0.0,3.3,0.3,0.0,0.1,13.6,3.8,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,6.8,7.1,2.1,390.9
