,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUT Manufacture of chemicals and chemical products ,1582.1,0.1,0.5,0.0,0.3,1.8,13.6,2.4,0.7,1.4,15.5,0.1,3.0,2.5,0.3,0.6,13.7,2.0,0.5,2.1,0.8,0.1,0.1,0.0,2.5,0.6,4.0,39.2,3.2,118.6
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1240.1,1.5,0.8,0.0,4.5,16.1,6.0,21.7,9.9,9.1,18.7,0.2,1.7,0.4,6.5,9.4,22.1,52.9,3.6,3.1,1.0,1.8,2.2,0.2,0.1,0.0,34.5,117.7,10.2,204.5
AUT Manufacture of rubber and plastic products,1165.4,0.1,0.3,0.0,0.3,2.4,6.4,2.0,0.6,1.3,7.0,0.1,2.7,1.4,0.2,0.5,8.1,2.0,0.5,0.9,0.3,0.1,0.1,0.0,0.4,0.1,1.8,20.2,1.5,49.0
AUT Manufacture of other non-metallic mineral products,604.1,0.2,0.2,0.0,0.1,0.6,1.7,0.6,0.1,0.3,1.7,0.0,0.6,0.4,0.1,0.3,1.6,0.7,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.4,4.9,0.4,5.3
AUT Manufacture of basic metals,871.6,0.0,0.4,0.0,0.2,1.0,4.7,0.7,0.3,0.8,2.0,0.0,1.0,0.7,0.1,0.3,3.5,0.9,0.5,0.6,0.1,0.0,0.1,0.0,0.1,0.1,0.4,9.1,0.7,-0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",2304.5,0.3,4.4,0.0,0.8,3.9,13.4,4.8,0.9,6.6,9.9,0.1,4.9,4.2,0.3,1.2,34.2,3.7,4.8,0.8,0.7,0.2,0.2,0.1,0.4,0.2,2.0,56.3,2.4,102.5
"AUT Manufacture of computer, electronic and optical products",1894.5,1.4,2.8,0.1,3.8,17.0,50.9,60.2,2.7,7.5,45.6,0.4,3.6,22.3,1.5,6.6,29.7,29.7,2.2,1.0,1.6,2.0,0.5,1.2,0.5,1.3,10.7,131.4,19.9,364.4
AUT Manufacture of electrical equipment,1935.0,1.7,1.7,0.0,1.2,3.1,18.1,7.0,1.6,1.9,16.9,0.2,2.5,4.8,0.4,1.6,6.8,5.1,1.3,0.8,0.6,0.2,0.4,0.1,0.2,0.3,5.0,44.9,5.3,112.2
AUT Manufacture of machinery and equipment n.e.c.,3637.9,1.0,2.2,0.1,4.1,10.3,58.0,12.2,3.3,4.1,32.1,0.3,17.5,16.6,0.6,4.9,13.1,11.8,4.4,2.5,1.1,0.7,1.0,0.2,1.9,1.3,8.2,101.1,7.1,231.9
"AUT Manufacture of motor vehicles, trailers and semi-trailers",6616.3,0.1,0.4,0.0,11.5,5.3,15.8,2.3,1.1,2.9,10.3,0.0,22.2,1.4,0.3,0.8,5.9,16.3,1.0,0.9,0.6,0.1,0.2,0.0,0.2,0.1,0.7,206.8,1.9,1642.4
AUT Manufacture of other transport equipment,1984.8,0.1,0.4,0.0,0.3,78.1,3.9,4.7,29.2,26.7,30.8,0.0,8.8,10.4,0.1,8.1,12.2,1.3,0.7,2.8,15.4,0.4,0.1,0.0,0.1,0.0,0.9,51.3,2.7,243.8
AUT Manufacture of furniture; other manufacturing,1923.8,0.6,2.0,0.0,0.4,7.2,5.8,12.4,2.3,9.2,23.8,0.1,1.1,3.7,2.1,2.6,26.3,3.2,0.5,3.0,1.0,0.3,1.3,0.2,1.5,0.3,1.3,122.3,8.9,98.0
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",6736.2,0.0,0.2,0.0,0.0,0.2,0.4,2.2,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7
"AUT Water collection, treatment and supply",3345.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",519.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AUT Construction,75261.6,0.1,0.3,0.0,0.8,0.8,13.1,1.1,0.8,0.7,2.1,0.0,0.8,0.4,0.1,0.5,3.0,0.9,0.1,3.1,0.2,0.1,0.0,0.0,0.1,0.0,0.6,10.7,1.9,31.2
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3853.8,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.9
"AUT Wholesale trade, except of motor vehicles and motorcycles",27687.4,2.4,6.3,0.1,5.7,54.2,72.6,56.2,9.5,22.4,134.1,0.8,30.0,23.8,6.9,11.1,224.1,60.8,9.3,10.5,3.5,2.1,1.7,0.9,6.6,1.3,48.6,323.9,32.2,320.0
"AUT Retail trade, except of motor vehicles and motorcycles",36259.4,0.5,1.5,0.0,1.1,19.5,15.9,10.1,2.2,4.6,43.3,0.2,9.6,3.7,2.1,2.1,97.0,18.1,3.4,3.5,0.8,0.4,0.3,0.1,2.2,0.2,15.0,100.6,9.2,75.4
AUT Land transport and transport via pipelines,7225.3,2.6,7.3,0.1,4.8,48.3,61.9,45.8,7.8,17.8,121.2,0.6,31.0,19.6,6.5,10.2,233.1,53.0,8.9,10.0,2.9,1.7,1.4,0.7,6.8,1.7,45.7,290.6,33.3,432.2
AUT Water transport,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
AUT Air transport,339.2,0.0,0.2,0.0,0.3,5.4,0.3,0.7,2.1,2.0,2.4,0.0,0.8,0.7,0.0,0.7,1.6,0.2,0.0,0.5,1.1,0.0,0.0,0.0,0.0,0.0,0.1,5.4,0.9,24.8
AUT Warehousing and support activities for transportation,3455.3,1.6,15.6,0.0,0.5,1.6,1.5,28.7,2.7,13.2,22.1,0.0,13.8,3.8,0.1,11.0,62.9,10.2,0.2,4.2,6.3,0.2,0.4,0.0,0.3,0.7,7.9,6.7,20.6,301.9
AUT Postal and courier activities,2.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
AUT Accommodation and food service activities,23804.4,7.9,3.1,0.0,1.6,15.3,3.6,16.5,0.4,0.0,293.9,0.2,32.9,0.0,39.1,11.6,201.8,5.5,0.0,0.4,0.0,0.0,0.4,0.2,0.0,0.0,48.5,0.3,49.5,554.4
AUT Publishing activities,3111.6,0.5,1.3,0.0,0.4,0.0,0.4,5.0,3.0,3.3,20.0,0.6,0.2,0.0,0.0,1.7,1.5,0.2,0.0,10.0,1.0,0.1,0.2,0.2,0.0,0.0,0.3,19.0,2.7,150.0
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1682.6,0.4,0.5,0.0,2.6,0.5,0.1,4.3,0.4,2.3,23.2,0.0,41.5,0.0,0.0,0.3,2.7,0.6,0.2,0.5,1.1,0.2,0.1,0.1,0.0,0.0,3.3,33.7,2.1,85.6
AUT Telecommunications,8223.1,0.6,2.1,0.0,0.6,0.5,20.9,2.3,3.6,2.2,19.2,0.1,0.3,0.2,0.6,3.5,5.0,1.9,1.7,5.0,0.1,0.1,0.1,0.3,0.5,1.2,7.0,1.0,2.5,93.5
"AUT Computer programming, consultancy and related activities; information service activities",6921.3,0.0,0.1,0.0,0.9,0.1,3.0,0.5,1.5,0.2,0.3,0.0,0.1,0.0,0.0,0.1,2.0,0.1,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.1,113.3
"AUT Financial service activities, except insurance and pension funding",13071.6,0.0,0.1,0.0,0.6,0.1,1.6,0.3,1.1,0.2,10.7,0.0,0.8,0.0,0.7,0.0,0.6,0.2,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.6,112.1
"AUT Insurance, reinsurance and pension funding, except compulsory social security",15396.7,0.1,0.2,0.0,0.2,1.1,1.6,1.2,0.3,0.7,4.7,0.0,0.6,0.6,3.3,0.5,6.2,1.2,0.3,0.8,0.1,0.1,0.0,0.0,0.1,0.1,1.0,44.6,0.9,14.6
AUT Activities auxiliary to financial services and insurance activities,1271.8,0.0,0.5,0.0,0.1,0.0,0.2,0.1,0.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,35.3
AUT Real estate activities,49284.2,0.2,0.0,0.0,5.5,0.0,0.0,12.7,0.2,0.0,10.1,0.0,0.0,0.0,0.0,3.4,0.1,1.0,0.0,39.2,0.0,0.2,0.0,0.0,0.1,0.0,0.5,0.0,0.1,25.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,9531.7,0.2,4.8,0.0,3.0,0.5,232.3,5.4,11.6,8.0,1.9,0.0,7.6,2.1,0.1,4.8,0.1,1.7,0.0,39.2,1.9,0.7,0.2,0.2,0.0,0.0,0.1,48.4,9.0,376.5
AUT Architectural and engineering activities; technical testing and analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Scientific research and development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Advertising and market research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Administrative and support service activities,2412.0,0.1,0.1,0.0,9.9,0.2,0.1,0.7,1.2,1.2,1.8,0.0,0.2,0.0,0.4,2.0,0.5,1.5,0.0,6.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,83.4,19.6,67.5
AUT Public administration and defence; compulsory social security,46328.3,0.1,0.1,0.0,0.1,0.0,4.6,1.5,0.2,0.1,0.0,0.0,1.1,0.0,0.0,0.1,7.6,0.1,0.0,0.7,11.2,0.0,0.0,0.0,0.1,4.2,0.0,1.4,0.4,16.0
AUT Education,26566.3,1.6,0.1,0.0,1.6,10.8,12.8,0.1,0.1,0.1,31.4,0.0,16.9,74.2,0.0,1.3,1.1,0.7,0.3,5.8,0.0,0.3,0.0,0.0,1.7,0.0,1.0,38.0,4.6,853.4
AUT Human health and social work activities,36944.4,1.5,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.7,7.4,0.0,1.3,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.5,99.2
AUT Other service activities,13269.3,0.3,0.3,0.0,0.2,37.6,28.4,1.3,4.1,0.2,121.0,0.1,27.7,1.1,1.6,0.5,3.8,0.2,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.5,0.8,0.7,4.5,-31.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4878.7,0.0,0.0,0.0,0.0,2.3,1.8,0.1,0.3,0.0,7.6,0.0,1.7,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-3.1
AUT Activities of extraterritorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUS Crop and animal production, hunting and related service activities",0.8,1365.5,3.9,1.4,0.8,0.4,0.2,101.0,4.6,6.5,9.8,8.8,0.1,0.1,1.0,52.6,3.1,0.3,0.5,5.6,1.4,11.0,0.6,5.8,10.4,0.3,0.1,7.4,70.7,30.3
AUS Forestry and logging,0.0,228.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS Fishing and aquaculture,0.0,-0.5,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS Mining and quarrying,0.1,289.3,1.2,0.1,0.0,0.1,0.1,56.1,0.3,1.0,0.7,1.4,0.0,0.1,0.1,3.0,0.2,0.0,0.0,0.4,0.0,0.3,0.1,0.2,0.2,0.1,0.1,0.8,3.2,2.0
"AUS Manufacture of food products, beverages and tobacco products",16.2,5181.9,56.7,13.7,17.0,6.5,5.0,1119.4,78.8,107.6,116.7,48.1,1.0,0.8,12.6,700.0,64.7,5.5,11.0,91.0,7.1,34.8,12.3,92.7,46.9,4.6,2.3,158.7,631.1,340.4
"AUS Manufacture of textiles, wearing apparel and leather products",15.1,598.3,8.9,3.1,0.4,8.0,1.0,658.5,16.4,134.3,118.3,58.1,0.0,0.3,2.0,186.7,11.5,5.0,0.5,17.0,12.9,26.9,18.5,5.1,50.7,7.9,1.9,30.6,363.0,56.3
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.4,1291.2,0.5,0.1,0.1,0.9,0.5,21.1,1.1,3.6,2.3,2.0,0.0,0.2,0.2,7.7,1.8,0.4,0.2,1.7,0.5,1.3,0.3,0.9,0.9,0.2,0.1,4.3,10.4,0.2
AUS Manufacture of paper and paper products,0.1,164.7,2.0,0.3,0.1,0.4,0.3,44.6,1.5,6.0,4.4,5.2,0.4,0.0,0.2,3.5,0.2,0.1,0.1,7.7,1.0,3.8,0.2,1.5,1.1,0.2,0.2,1.7,24.6,2.2
AUS Printing and reproduction of recorded media,0.2,172.7,1.1,0.1,0.0,0.0,0.2,15.7,0.2,1.5,3.5,0.8,0.0,0.0,0.1,1.5,0.2,0.1,0.0,1.7,0.2,2.6,0.2,0.6,0.1,0.0,0.1,1.2,8.3,0.0
AUS Manufacture of coke and refined petroleum products ,0.5,1235.8,1.2,1.6,0.3,0.3,0.8,22.0,1.2,3.5,2.4,39.9,0.0,0.2,0.5,5.5,0.6,0.2,0.3,1.7,0.2,2.8,0.4,4.0,1.0,0.6,0.7,5.2,84.4,10.3
AUS Manufacture of chemicals and chemical products ,2.8,346.1,6.0,4.1,2.1,0.5,1.5,102.6,4.2,8.4,7.3,14.4,0.1,0.3,0.5,22.1,1.1,0.3,1.7,14.3,0.8,13.6,1.4,10.8,4.5,2.8,0.3,26.6,115.0,21.0
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,5.0,284.4,3.6,11.8,10.0,3.8,12.6,288.8,23.9,58.8,7.0,24.8,0.4,0.5,1.6,39.8,9.5,3.4,19.6,4.2,1.3,28.2,9.7,23.9,1.4,0.4,0.5,369.1,135.8,119.7
AUS Manufacture of rubber and plastic products,6.4,349.0,3.8,1.4,1.2,4.4,6.0,210.1,9.8,22.4,25.9,23.9,0.5,1.4,1.9,29.6,7.6,2.8,2.0,14.7,2.5,6.9,6.2,15.1,2.1,10.1,6.5,16.8,71.5,29.9
AUS Manufacture of other non-metallic mineral products,1.4,853.6,0.8,0.2,0.2,2.3,1.0,35.7,2.1,4.8,3.6,2.7,0.1,0.3,0.6,11.8,1.7,0.6,0.4,2.0,0.5,1.3,0.4,0.9,1.4,0.3,0.1,21.8,23.9,3.5
AUS Manufacture of basic metals,0.7,376.5,1.0,0.4,0.4,0.6,2.9,24.9,2.0,4.4,3.9,2.2,0.1,0.5,0.4,6.2,0.9,0.5,0.5,1.5,0.4,1.8,0.5,1.1,1.5,1.0,0.6,7.4,17.1,-0.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",11.3,1390.5,10.3,2.9,2.3,8.9,37.4,381.1,21.4,57.5,44.0,22.8,0.8,6.4,2.0,82.2,16.2,5.3,8.8,12.5,4.7,22.6,5.0,6.8,16.9,15.0,7.4,135.0,122.9,96.4
"AUS Manufacture of computer, electronic and optical products",16.0,1084.4,32.0,12.6,17.1,18.0,73.4,511.2,28.6,222.2,309.1,32.9,0.8,14.9,2.4,307.1,29.6,21.6,6.1,15.4,10.8,24.7,38.3,23.2,13.7,10.4,8.3,142.5,468.4,350.3
AUS Manufacture of electrical equipment,35.9,697.9,26.0,7.5,21.5,12.2,33.7,752.2,74.7,98.1,133.9,58.4,3.1,9.6,4.7,129.0,27.1,16.5,8.0,47.1,12.9,33.5,9.2,12.5,15.7,29.3,18.2,157.5,389.0,214.3
AUS Manufacture of machinery and equipment n.e.c.,35.9,1999.1,57.6,20.8,32.4,49.0,324.1,1123.0,204.9,233.3,169.3,137.9,8.4,42.9,9.9,309.1,54.2,61.8,37.6,62.5,28.5,105.1,28.5,98.9,206.6,111.8,86.1,380.0,857.8,564.8
"AUS Manufacture of motor vehicles, trailers and semi-trailers",108.8,962.8,34.4,12.7,10.4,53.0,43.7,1718.1,235.7,224.0,303.3,39.5,1.8,2.5,6.5,581.5,50.6,9.7,2.5,86.2,37.0,47.2,14.3,30.3,75.2,54.8,11.7,657.4,442.2,583.9
AUS Manufacture of other transport equipment,39.1,24.5,4.8,3.0,0.8,24.1,13.6,611.8,34.7,44.5,120.2,2.8,0.1,4.1,2.1,49.6,24.8,19.4,1.4,24.5,4.5,6.1,26.6,4.7,3.7,79.4,57.7,55.6,170.5,451.6
AUS Manufacture of furniture; other manufacturing,10.0,1753.4,10.8,4.4,2.3,49.9,7.3,700.4,37.4,161.2,85.2,43.6,0.2,6.4,4.6,209.3,101.9,23.7,3.4,32.8,22.7,31.8,6.3,9.2,53.6,4.9,0.8,176.4,356.8,66.8
AUS Repair and installation of machinery and equipment,0.5,712.3,2.1,0.6,0.5,0.6,3.4,41.7,2.0,26.4,6.2,3.2,0.1,0.5,0.1,9.0,0.9,0.8,0.4,7.2,0.9,1.3,2.1,3.8,1.7,1.0,4.6,6.3,20.7,25.1
"AUS Electricity, gas, steam and air conditioning supply",0.0,2988.2,9.1,0.0,0.0,0.1,0.9,104.9,0.4,1.1,1.0,2.4,0.0,0.0,0.2,3.6,0.0,0.0,0.0,2.6,0.1,1.4,0.1,0.3,0.0,0.1,0.1,1.0,10.1,6.0
"AUS Water collection, treatment and supply",0.0,31.3,0.4,0.0,0.0,0.0,0.0,1.7,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.5,-23.2
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.0,90.6,0.2,0.0,0.0,0.0,0.3,2.0,0.2,0.4,0.3,0.2,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.4,0.0,0.3,0.0,0.1,0.1,0.1,0.1,0.5,1.2,5.4
AUS Construction,0.3,23064.7,4.9,0.1,0.2,0.8,2.3,16.7,1.2,3.3,9.1,13.1,0.0,0.2,0.2,4.9,0.6,0.3,0.2,5.6,4.4,31.3,0.7,1.3,5.7,0.4,0.5,3.5,15.3,37.8
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,1.0,4472.8,1.2,0.6,0.6,0.9,2.8,42.3,3.0,7.2,6.2,3.4,0.1,0.4,0.3,10.6,1.5,0.7,0.8,2.9,0.6,2.8,0.9,1.7,2.1,0.9,0.5,16.1,22.1,11.5
"AUS Wholesale trade, except of motor vehicles and motorcycles",13.8,8765.3,19.3,9.3,8.8,12.9,38.1,547.8,43.4,114.8,87.2,51.9,1.1,5.5,17.7,163.4,24.3,10.5,11.3,48.4,8.7,38.7,13.6,24.4,29.1,12.5,9.1,223.5,320.2,678.1
"AUS Retail trade, except of motor vehicles and motorcycles",0.6,15275.6,1.9,0.4,0.3,0.7,2.5,33.3,2.1,4.7,5.3,2.2,0.1,0.2,1.1,8.2,1.3,0.4,0.4,4.6,0.4,3.2,0.5,1.2,1.1,0.4,0.3,8.9,22.1,24.4
AUS Land transport and transport via pipelines,4.0,4567.1,54.2,1.7,0.5,5.8,7.6,333.1,8.8,22.9,43.9,17.0,0.2,0.6,0.6,85.8,3.8,0.6,0.6,9.8,0.6,20.6,1.0,2.5,7.0,10.5,0.6,20.4,200.1,309.8
AUS Water transport,0.0,6.3,0.1,0.0,0.0,0.1,0.1,2.1,0.1,0.2,1.3,0.2,0.0,0.9,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.4,0.9,18.7
AUS Air transport,0.0,1205.6,4.2,0.4,0.0,2.9,2.1,28.2,3.5,8.5,36.6,10.6,0.1,8.9,0.5,51.5,4.0,0.0,0.1,2.7,0.2,1.1,0.2,0.6,0.3,0.6,0.1,14.1,33.2,16.9
AUS Warehousing and support activities for transportation,0.9,440.5,28.0,0.3,0.2,0.5,0.9,132.4,3.5,10.4,7.8,6.6,0.1,3.2,0.1,39.7,1.2,0.2,0.2,1.7,0.4,2.5,0.4,0.6,1.4,0.8,0.2,4.3,30.2,22.2
AUS Postal and courier activities,0.0,249.3,0.6,0.2,0.0,0.1,0.2,33.1,1.3,1.2,18.7,1.2,0.0,0.0,0.1,0.7,0.0,0.0,0.0,6.2,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,5.6,73.8
AUS Accommodation and food service activities,1.3,13506.0,28.7,0.6,0.3,3.9,0.7,425.8,2.4,1.0,68.7,6.9,0.1,0.1,11.7,41.7,5.7,0.1,0.1,1.8,0.1,1.0,1.1,4.6,0.4,0.1,0.8,1.5,272.7,33.9
AUS Publishing activities,1.1,652.7,5.7,0.4,0.0,0.0,0.2,80.6,0.8,6.2,18.2,4.0,0.0,0.0,0.0,5.8,1.1,0.1,0.0,7.6,0.9,14.2,0.9,2.8,0.0,0.0,0.2,4.8,39.6,35.8
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.8,706.5,2.3,0.8,0.2,0.2,0.0,59.2,0.4,4.0,4.9,0.2,1.3,0.0,0.0,3.1,2.2,2.2,1.3,3.2,0.2,2.3,0.9,1.3,0.0,0.0,5.2,5.9,21.3,16.4
AUS Telecommunications,0.5,2931.1,3.4,3.4,0.0,0.3,0.7,95.7,5.2,4.0,50.5,8.2,0.2,0.5,0.3,16.7,0.2,0.1,0.8,9.9,0.5,4.2,0.7,1.5,2.7,0.2,1.1,0.7,61.2,28.0
"AUS Computer programming, consultancy and related activities; information service activities",0.1,3297.3,0.3,0.2,0.0,0.2,0.4,36.7,0.4,1.3,2.9,1.8,0.0,0.0,0.1,2.7,0.3,0.1,0.1,6.3,1.1,4.9,0.2,1.4,0.1,0.1,0.1,1.4,55.6,95.4
"AUS Financial service activities, except insurance and pension funding",0.3,2575.6,1.0,0.2,0.2,3.5,0.2,75.6,11.5,1.4,35.9,30.4,3.3,0.0,2.7,2.2,1.0,0.9,0.0,14.4,0.8,24.7,1.1,1.9,0.9,3.3,0.1,2.2,122.9,349.1
