,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",5658.7,0.2,10.8,0.0,0.2,7.9,50.7,9.1,2.2,6.0,27.0,0.0,27.2,54.6,0.5,6.2,86.9,14.0,3.5,5.1,0.6,0.2,0.3,0.0,0.3,0.1,21.1,50.2,3.7,314.3
AUT Forestry and logging,210.5,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9,0.3
AUT Fishing and aquaculture,563.8,0.1,2.2,0.0,0.2,0.0,8.8,0.2,1.4,9.2,3.8,0.0,2.2,1.2,0.0,6.0,50.2,1.8,0.0,0.0,0.3,0.0,0.0,0.6,24.6,0.0,58.0,0.6,0.6,79.9
AUT Mining and quarrying,1790.2,0.0,2.1,0.0,0.0,0.0,2.3,141.9,0.1,0.1,29.6,0.4,0.1,0.0,0.1,1.5,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,3.1,2.5,10.2
"AUT Manufacture of food products, beverages and tobacco products",16472.8,3.3,16.1,0.6,1.7,360.8,181.6,63.9,17.2,42.6,690.4,0.6,151.0,5.6,28.5,4.4,2134.0,296.9,66.9,53.8,10.5,2.7,0.4,0.4,32.7,0.4,248.3,1288.8,132.7,1965.0
"AUT Manufacture of textiles, wearing apparel and leather products",758.9,0.2,0.3,0.0,0.3,7.1,6.9,4.7,0.7,2.7,29.3,1.9,1.0,1.4,0.3,3.3,11.5,6.0,0.3,1.0,0.4,0.4,0.1,0.0,1.4,0.3,1.7,236.5,3.9,265.7
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",445.2,0.0,0.1,0.0,0.1,0.6,1.0,0.5,0.1,0.3,1.5,0.0,0.4,0.3,0.1,0.1,2.0,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.4,4.8,0.4,1.5
AUT Manufacture of paper and paper products,750.7,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.1,0.8,0.0,0.5,0.1,0.0,0.1,1.0,0.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.5,0.4,54.6
AUT Printing and reproduction of recorded media,188.2,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.1,1.1,0.0,0.2,0.1,0.0,0.1,1.6,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2,0.2,-0.0
AUT Manufacture of coke and refined petroleum products ,4594.1,0.0,0.1,0.0,0.1,0.6,2.6,0.6,0.2,32.7,1.9,0.0,6.0,0.4,0.1,0.2,23.9,2.1,0.1,0.2,0.1,0.0,0.0,0.2,0.1,0.1,10.9,7.1,1.0,242.2
