,0
"AUT Crop and animal production, hunting and related service activities",1666.4
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,899.9
"AUT Manufacture of food products, beverages and tobacco products",1358.5
"AUT Manufacture of textiles, wearing apparel and leather products",215.6
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",580.3
AUT Manufacture of paper and paper products,1447.5
AUT Printing and reproduction of recorded media,36.5
AUT Manufacture of coke and refined petroleum products ,426.3
AUT Manufacture of chemicals and chemical products ,1908.5
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3.6
AUT Manufacture of rubber and plastic products,156.6
AUT Manufacture of other non-metallic mineral products,4998.8
AUT Manufacture of basic metals,18984.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",283.9
"AUT Manufacture of computer, electronic and optical products",34.9
AUT Manufacture of electrical equipment,157.7
AUT Manufacture of machinery and equipment n.e.c.,184.3
"AUT Manufacture of motor vehicles, trailers and semi-trailers",125.7
AUT Manufacture of other transport equipment,10.5
AUT Manufacture of furniture; other manufacturing,164.3
AUT Repair and installation of machinery and equipment,29.3
"AUT Electricity, gas, steam and air conditioning supply",11570.6
"AUT Water collection, treatment and supply",16.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",81.7
AUT Construction,3386.9
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,386.8
"AUT Wholesale trade, except of motor vehicles and motorcycles",1354.6
"AUT Retail trade, except of motor vehicles and motorcycles",1013.4
AUT Land transport and transport via pipelines,2640.1
AUT Water transport,133.6
AUT Air transport,6068.2
AUT Warehousing and support activities for transportation,82.4
AUT Postal and courier activities,99.5
AUT Accommodation and food service activities,825.8
AUT Publishing activities,2.4
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",24.6
AUT Telecommunications,27.7
"AUT Computer programming, consultancy and related activities; information service activities",69.6
"AUT Financial service activities, except insurance and pension funding",185.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",21.2
AUT Activities auxiliary to financial services and insurance activities,41.8
AUT Real estate activities,170.5
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,89.4
AUT Scientific research and development,14.5
AUT Advertising and market research,41.4
"AUT Other professional, scientific and technical activities; veterinary activities",46.3
AUT Administrative and support service activities,262.9
AUT Public administration and defence; compulsory social security,247.5
AUT Education,200.2
AUT Human health and social work activities,795.5
AUT Other service activities,626.7
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",5086.5
AUS Forestry and logging,646.1
AUS Fishing and aquaculture,56.9
AUS Mining and quarrying,7687.9
"AUS Manufacture of food products, beverages and tobacco products",2335.6
"AUS Manufacture of textiles, wearing apparel and leather products",588.7
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",181.7
AUS Manufacture of paper and paper products,1252.9
AUS Printing and reproduction of recorded media,294.6
AUS Manufacture of coke and refined petroleum products ,6815.4
AUS Manufacture of chemicals and chemical products ,7283.6
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,54.4
AUS Manufacture of rubber and plastic products,129.0
AUS Manufacture of other non-metallic mineral products,11076.8
AUS Manufacture of basic metals,36511.4
"AUS Manufacture of fabricated metal products, except machinery and equipment",342.2
"AUS Manufacture of computer, electronic and optical products",111.9
AUS Manufacture of electrical equipment,134.7
AUS Manufacture of machinery and equipment n.e.c.,276.2
"AUS Manufacture of motor vehicles, trailers and semi-trailers",201.8
AUS Manufacture of other transport equipment,92.1
AUS Manufacture of furniture; other manufacturing,273.9
AUS Repair and installation of machinery and equipment,0.0
"AUS Electricity, gas, steam and air conditioning supply",201137.1
"AUS Water collection, treatment and supply",239.8
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",93.3
AUS Construction,3636.8
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,763.9
"AUS Wholesale trade, except of motor vehicles and motorcycles",2967.8
"AUS Retail trade, except of motor vehicles and motorcycles",2795.9
AUS Land transport and transport via pipelines,9302.3
AUS Water transport,2166.4
AUS Air transport,41063.2
AUS Warehousing and support activities for transportation,867.4
AUS Postal and courier activities,367.3
AUS Accommodation and food service activities,1802.4
AUS Publishing activities,9.2
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",12.2
AUS Telecommunications,425.7
"AUS Computer programming, consultancy and related activities; information service activities",382.2
"AUS Financial service activities, except insurance and pension funding",496.2
"AUS Insurance, reinsurance and pension funding, except compulsory social security",164.2
AUS Activities auxiliary to financial services and insurance activities,223.7
AUS Real estate activities,351.0
AUS Legal and accounting activities; activities of head offices; management consultancy activities,1356.6
AUS Architectural and engineering activities; technical testing and analysis,0.0
AUS Scientific research and development,0.0
AUS Advertising and market research,0.0
"AUS Other professional, scientific and technical activities; veterinary activities",0.0
AUS Administrative and support service activities,1036.0
AUS Public administration and defence; compulsory social security,1815.9
AUS Education,1820.3
AUS Human health and social work activities,3678.9
AUS Other service activities,5031.0
AUS Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUS Activities of extraterritorial organizations and bodies,0.0
"BEL Crop and animal production, hunting and related service activities",2250.0
BEL Forestry and logging,39.4
BEL Fishing and aquaculture,482.8
BEL Mining and quarrying,789.5
"BEL Manufacture of food products, beverages and tobacco products",2564.2
"BEL Manufacture of textiles, wearing apparel and leather products",585.0
"BEL Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",76.4
BEL Manufacture of paper and paper products,449.3
BEL Printing and reproduction of recorded media,305.0
BEL Manufacture of coke and refined petroleum products ,5240.5
BEL Manufacture of chemicals and chemical products ,9701.0
BEL Manufacture of basic pharmaceutical products and pharmaceutical preparations,306.0
BEL Manufacture of rubber and plastic products,85.9
BEL Manufacture of other non-metallic mineral products,9966.1
BEL Manufacture of basic metals,15144.8
"BEL Manufacture of fabricated metal products, except machinery and equipment",251.4
"BEL Manufacture of computer, electronic and optical products",85.1
BEL Manufacture of electrical equipment,67.3
