,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",8134.2,0.6,6.3,0.0,0.6,11.2,53.6,17.5,7.9,5.5,20.5,0.0,30.3,147.4,0.4,4.0,49.8,5.9,0.5,4.4,1.3,0.4,0.4,0.0,2.8,2.2,12.3,39.0,3.2,666.1
AUT Forestry and logging,198.5,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.9,0.1,0.1
AUT Fishing and aquaculture,719.5,0.0,0.1,0.1,0.1,0.6,5.1,1.0,0.6,0.4,1.1,0.0,0.6,0.1,0.1,2.2,19.0,1.0,0.2,0.1,0.1,0.0,0.0,0.0,34.4,0.0,4.9,2.2,0.7,307.0
AUT Mining and quarrying,5816.3,0.1,0.7,0.0,1.2,0.7,23.8,134.7,0.4,1.1,12.7,0.0,1.4,0.4,0.1,0.4,2.4,0.9,0.1,0.7,0.4,0.1,0.0,0.0,0.3,0.0,0.4,8.1,1.8,2.9
"AUT Manufacture of food products, beverages and tobacco products",24796.5,4.2,33.7,1.5,8.5,381.5,624.2,78.2,4.3,33.2,736.9,0.1,327.1,8.8,34.1,18.2,2732.8,586.1,33.4,76.4,14.1,3.7,0.3,1.8,109.6,6.3,245.2,1366.9,159.1,3249.7
"AUT Manufacture of textiles, wearing apparel and leather products",2567.2,0.6,3.1,0.0,0.3,10.8,11.0,8.3,1.1,1.5,18.8,0.7,4.0,1.8,0.4,2.0,13.7,6.5,0.6,4.6,1.8,0.3,0.1,0.0,8.1,0.9,1.4,50.1,7.0,230.7
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",11.4,0.0,0.1,0.0,0.1,0.6,1.7,0.8,0.1,0.4,0.9,0.0,0.4,0.3,0.1,0.1,1.7,0.6,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0.0,1.2,7.9,0.5,1.7
AUT Manufacture of paper and paper products,1042.7,0.0,0.1,0.0,0.1,0.4,1.2,0.3,0.1,0.1,1.6,0.0,0.5,0.2,0.0,0.2,1.1,0.4,0.1,0.7,0.1,0.0,0.0,0.0,0.4,0.0,0.3,2.9,1.3,49.0
AUT Printing and reproduction of recorded media,434.2,0.0,0.1,0.0,0.1,0.5,3.0,0.5,0.1,0.2,0.9,0.0,0.5,0.2,0.1,0.1,2.0,0.6,0.1,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.3,4.1,0.5,-0.0
AUT Manufacture of coke and refined petroleum products ,5618.8,0.0,0.1,0.0,0.2,0.6,3.4,0.6,0.1,0.2,1.0,0.0,2.0,0.5,0.1,0.1,16.7,31.0,0.2,0.2,0.1,0.0,0.0,0.0,0.3,0.1,26.5,3.1,1.5,264.9
