,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",6412.6,0.1,11.0,0.0,0.4,12.8,54.6,12.2,8.6,6.6,23.1,0.0,19.4,53.6,0.6,4.4,86.4,12.2,7.5,7.5,1.0,0.1,0.7,0.0,1.0,0.0,25.2,53.7,4.5,408.1
AUT Forestry and logging,163.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.1
AUT Fishing and aquaculture,668.6,0.0,0.0,0.0,0.0,0.0,17.2,0.2,0.0,5.1,0.0,0.0,0.1,0.0,0.0,2.0,44.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,36.7,0.2,0.1,183.3
AUT Mining and quarrying,3505.7,0.0,7.3,0.0,0.3,0.1,16.8,155.5,0.4,0.3,33.9,0.7,0.1,0.1,0.0,1.6,0.2,0.4,0.0,80.1,0.2,0.0,0.0,0.0,0.3,0.0,0.1,4.2,3.1,17.7
"AUT Manufacture of food products, beverages and tobacco products",19007.8,4.5,32.8,1.2,2.6,412.0,242.8,98.5,18.4,54.4,1042.6,0.1,211.2,4.8,42.9,9.8,3758.8,576.9,73.8,68.5,17.3,3.6,3.8,1.3,66.3,0.9,314.4,1671.7,165.2,2430.0
"AUT Manufacture of textiles, wearing apparel and leather products",737.7,0.4,0.5,0.0,0.4,9.5,6.9,7.4,1.7,2.3,39.1,0.1,2.2,1.4,0.7,2.3,13.6,7.5,0.5,1.7,0.7,2.0,0.1,0.0,1.2,0.6,2.1,224.9,9.0,258.1
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",390.4,0.0,0.1,0.0,0.1,0.6,2.0,0.6,0.2,0.4,1.7,0.0,0.6,0.3,0.1,0.2,2.6,0.8,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.5,5.5,0.5,1.4
AUT Manufacture of paper and paper products,915.6,0.0,0.2,0.0,0.0,0.3,1.0,0.4,0.1,0.1,1.3,0.0,0.7,0.1,0.0,0.1,1.3,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.4,0.3,46.2
AUT Printing and reproduction of recorded media,224.8,0.0,0.1,0.0,0.0,0.5,0.8,0.3,0.1,0.2,1.4,0.0,0.3,0.1,0.1,0.1,2.6,0.5,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.3,4.6,0.3,-0.0
AUT Manufacture of coke and refined petroleum products ,5419.1,0.0,0.2,0.0,0.1,0.7,3.0,0.9,0.2,0.3,2.4,0.0,8.4,0.4,0.1,0.2,37.2,1.3,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.1,26.0,8.5,0.6,340.2
AUT Manufacture of chemicals and chemical products ,1942.1,0.3,1.5,0.0,0.4,2.1,20.2,4.8,1.2,2.5,26.4,0.1,5.0,2.6,0.5,0.8,21.8,3.0,0.7,2.8,2.4,0.2,0.2,0.0,1.0,0.3,7.3,43.0,6.0,150.2
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1011.5,0.6,1.4,0.0,6.6,26.4,19.9,40.9,13.2,17.1,21.8,0.3,3.5,0.6,10.8,15.5,7.2,56.3,2.9,12.0,1.7,2.2,9.3,0.1,0.1,0.0,92.7,166.3,23.5,490.8
