,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUT Air transport,865.2,0.1,0.2,0.0,1.9,1.9,1.1,1.4,0.7,1.1,4.0,0.0,1.0,0.3,0.2,1.7,6.8,0.8,0.1,0.9,0.3,0.0,0.0,0.0,0.1,5.0,0.1,9.0,1.8,34.8
AUT Warehousing and support activities for transportation,7106.6,7.1,15.5,0.1,1.7,3.6,3.0,47.0,3.1,26.9,23.4,1.4,13.7,18.7,0.5,9.7,52.2,28.7,0.3,2.8,16.1,0.2,0.5,0.0,0.4,1.4,4.0,7.7,25.7,614.8
AUT Postal and courier activities,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AUT Accommodation and food service activities,40552.1,3.0,4.7,0.0,5.1,97.7,194.8,15.9,0.4,0.0,212.9,0.4,62.1,0.0,85.2,14.9,128.7,16.1,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,66.5,0.4,52.2,1269.5
AUT Publishing activities,4876.5,0.5,1.5,0.0,1.3,0.0,0.9,4.3,2.5,8.0,6.1,0.0,0.9,0.0,0.0,1.4,0.5,0.3,0.0,6.3,0.4,0.1,0.2,0.1,0.0,0.0,0.4,40.1,2.6,341.6
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2772.8,0.5,0.5,0.0,8.6,2.2,0.1,2.3,0.8,3.3,14.6,0.5,26.7,0.0,0.0,2.7,3.5,5.8,0.4,1.6,0.7,0.1,0.1,0.2,0.0,0.0,3.1,15.5,2.3,137.9
AUT Telecommunications,13079.9,0.3,0.9,0.0,2.0,0.7,38.7,1.3,3.5,1.0,12.5,0.1,1.7,2.5,3.2,2.9,3.6,1.6,1.5,4.4,0.1,0.2,0.1,0.2,1.1,1.9,4.6,0.8,3.3,112.7
"AUT Computer programming, consultancy and related activities; information service activities",11645.7,0.0,0.0,0.0,5.5,0.4,5.8,0.4,2.6,0.2,0.8,0.1,0.1,0.0,0.0,0.1,0.8,0.1,0.0,1.4,0.3,0.1,0.0,0.1,0.0,0.1,0.1,2.5,5.5,286.8
"AUT Financial service activities, except insurance and pension funding",26159.5,0.1,0.1,0.0,3.3,0.2,5.8,0.3,1.8,0.4,11.8,0.1,1.6,0.0,0.9,0.1,1.6,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,1.8,0.0,0.7,0.9,248.3
"AUT Insurance, reinsurance and pension funding, except compulsory social security",30696.7,0.1,0.2,0.0,0.4,1.4,3.0,1.3,0.3,0.8,4.0,0.1,1.2,0.6,2.6,0.4,5.9,2.1,0.4,0.8,0.1,0.1,0.0,0.0,0.3,0.2,1.2,38.5,1.5,39.2
AUT Activities auxiliary to financial services and insurance activities,2394.0,0.0,0.7,0.0,0.3,0.0,0.5,0.1,0.3,0.0,3.0,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,72.9
AUT Real estate activities,91124.0,0.2,0.0,0.0,12.3,0.3,0.0,10.5,0.2,0.0,15.0,0.0,25.0,0.0,0.0,4.6,0.2,1.5,0.0,26.1,0.1,0.1,0.0,0.0,0.0,0.0,3.4,0.0,0.1,98.2
AUT Legal and accounting activities; activities of head offices; management consultancy activities,19723.6,0.3,5.4,0.2,11.6,3.6,677.8,5.3,17.4,15.2,4.2,0.2,8.8,2.4,0.5,8.4,0.0,0.9,0.0,41.3,7.1,0.5,0.2,2.4,0.0,0.0,1.8,108.0,23.0,641.1
AUT Architectural and engineering activities; technical testing and analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Scientific research and development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Advertising and market research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Administrative and support service activities,4571.8,0.2,0.1,0.0,72.0,1.5,0.4,0.8,1.4,2.7,3.0,0.1,0.2,0.0,2.2,2.8,1.5,2.1,0.0,4.9,0.2,0.0,0.1,0.1,0.0,0.0,0.3,127.8,31.5,151.8
AUT Public administration and defence; compulsory social security,73571.5,0.0,0.0,0.0,0.2,0.2,7.0,1.0,0.2,0.1,0.1,0.2,5.4,0.0,0.0,0.1,8.8,0.1,0.0,0.5,7.1,0.0,0.0,0.0,0.0,6.6,0.0,1.8,0.8,35.7
AUT Education,45158.8,1.5,0.1,1.1,3.8,75.1,24.7,0.0,0.2,0.1,23.8,0.8,49.5,142.2,0.0,5.5,1.3,0.6,0.0,4.2,0.1,4.9,0.0,0.2,1.0,0.0,1.2,45.3,7.8,1163.4
AUT Human health and social work activities,68741.3,1.2,0.0,0.0,0.0,2.0,2.4,0.0,0.1,1.0,4.6,0.0,7.0,0.1,0.0,0.3,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,8.1,0.5,159.3
AUT Other service activities,20181.8,0.2,0.1,0.0,1.1,73.5,67.0,0.5,3.6,0.1,71.6,0.8,8.1,10.2,1.3,1.6,3.7,0.7,0.0,0.5,0.1,0.2,0.0,0.0,0.0,1.4,1.1,0.6,3.5,14.3
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,7368.0,0.0,0.0,0.0,0.1,4.5,4.1,0.0,0.2,0.0,4.6,0.1,0.5,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,-0.2
AUT Activities of extraterritorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUS Crop and animal production, hunting and related service activities",3.1,1609.3,5.2,4.1,1.6,2.2,0.4,142.1,8.6,8.3,18.2,29.4,0.1,0.2,2.0,71.7,4.2,1.8,0.6,10.1,2.2,11.6,0.6,19.2,17.6,1.2,0.1,18.9,126.3,28.8
AUS Forestry and logging,0.0,513.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.1
AUS Fishing and aquaculture,0.0,1.2,0.2,0.0,0.0,0.0,0.0,1.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
AUS Mining and quarrying,0.2,588.6,0.9,0.2,0.1,0.2,0.3,168.6,0.6,1.1,0.9,5.9,0.0,0.2,0.1,3.7,0.3,0.1,0.1,1.7,0.2,0.6,0.1,0.7,0.5,0.2,0.1,2.0,5.5,2.1
"AUS Manufacture of food products, beverages and tobacco products",80.5,6291.8,73.2,63.2,38.3,51.8,10.9,2046.8,145.5,153.5,264.4,188.6,2.4,2.6,23.9,931.2,107.6,46.8,15.8,175.2,16.1,97.9,16.3,177.3,129.4,21.8,2.8,470.9,1140.7,673.6
"AUS Manufacture of textiles, wearing apparel and leather products",12.6,99.1,11.4,9.1,0.7,8.9,5.6,718.1,39.7,71.5,112.9,127.5,0.1,0.7,2.0,214.3,15.4,11.4,1.5,22.2,9.7,83.6,7.9,40.5,202.5,4.8,4.2,59.0,383.0,122.2
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.0,1852.5,0.7,0.4,0.3,1.1,1.8,33.1,2.1,5.0,4.2,2.6,0.0,0.3,0.7,10.2,1.5,0.3,0.4,2.3,0.8,2.0,0.3,2.3,1.6,0.6,0.1,5.8,17.1,0.7
AUS Manufacture of paper and paper products,0.2,245.3,1.1,2.1,0.2,0.3,0.6,69.4,2.3,6.5,4.8,13.3,0.0,0.1,0.4,5.6,0.2,0.1,0.1,4.9,0.6,5.0,0.3,9.6,4.2,0.9,0.3,1.8,35.0,7.1
AUS Printing and reproduction of recorded media,0.3,168.8,1.5,0.6,0.1,0.0,0.3,18.2,0.3,1.6,1.1,1.3,0.0,0.0,0.0,1.2,0.1,0.2,0.0,0.5,0.2,2.7,0.2,1.2,0.1,0.1,0.1,2.2,8.2,-0.0
AUS Manufacture of coke and refined petroleum products ,1.2,2465.4,2.4,13.5,4.1,0.7,2.6,62.6,3.3,10.6,3.6,131.5,0.2,0.6,0.7,13.4,0.8,0.8,0.7,5.3,0.6,8.8,0.6,55.7,4.3,2.6,0.6,9.4,246.2,35.5
AUS Manufacture of chemicals and chemical products ,2.9,480.1,10.8,10.9,5.3,0.8,6.2,202.6,6.8,18.1,7.3,25.1,0.4,0.8,0.7,49.7,1.1,2.9,1.9,28.1,1.6,31.0,1.6,40.3,12.8,7.3,0.3,20.1,212.4,46.0
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,27.8,417.3,3.4,16.9,25.9,7.2,22.0,482.9,46.9,115.2,11.1,27.8,2.1,0.8,5.8,76.9,1.6,8.2,19.9,4.3,2.4,43.1,13.7,85.0,3.2,0.8,0.4,231.9,254.7,259.2
AUS Manufacture of rubber and plastic products,5.9,437.4,4.7,4.4,3.5,11.8,13.1,281.5,12.6,41.3,31.6,25.4,0.6,2.3,5.0,54.7,8.7,3.5,4.8,21.0,13.4,13.8,5.6,27.4,6.5,6.9,3.9,26.5,107.5,48.1
AUS Manufacture of other non-metallic mineral products,2.0,1102.9,0.9,0.6,0.6,3.1,3.3,65.2,3.4,6.2,5.7,5.7,0.1,0.6,0.8,15.5,4.5,0.6,0.6,2.4,1.1,2.3,0.6,2.5,2.4,0.6,0.2,16.6,35.1,8.6
AUS Manufacture of basic metals,2.4,710.2,3.0,1.8,1.5,12.9,7.4,63.7,5.8,10.0,6.3,6.0,0.6,1.7,2.5,14.6,1.8,1.7,2.3,5.6,1.8,6.3,1.0,8.0,6.3,3.1,0.9,16.0,45.9,0.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",27.2,2227.8,27.8,8.1,8.0,25.6,33.4,642.9,58.1,111.8,68.7,40.5,3.9,8.1,13.1,154.0,15.9,9.4,36.1,26.8,21.7,62.6,7.2,27.8,35.6,23.5,5.4,239.3,269.6,161.5
"AUS Manufacture of computer, electronic and optical products",14.3,549.6,36.9,26.2,20.8,11.0,95.2,427.0,49.4,87.9,74.0,52.3,1.1,35.0,1.5,122.7,47.0,36.1,3.8,11.2,15.7,48.2,32.3,213.6,30.5,47.1,5.1,157.3,668.3,271.8
AUS Manufacture of electrical equipment,83.4,1983.1,39.0,21.4,17.5,32.6,102.8,1290.8,118.4,150.6,155.2,56.6,29.0,33.6,15.4,161.6,46.5,24.2,12.0,50.4,48.5,51.4,19.6,52.1,30.5,46.1,13.0,207.4,651.3,654.1
AUS Manufacture of machinery and equipment n.e.c.,87.4,1614.9,107.9,108.8,113.1,76.1,750.6,2312.8,409.1,441.8,269.6,310.5,46.7,136.9,25.6,569.0,64.0,121.8,93.3,122.4,94.7,248.5,35.6,440.9,731.1,189.7,105.9,582.3,1677.1,1595.2
"AUS Manufacture of motor vehicles, trailers and semi-trailers",170.5,781.8,42.8,36.6,23.4,158.0,215.7,3171.7,642.7,293.7,682.1,151.7,5.1,20.3,29.9,724.4,69.6,71.4,20.2,129.2,64.8,120.9,11.0,123.5,224.7,64.5,7.1,2830.2,835.3,881.1
AUS Manufacture of other transport equipment,28.4,46.0,7.6,2.3,1.8,110.6,7.8,680.3,38.6,111.7,95.3,4.5,0.6,2.4,3.8,67.1,42.2,26.3,7.4,28.4,115.7,18.5,38.7,6.7,0.7,2.4,38.0,106.1,329.1,185.3
AUS Manufacture of furniture; other manufacturing,26.7,2708.8,17.7,10.2,4.1,54.5,31.6,941.2,80.2,179.1,172.5,60.8,0.8,6.9,22.5,294.7,66.0,11.4,7.5,50.6,28.3,63.4,8.8,35.3,55.8,13.0,0.8,217.5,538.3,279.9
AUS Repair and installation of machinery and equipment,1.1,1061.1,2.9,2.5,2.3,0.9,7.7,81.6,4.3,28.7,4.2,8.3,0.4,2.0,0.2,11.4,1.9,1.8,0.7,12.4,12.6,3.2,6.9,19.0,5.5,2.7,6.0,10.4,47.6,46.2
"AUS Electricity, gas, steam and air conditioning supply",0.1,4299.0,11.0,0.2,0.1,0.3,3.4,171.3,0.7,1.5,1.0,6.5,0.0,0.1,0.3,11.2,0.0,0.1,0.0,6.0,0.4,1.6,0.2,1.1,0.1,0.6,0.1,1.4,18.3,27.6
"AUS Water collection, treatment and supply",0.0,36.1,0.1,0.0,0.0,0.0,0.1,0.9,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-36.7
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.1,165.2,0.2,0.1,0.1,0.1,0.8,2.9,0.4,0.5,0.3,0.3,0.0,0.1,0.1,0.8,0.1,0.1,0.0,0.4,0.1,0.4,0.1,0.4,0.4,0.2,0.1,0.8,13.0,37.3
AUS Construction,0.8,33825.7,1.1,0.5,0.4,1.3,6.4,26.0,2.0,4.0,7.0,12.9,0.2,1.1,0.3,5.7,0.6,0.4,0.4,20.5,1.3,15.5,0.8,8.7,6.4,0.8,0.5,4.1,21.9,75.2
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,2.1,6017.0,1.5,1.7,1.4,1.3,6.1,60.5,5.6,8.4,5.8,6.9,0.3,1.2,0.7,12.2,1.3,1.7,1.2,2.6,1.0,4.7,0.9,8.0,5.7,1.4,0.4,18.5,36.2,25.2
"AUS Wholesale trade, except of motor vehicles and motorcycles",29.5,12147.1,24.0,25.0,21.7,18.4,78.4,799.6,80.2,132.3,80.0,105.6,4.6,14.0,14.5,204.8,20.5,21.9,17.4,44.6,17.0,68.8,15.2,117.2,79.2,21.5,8.1,249.8,527.7,1240.7
"AUS Retail trade, except of motor vehicles and motorcycles",1.2,21402.9,2.0,1.0,0.7,1.2,6.2,39.1,3.5,4.9,5.4,4.4,0.2,0.7,1.8,10.0,1.0,0.7,0.6,3.2,0.8,3.6,0.5,4.9,2.8,0.8,0.3,9.2,29.6,46.6
AUS Land transport and transport via pipelines,4.2,5745.9,42.2,7.2,1.3,7.5,17.8,368.9,25.3,32.6,22.5,31.8,0.5,0.9,1.4,105.5,4.2,1.4,0.9,16.2,1.2,58.9,1.7,9.6,21.1,30.8,0.8,18.8,271.1,830.2
AUS Water transport,0.0,10.7,0.1,0.1,0.0,0.1,0.2,2.6,0.1,0.2,0.6,0.3,0.0,0.8,0.0,0.4,0.2,0.0,0.0,0.3,0.0,0.2,0.0,0.3,0.2,0.6,0.0,0.4,1.3,39.0
AUS Air transport,0.0,1777.7,4.1,6.5,0.3,4.3,3.7,43.8,11.3,16.4,20.1,25.1,0.2,29.4,1.4,95.5,7.6,0.3,0.6,7.2,0.8,3.1,0.9,2.4,1.1,2.3,0.3,11.6,64.4,56.4
AUS Warehousing and support activities for transportation,1.5,1749.4,31.8,1.6,0.8,1.0,4.3,252.9,11.5,22.6,6.6,15.3,0.2,5.6,0.3,87.4,2.4,1.8,0.5,4.5,1.3,7.8,1.1,3.7,5.6,3.3,0.4,6.7,73.4,97.0
AUS Postal and courier activities,0.0,332.2,1.0,0.6,0.0,0.2,0.6,20.6,3.2,2.3,15.2,1.5,0.0,0.0,0.6,9.7,0.0,0.0,0.0,3.2,0.6,0.5,0.2,0.2,0.0,0.1,0.1,0.0,17.3,120.1
AUS Accommodation and food service activities,2.5,19663.6,39.7,2.9,1.3,17.6,4.4,357.4,4.0,1.1,79.0,24.3,0.2,0.4,52.6,47.0,7.6,0.7,0.1,1.6,0.2,1.1,1.2,14.1,0.9,0.2,1.4,2.7,336.9,126.6
AUS Publishing activities,2.2,786.8,11.4,4.5,0.2,0.0,0.5,131.4,1.8,10.6,7.5,8.4,0.1,0.0,0.0,6.8,0.2,0.3,0.0,2.2,1.2,20.0,1.2,6.6,0.0,0.0,0.4,15.3,52.3,114.1
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.9,917.6,1.9,0.4,0.5,0.2,0.1,103.5,0.8,5.1,2.0,0.5,1.3,0.0,0.1,8.9,0.2,6.7,2.2,1.2,0.2,2.0,0.5,4.3,0.0,0.0,4.4,2.3,12.2,32.5
AUS Telecommunications,0.9,3615.5,5.1,4.1,0.1,0.5,2.4,64.9,7.9,4.8,22.9,7.4,0.7,1.6,0.9,171.5,0.3,0.2,0.8,10.9,4.3,3.9,1.0,4.0,7.7,3.0,1.1,0.4,78.9,33.2
"AUS Computer programming, consultancy and related activities; information service activities",0.9,4486.8,0.5,1.3,0.1,0.7,1.2,47.0,3.5,1.8,6.7,5.7,0.0,0.2,0.1,8.7,0.3,0.3,0.1,6.2,1.0,5.4,0.4,9.6,0.4,0.1,0.1,2.7,77.3,252.5
"AUS Financial service activities, except insurance and pension funding",1.2,3527.9,0.8,0.4,1.6,13.9,0.8,86.2,14.2,8.2,28.7,17.0,3.5,0.0,16.8,26.6,0.5,3.4,0.0,30.3,10.8,28.3,1.4,4.8,2.8,41.4,0.4,1.9,211.2,854.1
