,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",8142.7,0.3,14.8,0.1,0.3,9.6,66.9,16.6,11.0,6.9,28.4,0.0,26.4,82.0,1.0,5.8,62.3,10.4,5.4,5.9,1.4,0.5,0.1,0.1,5.8,2.8,10.5,52.0,3.1,423.6
AUT Forestry and logging,287.4,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.3,0.5
AUT Fishing and aquaculture,786.6,0.0,0.0,0.0,0.0,0.0,4.1,0.4,1.3,10.3,0.0,0.0,0.8,0.0,0.0,0.7,27.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,17.5,0.2,0.0,253.2
AUT Mining and quarrying,7427.2,0.0,8.4,0.0,0.6,0.2,99.9,187.6,0.7,0.6,35.5,0.2,0.3,0.2,0.1,2.9,0.2,0.1,0.0,141.5,0.2,0.0,0.0,0.1,0.0,0.0,0.1,53.9,2.8,77.9
"AUT Manufacture of food products, beverages and tobacco products",24039.8,3.9,34.5,1.7,5.2,457.2,407.3,96.4,12.7,45.2,1051.4,0.1,280.6,7.3,58.6,7.8,3104.5,738.8,56.5,97.9,16.4,3.2,0.2,2.5,92.8,1.7,241.9,1705.7,173.5,3068.3
"AUT Manufacture of textiles, wearing apparel and leather products",1092.0,0.4,1.1,0.1,0.6,11.2,6.8,5.9,1.3,2.8,37.8,0.0,3.0,1.5,1.6,2.4,13.1,8.7,0.7,2.9,1.2,2.9,0.1,0.1,3.1,0.5,2.3,69.0,6.6,271.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",625.0,0.0,0.2,0.0,0.1,0.9,2.2,0.7,0.2,0.5,1.7,0.0,0.6,0.4,0.2,0.2,2.3,0.9,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0.1,0.4,5.4,0.4,1.2
AUT Manufacture of paper and paper products,1150.5,0.0,0.0,0.0,0.1,0.4,1.0,0.6,0.1,0.1,1.1,0.0,0.3,0.3,0.1,0.1,1.3,0.4,0.1,0.2,0.0,0.1,0.3,0.0,0.2,0.0,0.2,2.3,0.4,57.9
AUT Printing and reproduction of recorded media,275.5,0.0,0.0,0.0,0.1,0.6,0.9,0.3,0.1,0.2,1.3,0.0,0.3,0.1,0.1,0.1,2.1,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.2,3.6,0.3,0.0
AUT Manufacture of coke and refined petroleum products ,6767.3,0.1,0.2,0.0,0.4,1.9,4.2,1.2,0.2,0.5,2.5,0.0,5.6,1.9,0.3,0.3,47.2,5.6,0.3,4.0,0.1,0.0,0.0,0.0,0.3,0.1,35.5,6.2,1.4,446.7
AUT Manufacture of chemicals and chemical products ,2696.1,0.2,0.9,0.1,0.9,3.4,29.5,4.8,0.9,2.5,23.5,0.1,5.8,7.2,1.6,1.1,21.5,13.0,1.1,4.8,4.6,0.2,0.1,0.0,1.0,0.6,8.3,43.6,7.7,169.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1380.4,0.7,0.6,0.1,17.3,34.0,82.0,65.8,32.1,44.9,33.3,0.1,7.6,0.7,66.6,22.1,6.3,106.0,24.2,6.3,0.6,4.1,1.5,0.3,0.2,0.0,129.9,148.7,33.5,574.4
AUT Manufacture of rubber and plastic products,1827.2,0.2,0.5,0.1,0.8,3.6,14.5,3.0,0.7,1.9,9.5,0.0,7.6,2.7,0.9,1.1,11.4,4.1,1.3,2.2,0.6,0.2,0.1,0.0,0.7,0.7,2.4,25.8,2.5,89.3
AUT Manufacture of other non-metallic mineral products,901.8,0.1,0.2,0.0,0.2,1.0,3.5,0.8,0.4,0.4,2.3,0.0,0.9,0.5,0.2,0.2,1.9,0.9,0.3,0.4,0.1,0.1,0.0,0.0,0.3,0.1,0.5,6.1,0.6,6.7
AUT Manufacture of basic metals,1103.5,0.1,0.8,0.0,0.4,138.7,8.9,1.0,0.3,1.4,2.3,0.0,2.7,1.1,0.3,0.4,4.3,1.2,1.0,2.3,0.2,0.0,0.0,0.0,0.5,0.1,0.5,11.6,0.8,0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",3587.6,0.5,10.4,0.2,1.5,8.8,24.3,7.2,1.2,12.5,17.2,0.0,13.6,7.1,1.0,1.8,19.4,6.1,13.6,1.8,1.5,0.2,0.1,0.1,2.4,0.9,2.4,96.9,4.3,175.2
"AUT Manufacture of computer, electronic and optical products",3084.6,4.7,4.4,1.1,9.9,18.7,41.0,56.0,4.9,11.6,54.1,0.6,9.3,15.8,1.5,11.6,35.9,45.3,1.9,1.2,1.9,2.1,0.7,1.5,3.9,4.2,7.8,221.2,28.7,518.0
AUT Manufacture of electrical equipment,3210.3,1.8,1.5,0.3,3.2,11.8,23.6,8.3,1.8,4.5,33.2,0.1,8.9,5.0,1.9,3.7,7.8,8.7,3.3,1.4,0.6,0.5,1.2,0.4,1.3,2.5,2.7,56.2,6.5,228.2
AUT Manufacture of machinery and equipment n.e.c.,5700.7,2.7,3.9,1.1,8.0,32.2,165.7,21.4,5.6,9.3,36.7,0.2,40.6,27.0,3.1,8.5,12.1,18.9,9.3,5.9,1.5,0.8,0.5,0.8,19.5,4.7,8.9,122.0,12.0,503.8
"AUT Manufacture of motor vehicles, trailers and semi-trailers",9873.3,0.6,0.7,0.3,16.9,3.2,69.8,10.6,1.3,2.6,41.5,0.0,26.2,3.2,1.1,1.1,7.3,62.4,1.2,3.0,0.3,0.2,0.1,0.1,2.2,1.0,1.9,88.5,9.1,2540.9
AUT Manufacture of other transport equipment,4140.4,0.1,0.3,0.0,0.4,16.4,10.0,7.5,5.4,6.5,33.2,0.0,7.2,0.7,1.5,13.9,55.3,4.2,0.6,5.8,0.4,0.0,0.2,0.0,0.7,44.3,0.4,53.2,6.2,199.3
AUT Manufacture of furniture; other manufacturing,2684.1,0.8,1.3,0.2,1.0,14.0,18.2,15.4,2.5,23.4,20.7,0.2,2.6,4.2,5.0,2.2,28.7,3.7,1.6,9.1,1.8,0.4,0.3,0.1,1.0,1.1,1.2,274.0,12.2,177.4
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",11787.0,0.0,0.2,0.0,0.0,0.5,1.1,1.4,0.0,0.1,0.6,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,2.3
"AUT Water collection, treatment and supply",5391.9,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",791.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
AUT Construction,145720.5,0.1,0.5,0.0,4.6,1.9,35.4,1.6,1.2,1.4,3.6,0.0,1.7,0.6,0.6,0.9,5.6,2.3,0.3,3.2,0.4,0.1,0.0,0.1,0.3,0.1,1.3,18.7,3.6,57.4
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6269.7,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,4.1
"AUT Wholesale trade, except of motor vehicles and motorcycles",45579.8,4.6,10.6,1.2,17.0,94.6,167.6,82.1,19.0,39.1,185.4,0.7,55.3,30.8,32.2,20.0,329.3,138.4,18.2,24.4,5.1,3.7,1.4,1.5,17.6,6.5,80.4,479.8,55.2,472.5
"AUT Retail trade, except of motor vehicles and motorcycles",60687.0,0.8,2.9,0.2,3.8,32.4,42.8,17.0,4.0,9.4,67.8,0.1,18.9,5.5,8.4,3.7,156.8,47.6,5.2,8.0,1.4,0.8,0.3,0.3,6.0,1.1,22.2,147.4,15.5,127.7
AUT Land transport and transport via pipelines,14539.0,4.7,9.4,0.8,12.1,70.3,130.4,58.8,13.3,29.4,145.5,0.6,46.6,22.2,23.9,13.8,276.1,103.6,13.9,19.7,3.6,2.6,1.0,0.9,14.1,5.6,57.1,349.4,49.5,557.2
AUT Water transport,13.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.5
