,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
AUT Manufacture of furniture; other manufacturing,2124.5,0.9,1.7,0.1,0.4,9.7,6.3,20.0,2.1,15.6,27.5,0.1,1.7,6.5,3.5,2.7,32.0,4.6,0.9,3.4,0.9,0.3,1.1,0.1,1.1,0.3,1.4,152.1,15.9,114.4
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",8532.9,0.0,0.2,0.0,0.0,0.2,0.6,1.6,0.0,0.1,0.8,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0
"AUT Water collection, treatment and supply",4076.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.3
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",629.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AUT Construction,93353.6,0.0,0.5,0.0,1.0,1.0,18.0,1.2,0.9,0.9,2.7,0.0,0.7,0.5,0.2,0.6,4.4,1.2,0.1,4.0,0.3,0.1,0.0,0.0,0.1,0.0,0.8,12.0,2.6,32.5
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4554.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1.1
"AUT Wholesale trade, except of motor vehicles and motorcycles",32969.7,2.3,7.2,0.3,6.5,55.6,81.4,59.3,13.3,24.3,164.6,0.4,33.0,27.4,8.5,11.4,301.3,74.8,9.1,16.3,2.7,2.9,2.3,0.6,7.2,1.9,58.0,354.5,38.8,303.7
"AUT Retail trade, except of motor vehicles and motorcycles",43089.2,0.6,2.0,0.1,1.3,20.5,19.1,12.1,2.7,5.9,59.8,0.1,11.0,4.3,2.9,2.1,157.4,27.7,3.5,4.8,0.9,0.5,0.4,0.1,2.6,0.3,18.2,120.1,11.9,78.9
AUT Land transport and transport via pipelines,9215.9,2.8,8.0,0.3,5.7,51.5,75.8,51.2,10.6,21.9,155.0,0.3,34.4,23.5,8.5,10.4,333.4,70.2,9.1,14.1,2.4,2.3,1.9,0.5,7.3,2.4,54.8,340.5,42.0,436.1
AUT Water transport,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2
AUT Air transport,525.0,0.0,0.2,0.0,0.4,1.5,0.6,0.6,0.3,0.5,1.3,0.0,1.0,15.9,0.0,0.9,1.3,0.3,0.0,0.6,0.1,0.0,0.1,0.0,0.0,0.1,0.1,5.0,1.4,39.0
AUT Warehousing and support activities for transportation,4485.1,2.0,11.4,0.0,0.6,2.5,2.1,32.9,3.1,23.3,25.2,0.1,11.3,6.8,0.2,9.3,83.0,10.2,0.3,4.6,9.1,0.2,0.5,0.0,0.2,0.9,6.1,9.5,26.5,377.9
AUT Postal and courier activities,3.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
AUT Accommodation and food service activities,29113.8,8.4,14.5,0.0,1.9,23.6,11.0,17.0,0.5,0.0,318.3,0.5,27.5,0.0,40.8,12.7,248.7,7.5,0.0,0.4,0.0,0.0,0.3,0.4,0.0,0.0,59.2,0.3,48.6,717.1
AUT Publishing activities,3738.5,0.6,1.1,0.0,0.5,0.0,0.6,11.4,3.6,2.4,26.7,0.0,0.4,0.0,0.0,2.3,1.1,0.8,0.0,30.1,0.9,0.1,0.2,0.2,0.0,0.0,0.4,33.7,3.4,184.7
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2024.8,0.2,0.4,0.0,2.3,0.5,0.1,3.8,0.4,2.7,24.1,0.0,22.0,0.0,0.0,0.4,1.6,1.6,0.3,3.8,0.5,0.1,0.1,0.1,0.0,0.0,6.1,30.8,1.7,97.6
AUT Telecommunications,9945.6,0.4,2.1,0.0,0.6,0.9,22.6,2.4,3.2,1.9,17.5,0.2,0.7,0.6,0.4,2.7,3.7,1.4,2.0,2.4,0.1,0.1,0.1,0.2,0.3,1.4,5.3,0.8,3.3,105.5
"AUT Computer programming, consultancy and related activities; information service activities",8406.4,0.0,0.1,0.0,1.0,0.1,3.8,0.7,1.6,0.2,0.5,0.0,0.1,0.1,0.0,0.1,0.8,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2.1,133.0
"AUT Financial service activities, except insurance and pension funding",16284.2,0.0,0.1,0.0,0.7,0.1,2.3,0.2,1.2,0.2,10.9,0.0,0.8,0.0,0.3,0.1,1.0,0.4,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.6,0.2,130.9
"AUT Insurance, reinsurance and pension funding, except compulsory social security",19124.2,0.1,0.2,0.0,0.2,1.0,1.7,1.2,0.3,0.7,4.7,0.0,0.6,0.7,2.6,0.5,7.3,1.4,0.3,0.9,0.1,0.1,0.0,0.0,0.1,0.1,1.1,47.2,1.0,15.5
AUT Activities auxiliary to financial services and insurance activities,1569.6,0.0,0.2,0.0,0.1,0.0,0.2,0.1,0.2,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,37.6
AUT Real estate activities,60918.3,0.1,0.0,0.0,5.2,0.2,0.1,12.0,0.2,0.0,13.6,0.0,0.0,0.0,0.0,3.2,0.3,1.0,0.0,42.1,0.1,0.2,0.0,0.0,0.0,0.0,1.8,0.2,0.1,33.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,11886.4,0.1,6.4,0.0,3.3,2.6,316.3,6.3,13.4,9.9,3.4,0.1,4.5,2.0,0.1,5.9,1.9,2.2,0.1,51.2,4.8,0.6,0.2,0.2,0.0,0.0,0.6,54.7,10.7,367.7
AUT Architectural and engineering activities; technical testing and analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Scientific research and development,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Advertising and market research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUT Administrative and support service activities,3047.4,0.1,0.2,0.0,12.6,0.9,0.2,0.9,1.2,1.6,2.2,0.0,0.1,0.0,0.6,2.3,0.6,1.7,0.0,7.7,0.1,0.0,0.1,0.0,0.0,0.0,0.1,85.5,28.3,73.4
AUT Public administration and defence; compulsory social security,55317.3,0.1,0.1,0.0,0.1,0.1,5.3,1.4,0.2,0.1,0.1,0.2,1.2,0.0,0.0,0.1,7.3,0.1,0.0,0.7,10.6,0.0,0.0,0.0,0.1,4.0,0.0,2.3,0.6,24.7
AUT Education,32310.7,2.0,0.2,0.2,2.0,52.7,20.9,0.4,0.2,0.3,28.8,0.8,22.2,168.1,0.1,1.8,3.9,1.5,0.1,6.7,0.1,2.6,0.1,0.1,3.0,0.0,1.9,71.0,8.5,1085.0
AUT Human health and social work activities,44486.1,5.9,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.6,4.5,0.0,15.6,0.1,0.0,0.1,0.4,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,13.2,0.8,171.2
AUT Other service activities,15841.0,0.2,0.4,0.0,0.2,35.8,39.8,0.9,4.6,0.1,113.0,0.1,20.6,8.2,1.2,0.6,3.5,0.8,0.0,1.6,0.1,0.3,0.0,0.0,0.0,0.5,1.1,0.6,4.2,2.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5757.4,0.0,0.0,0.0,0.0,2.2,2.5,0.0,0.3,0.0,7.0,0.0,1.3,0.5,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,-1.4
AUT Activities of extraterritorial organizations and bodies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUS Crop and animal production, hunting and related service activities",0.5,1568.0,3.8,1.8,0.7,0.5,0.2,92.3,8.1,6.7,17.5,10.2,0.0,0.1,1.1,49.9,3.9,0.8,0.4,5.4,1.8,8.1,0.5,9.7,11.0,0.7,0.1,12.1,70.2,25.7
AUS Forestry and logging,0.0,261.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0
AUS Fishing and aquaculture,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS Mining and quarrying,0.1,336.3,1.3,0.1,0.0,0.1,0.1,61.8,0.4,0.9,1.0,9.6,0.0,0.2,0.1,3.3,0.2,0.1,0.0,0.6,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.9,3.4,0.2
"AUS Manufacture of food products, beverages and tobacco products",7.9,5820.2,60.9,18.0,15.9,10.4,6.0,1244.4,153.4,122.2,291.7,80.5,0.9,1.5,8.3,697.1,83.9,18.4,9.2,99.8,7.8,37.6,11.3,133.3,60.5,16.1,2.7,268.1,714.8,378.2
"AUS Manufacture of textiles, wearing apparel and leather products",6.7,553.4,10.6,4.4,0.4,8.4,1.1,685.8,27.5,56.1,127.3,91.0,0.0,0.6,2.5,210.7,16.7,5.8,0.8,19.4,11.7,48.4,19.2,8.5,57.7,9.7,1.7,36.9,388.7,66.8
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.6,1490.2,0.6,0.2,0.1,1.1,0.8,24.3,1.3,4.1,2.8,2.6,0.0,0.2,0.2,9.1,1.9,0.4,0.2,2.1,0.5,1.3,0.3,1.1,1.2,0.4,0.1,4.2,12.2,0.5
AUS Manufacture of paper and paper products,0.1,179.9,2.2,0.4,0.1,0.4,0.4,53.1,1.7,5.0,3.3,6.4,0.0,0.1,0.2,3.9,0.2,0.1,0.1,9.3,0.8,2.6,0.3,2.3,2.1,0.3,0.3,1.8,29.1,2.1
AUS Printing and reproduction of recorded media,0.2,157.1,0.9,0.1,0.0,0.0,0.1,18.3,0.2,1.0,3.0,0.8,0.0,0.0,0.0,1.4,0.2,0.0,0.0,1.4,0.2,2.1,0.2,0.5,0.1,0.0,0.1,1.0,7.2,0.0
AUS Manufacture of coke and refined petroleum products ,0.7,1606.8,1.9,5.2,0.4,0.6,1.3,32.2,2.0,4.5,3.3,56.2,0.0,0.3,0.5,8.1,0.9,0.4,0.4,2.4,0.4,4.1,0.5,5.8,1.7,1.1,0.9,5.6,116.2,15.7
AUS Manufacture of chemicals and chemical products ,3.1,275.1,9.7,3.8,2.2,0.8,3.1,113.9,7.7,9.2,5.7,21.9,0.1,0.5,0.5,32.0,1.3,0.4,1.6,16.0,0.8,15.8,1.1,10.6,6.3,2.6,0.3,19.9,139.4,23.0
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,9.4,285.4,3.4,10.7,7.7,4.1,14.3,341.3,28.6,60.5,8.7,34.0,0.6,0.5,1.5,47.8,1.9,3.9,18.5,4.3,1.5,35.1,10.6,27.1,1.6,0.7,0.5,192.1,174.1,149.6
AUS Manufacture of rubber and plastic products,6.0,392.0,4.8,1.6,2.1,5.5,9.7,268.0,12.3,24.3,35.9,33.0,0.4,2.5,2.2,38.0,6.8,3.7,2.0,16.1,3.3,7.3,7.9,19.1,2.2,12.4,5.6,18.4,93.2,28.4
AUS Manufacture of other non-metallic mineral products,1.6,957.9,0.9,0.3,0.2,2.8,1.3,41.1,2.5,4.7,4.7,4.8,0.0,0.7,0.6,12.9,3.7,0.4,0.4,2.0,0.6,1.7,0.4,1.1,1.6,0.5,0.2,23.0,28.1,3.4
AUS Manufacture of basic metals,0.9,488.0,1.5,0.7,0.7,0.8,4.1,37.2,2.7,5.8,5.2,4.3,0.2,0.8,0.5,8.8,1.5,0.9,0.9,3.3,0.7,2.6,0.7,1.6,2.8,2.2,1.0,9.6,22.6,0.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",10.5,1568.3,11.2,4.9,5.2,13.1,26.9,467.9,26.2,73.5,47.5,28.2,1.5,6.2,3.4,80.9,16.4,11.7,14.6,12.6,6.1,22.5,5.8,8.1,19.5,25.5,7.5,144.1,149.8,116.1
"AUS Manufacture of computer, electronic and optical products",11.6,1158.2,19.7,19.0,11.6,15.7,66.4,447.4,32.5,84.4,353.2,140.1,1.9,17.1,4.4,330.1,42.0,26.5,10.4,18.4,14.9,55.0,60.5,27.6,19.4,33.1,10.2,153.3,490.5,456.7
AUS Manufacture of electrical equipment,25.3,670.2,24.1,11.8,12.2,13.2,66.1,939.3,59.0,97.9,140.3,49.4,4.7,22.3,7.9,146.0,50.6,11.6,8.0,45.3,15.6,28.2,13.2,16.6,17.5,54.1,13.3,134.4,454.9,303.6
AUS Manufacture of machinery and equipment n.e.c.,56.2,2326.2,65.8,41.9,51.3,43.5,467.8,1303.8,215.7,228.4,160.7,241.8,9.8,62.1,13.3,363.0,57.7,65.5,42.2,73.3,43.2,121.4,29.5,124.0,349.4,169.0,123.3,417.5,967.9,736.8
"AUS Manufacture of motor vehicles, trailers and semi-trailers",158.1,1345.6,51.7,22.9,25.7,251.4,87.6,2937.4,367.0,260.4,427.1,123.3,1.0,6.2,14.2,625.1,97.2,33.7,3.3,148.9,51.4,75.1,24.2,37.7,215.8,64.1,14.8,1420.5,615.1,709.2
AUS Manufacture of other transport equipment,25.3,21.2,7.8,0.2,1.6,23.0,28.2,752.9,37.2,32.4,130.8,1.8,0.2,8.8,0.6,57.7,15.7,20.0,0.7,17.8,3.5,3.6,34.4,1.3,0.4,67.3,35.6,50.9,232.9,262.8
AUS Manufacture of furniture; other manufacturing,15.1,2101.4,14.0,4.4,1.7,55.4,17.7,768.0,50.3,187.9,105.6,50.5,0.2,5.4,3.8,222.1,99.4,19.4,4.0,39.1,22.2,33.6,5.8,8.4,51.0,12.9,0.8,174.8,428.1,108.0
AUS Repair and installation of machinery and equipment,0.5,697.3,1.9,0.7,0.5,0.5,3.6,41.0,1.7,22.1,6.0,5.6,0.1,0.6,0.2,8.9,1.0,0.7,0.4,8.6,2.2,1.6,2.4,3.5,2.2,1.5,7.3,6.0,18.9,29.9
"AUS Electricity, gas, steam and air conditioning supply",0.1,3344.3,16.7,0.3,0.0,0.2,1.0,113.6,0.4,1.2,1.4,4.2,0.0,0.0,0.2,8.0,0.1,0.0,0.0,2.8,0.1,1.4,0.1,0.3,0.0,0.2,0.1,1.1,12.4,9.3
"AUS Water collection, treatment and supply",0.0,35.2,0.4,0.0,0.0,0.0,0.0,1.3,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-30.3
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.1,111.8,0.3,0.0,0.0,0.1,0.4,2.3,0.2,0.4,0.3,0.3,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.5,0.0,0.3,0.0,0.1,0.2,0.1,0.1,0.6,2.1,12.7
AUS Construction,0.4,26376.5,3.4,2.6,0.2,0.8,2.6,18.3,1.3,3.6,5.3,17.5,0.1,0.6,0.2,5.4,0.9,0.3,0.2,3.9,0.8,35.6,0.6,1.3,3.7,0.8,0.8,3.6,13.1,42.2
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,1.2,5147.7,1.4,0.9,0.6,1.5,3.6,51.3,3.8,6.1,7.5,5.8,0.2,0.7,0.4,12.3,1.8,0.9,0.8,3.3,0.8,3.5,1.2,2.1,3.4,1.5,0.7,14.2,27.1,17.1
"AUS Wholesale trade, except of motor vehicles and motorcycles",16.4,9579.9,20.8,12.5,8.8,19.2,48.1,649.7,53.7,96.3,104.2,85.4,1.4,7.9,15.9,184.6,30.2,12.6,12.2,51.3,11.3,48.2,17.1,29.6,43.3,21.8,12.2,188.0,380.1,850.7
"AUS Retail trade, except of motor vehicles and motorcycles",0.7,17400.8,2.4,0.5,0.3,1.0,2.9,36.7,2.6,4.2,6.4,3.7,0.1,0.4,1.2,10.0,1.5,0.5,0.4,4.8,0.5,3.5,0.7,1.5,1.6,0.8,0.4,8.0,25.0,32.3
AUS Land transport and transport via pipelines,5.7,5129.2,78.6,4.8,0.5,7.2,11.5,322.7,10.3,22.4,57.6,27.8,0.2,0.8,0.8,120.0,5.7,0.7,0.7,11.6,0.7,35.4,1.2,3.2,8.8,13.4,0.8,19.3,236.3,384.7
AUS Water transport,0.0,6.5,0.1,0.0,0.0,0.1,0.1,2.4,0.1,0.1,1.7,0.3,0.0,1.2,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.1,0.3,0.0,0.3,0.9,18.5
AUS Air transport,0.0,1394.1,5.3,1.2,0.0,3.1,3.6,25.6,3.1,8.1,44.0,9.7,0.1,14.5,0.6,75.6,5.6,0.0,0.1,3.0,0.3,1.5,0.2,0.7,0.3,0.7,0.1,15.3,37.0,20.9
AUS Warehousing and support activities for transportation,1.4,731.8,46.1,0.6,0.2,0.7,1.4,146.1,4.1,12.1,11.2,25.8,0.1,5.4,0.1,68.9,1.9,0.3,0.3,2.3,0.5,3.8,0.5,0.8,2.0,1.3,0.2,4.1,39.7,36.9
AUS Postal and courier activities,0.0,281.9,0.8,0.4,0.0,0.1,0.2,28.9,1.5,1.1,20.5,1.6,0.0,0.0,0.1,0.9,0.0,0.0,0.0,6.9,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,5.7,77.2
AUS Accommodation and food service activities,1.6,15381.4,43.3,2.4,0.3,5.4,0.8,385.2,3.3,1.0,82.4,9.5,0.0,0.1,19.2,63.2,7.2,0.2,0.1,1.9,0.1,0.9,1.7,7.9,0.5,0.1,1.1,1.9,271.4,40.8
AUS Publishing activities,1.2,679.3,5.6,0.4,0.0,0.0,0.2,113.2,0.8,5.2,18.1,3.7,0.0,0.0,0.0,6.5,1.0,0.1,0.0,7.2,1.1,12.8,0.9,2.8,0.0,0.0,0.2,4.6,39.0,39.4
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.8,847.1,2.5,0.3,0.2,0.2,0.0,64.1,0.4,3.4,5.0,0.2,0.7,0.0,0.1,3.5,1.5,1.4,1.6,2.3,0.3,1.8,0.9,1.1,0.0,0.0,4.8,5.9,18.9,27.2
AUS Telecommunications,0.7,3323.0,4.0,3.4,0.0,0.4,0.9,89.7,5.3,3.9,52.6,8.7,0.2,0.8,0.3,21.3,0.2,0.1,0.9,10.5,0.7,3.4,0.9,1.4,3.9,0.4,1.3,0.8,59.3,31.2
"AUS Computer programming, consultancy and related activities; information service activities",0.2,3757.1,0.3,0.4,0.0,0.3,0.5,44.8,0.5,1.2,3.2,3.7,0.0,0.1,0.1,3.4,0.3,0.1,0.1,6.1,1.4,6.5,0.3,2.0,0.2,0.1,0.1,1.4,56.4,124.1
"AUS Financial service activities, except insurance and pension funding",0.4,2735.5,1.5,0.3,0.2,7.6,0.3,73.0,12.2,1.4,38.7,31.9,0.7,0.0,1.3,3.0,0.6,0.8,0.0,16.5,1.4,24.1,1.4,2.7,0.9,6.0,0.2,2.1,134.7,535.4
