,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",5763.7,0.2,11.6,0.0,0.9,10.5,52.5,9.6,5.2,5.7,23.0,0.0,31.6,54.4,0.7,7.1,76.2,14.2,0.7,6.8,0.6,0.1,0.2,0.0,0.5,0.0,24.2,57.4,4.3,407.6
AUT Forestry and logging,238.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3,0.0,0.1
AUT Fishing and aquaculture,647.0,0.0,0.4,0.0,0.1,0.0,9.0,0.2,0.3,5.4,0.9,0.0,0.7,0.0,0.0,2.8,50.6,0.6,0.0,0.0,0.1,0.0,0.0,0.0,11.9,0.0,44.1,0.4,0.8,169.8
AUT Mining and quarrying,2977.2,0.0,4.1,0.0,0.1,0.1,7.3,125.8,0.3,0.2,22.9,0.3,0.1,0.0,0.0,1.9,0.1,0.1,0.0,37.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,6.8,5.1,5.1
"AUT Manufacture of food products, beverages and tobacco products",17582.4,6.4,27.1,1.0,2.3,362.1,219.9,93.1,21.9,57.2,1035.3,0.2,174.8,4.1,42.2,5.5,3546.1,519.9,64.7,65.5,14.5,3.5,0.2,0.9,43.9,0.6,289.4,1649.8,164.8,2316.9
"AUT Manufacture of textiles, wearing apparel and leather products",784.7,0.4,0.4,0.0,0.2,7.8,8.3,6.5,0.8,1.6,34.5,0.7,1.3,2.0,1.0,3.3,14.0,5.7,0.3,1.5,0.4,0.1,0.1,0.0,2.9,0.9,1.7,196.9,6.7,282.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",492.7,0.0,0.1,0.0,0.1,0.6,1.3,0.6,0.1,0.3,1.7,0.0,0.5,0.4,0.1,0.2,2.4,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.4,4.6,0.4,2.0
AUT Manufacture of paper and paper products,882.6,0.0,0.0,0.0,0.0,0.2,0.6,0.5,0.0,0.1,1.2,0.0,1.2,0.1,0.0,0.1,1.1,0.4,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.7,2.6,0.3,50.1
AUT Printing and reproduction of recorded media,214.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.1,0.2,1.3,0.0,0.3,0.1,0.1,0.1,2.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.3,4.0,0.3,-0.0
AUT Manufacture of coke and refined petroleum products ,5385.5,0.0,0.2,0.0,0.2,0.6,2.0,0.8,0.2,22.3,2.2,0.0,8.8,0.5,0.1,0.2,22.5,7.2,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,15.8,12.6,0.6,233.9
AUT Manufacture of chemicals and chemical products ,1953.2,0.2,0.7,0.0,0.3,1.8,17.6,4.4,0.7,2.1,24.7,0.2,4.5,7.4,0.5,0.7,18.6,2.5,0.6,2.6,1.5,0.1,0.1,0.0,0.4,0.3,6.4,43.7,5.1,136.5
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1143.2,1.5,1.6,0.0,5.9,20.7,14.8,31.2,10.8,17.7,29.5,0.3,3.9,0.5,9.9,10.3,4.8,47.8,4.2,6.8,0.6,1.4,5.3,0.1,0.1,0.0,54.9,117.1,16.6,340.5
AUT Manufacture of rubber and plastic products,1341.3,0.2,0.3,0.0,0.4,2.6,10.2,2.2,0.8,1.6,9.2,0.1,3.2,3.8,0.3,0.7,11.1,2.5,1.1,1.7,0.2,0.1,0.1,0.1,0.4,0.2,1.8,24.0,2.1,60.6
AUT Manufacture of other non-metallic mineral products,671.1,0.1,0.1,0.0,0.1,0.7,2.1,0.7,0.2,0.3,2.3,0.0,0.7,0.5,0.1,0.2,2.9,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.5,5.1,0.5,6.8
AUT Manufacture of basic metals,963.5,0.1,0.4,0.0,0.3,1.1,6.4,1.0,0.4,1.1,2.3,0.0,1.5,1.0,0.1,0.3,4.1,1.2,0.9,0.9,0.1,0.1,0.0,0.0,0.3,0.1,0.6,11.7,0.9,-0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",2570.8,0.5,3.6,0.1,0.8,4.3,16.4,5.7,1.6,6.8,10.7,0.1,9.4,5.9,0.4,1.4,36.2,7.3,10.5,1.1,0.2,0.4,0.2,0.1,1.1,0.4,3.0,60.1,3.4,123.1
"AUT Manufacture of computer, electronic and optical products",2131.9,1.1,3.5,0.2,4.9,24.0,48.4,56.8,10.8,9.0,64.8,0.1,6.4,18.2,1.2,7.6,28.8,31.7,2.6,1.4,1.0,3.5,0.6,0.8,1.8,2.1,16.9,134.0,23.6,485.3
AUT Manufacture of electrical equipment,2215.4,1.0,0.9,0.1,1.1,4.6,18.6,8.2,1.9,2.4,21.4,0.0,4.4,4.2,0.4,1.9,7.2,6.3,0.7,1.5,0.6,0.5,0.4,0.1,0.5,0.4,6.6,43.7,6.4,177.2
AUT Manufacture of machinery and equipment n.e.c.,3930.7,1.2,2.2,0.5,4.0,15.7,89.5,15.8,4.8,6.1,34.1,0.2,26.3,20.3,0.7,6.2,13.5,16.2,4.7,3.7,0.7,1.9,0.4,0.4,7.3,2.3,12.9,110.9,10.4,297.4
"AUT Manufacture of motor vehicles, trailers and semi-trailers",7562.8,0.1,0.5,0.0,15.1,4.1,32.4,3.9,0.6,1.4,28.5,0.1,21.5,3.8,0.2,1.4,5.6,23.6,3.1,1.4,0.4,0.1,0.2,0.0,0.5,0.2,2.3,485.5,2.7,1765.8
AUT Manufacture of other transport equipment,3078.2,0.0,0.2,0.0,0.5,18.4,6.4,2.7,2.7,2.1,12.2,0.0,11.2,190.9,0.2,8.9,3.4,2.1,0.1,3.1,0.1,0.2,0.5,0.0,0.2,1.5,0.7,36.2,3.5,122.1
