,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",13053.1,0.3,6.2,0.0,1.2,11.8,44.7,24.0,11.0,4.3,19.0,0.0,34.9,160.6,1.2,12.1,73.8,17.8,0.6,2.8,2.6,1.6,0.1,0.0,29.3,20.3,11.1,22.6,5.9,894.3
AUT Forestry and logging,332.6,0.0,0.0,0.0,0.2,0.4,0.4,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.8,6.1,0.6,0.3
AUT Fishing and aquaculture,1189.8,0.0,0.1,0.0,0.2,1.5,16.4,0.7,0.3,0.2,2.0,0.0,1.5,0.1,0.1,1.2,14.7,3.4,0.2,0.3,0.9,0.0,0.0,0.0,9.3,0.0,4.7,4.9,0.7,533.7
AUT Mining and quarrying,18759.3,0.1,0.7,0.0,4.4,2.9,373.7,80.4,0.7,2.2,10.5,0.1,4.9,1.0,0.4,20.3,8.7,2.7,0.3,27.3,0.7,0.2,0.0,0.0,1.1,0.2,2.1,113.8,4.6,21.4
"AUT Manufacture of food products, beverages and tobacco products",35748.4,3.3,38.5,0.3,26.9,492.3,1260.4,110.0,4.2,27.8,668.0,0.2,443.4,20.1,31.6,35.4,3938.4,1102.9,31.1,83.0,14.4,4.5,0.2,1.1,276.7,2.2,360.3,1533.0,186.8,5034.6
"AUT Manufacture of textiles, wearing apparel and leather products",2816.6,1.6,0.4,0.0,0.5,18.2,21.8,7.1,0.4,2.4,20.7,0.1,3.4,1.6,0.8,6.6,17.5,15.5,0.6,5.8,3.4,2.7,0.1,0.2,3.9,1.2,2.6,57.6,9.7,316.4
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",209.7,0.0,0.1,0.0,0.1,0.9,2.3,3.2,0.1,0.4,0.9,0.0,0.4,0.5,0.1,0.1,1.9,0.4,0.3,0.8,0.1,0.0,0.0,0.0,0.1,0.1,0.8,12.8,1.9,0.6
AUT Manufacture of paper and paper products,1708.5,0.1,0.0,0.0,0.2,0.8,2.0,0.5,0.0,0.1,1.3,0.0,0.4,0.3,0.1,0.3,1.6,0.8,0.1,0.3,0.5,0.1,0.0,0.0,0.4,0.1,0.6,5.6,2.3,65.5
AUT Printing and reproduction of recorded media,774.7,0.0,0.1,0.0,0.2,1.0,5.5,1.0,0.1,0.3,1.1,0.0,0.9,0.3,0.1,0.3,2.8,1.0,0.1,0.4,0.1,0.1,0.0,0.0,0.3,0.1,0.6,5.7,0.9,0.0
AUT Manufacture of coke and refined petroleum products ,6619.3,0.0,0.0,0.0,0.2,0.3,3.7,0.3,0.1,0.1,0.5,0.0,0.8,0.3,0.0,0.1,27.0,0.8,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,33.1,1.7,2.4,333.9
AUT Manufacture of chemicals and chemical products ,3736.4,0.1,0.6,0.0,1.5,1.8,61.7,3.3,0.3,1.5,35.8,0.1,15.4,31.3,3.4,0.7,23.2,21.1,1.8,1.3,6.4,0.4,0.1,0.0,3.1,2.0,8.8,58.8,14.9,360.9
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,4410.2,0.2,1.9,0.0,6.5,50.6,174.8,17.4,7.1,9.0,13.2,0.1,11.9,1.3,19.2,5.9,12.1,21.7,15.9,17.7,0.9,4.3,0.1,0.5,0.2,0.1,168.8,126.7,9.7,459.8
AUT Manufacture of rubber and plastic products,2508.4,0.2,0.3,0.0,1.0,3.9,22.1,4.7,0.3,1.0,6.7,0.1,6.2,3.4,0.4,0.8,6.4,3.0,1.9,1.3,0.6,0.3,0.1,0.1,0.9,0.6,1.7,24.5,3.5,114.2
AUT Manufacture of other non-metallic mineral products,100.5,0.0,0.1,0.0,0.3,0.8,4.5,1.1,0.1,0.4,1.3,0.0,0.9,0.5,0.1,0.2,2.0,0.7,0.4,0.3,0.1,0.0,0.0,0.0,0.2,0.1,0.4,5.8,0.8,4.5
AUT Manufacture of basic metals,1343.1,0.2,0.7,0.0,1.7,4.9,20.5,18.4,0.5,2.7,4.3,0.0,2.8,2.7,1.0,0.7,9.9,1.6,2.1,5.1,0.4,0.2,0.1,0.0,0.3,0.3,0.5,76.8,10.6,0.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",3788.3,0.5,5.5,0.2,2.2,8.3,33.3,9.6,1.0,7.8,7.5,0.1,6.3,5.5,0.5,1.9,30.4,5.9,22.9,2.3,3.3,0.3,1.6,0.1,2.0,0.7,3.5,77.9,5.5,368.8
"AUT Manufacture of computer, electronic and optical products",3534.7,1.9,2.2,0.3,7.1,14.7,74.6,70.4,4.0,7.9,39.1,0.2,13.6,13.4,3.4,15.1,32.9,12.3,2.1,3.0,2.9,1.1,0.8,2.5,2.6,3.3,5.8,200.0,18.7,524.1
AUT Manufacture of electrical equipment,2851.7,1.3,0.8,0.1,2.2,4.3,32.1,11.1,1.0,2.4,11.7,0.1,8.5,3.9,1.7,1.3,12.5,7.1,1.8,1.2,0.6,0.2,0.4,0.1,1.5,1.7,3.1,46.0,4.2,192.3
AUT Manufacture of machinery and equipment n.e.c.,5173.8,2.1,4.0,1.6,15.8,33.2,211.7,26.9,5.3,6.5,20.2,0.3,61.0,28.6,0.5,7.0,11.5,17.8,18.5,3.8,2.7,1.3,0.6,0.1,23.0,4.8,10.9,103.8,14.3,675.1
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8189.5,0.2,0.2,0.1,17.0,2.9,67.7,9.8,0.9,0.8,8.6,0.0,16.8,2.5,0.3,0.5,6.8,13.7,1.9,1.1,0.2,0.2,0.1,0.0,1.0,0.5,1.7,83.9,3.7,1453.9
AUT Manufacture of other transport equipment,6120.3,0.1,0.9,0.0,1.5,11.8,8.3,1.5,1.1,2.2,29.4,2.3,3.6,2.1,1.3,2.6,1.4,75.3,0.3,4.1,1.7,7.0,0.0,0.0,0.4,0.7,0.4,27.3,3.9,307.7
AUT Manufacture of furniture; other manufacturing,3212.9,1.0,1.5,0.1,1.7,23.2,37.9,108.8,1.2,10.7,19.4,0.2,3.2,13.3,3.5,2.5,30.8,2.4,3.6,25.3,1.0,0.7,0.3,0.1,0.5,1.7,1.0,416.4,61.3,268.3
AUT Repair and installation of machinery and equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AUT Electricity, gas, steam and air conditioning supply",16947.2,0.1,1.2,0.0,0.2,0.3,1.6,0.8,0.0,0.2,0.5,0.1,0.2,0.1,0.0,0.2,0.7,0.2,0.0,0.2,0.5,0.0,0.0,0.0,0.1,0.1,0.2,1.5,2.0,11.2
"AUT Water collection, treatment and supply",8521.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,3.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-72.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1111.7,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.1
AUT Construction,239979.8,0.1,0.3,0.0,13.7,3.8,37.4,2.3,1.0,2.1,5.9,0.0,4.8,1.0,0.5,1.5,7.5,2.5,0.3,3.0,0.4,0.2,0.0,0.0,0.7,0.2,1.9,30.1,8.8,79.7
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7986.4,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.4,0.3,7.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",57397.0,4.1,8.8,0.7,20.2,99.9,356.8,141.2,11.4,22.1,134.9,0.6,77.7,46.6,17.2,27.6,374.5,122.0,17.4,29.5,8.6,4.9,1.4,3.1,33.4,8.0,112.2,580.7,71.2,763.8
"AUT Retail trade, except of motor vehicles and motorcycles",90990.8,0.9,3.0,0.1,6.0,38.8,112.1,32.0,2.1,5.3,49.1,0.1,30.3,9.8,4.5,5.7,214.6,63.1,4.6,10.9,2.0,1.2,0.2,0.4,16.7,1.5,33.7,180.6,24.1,211.4
AUT Land transport and transport via pipelines,22191.8,3.1,8.5,0.5,13.2,74.1,248.5,86.1,6.3,19.4,94.7,0.5,60.9,32.4,11.4,15.7,325.4,102.5,12.7,24.4,5.8,3.4,0.8,1.2,28.9,5.8,78.9,379.9,54.3,485.4
AUT Water transport,2878.0,0.1,0.3,0.0,0.5,0.4,1.3,1.3,0.0,0.4,0.9,0.0,0.5,0.2,0.1,0.2,1.9,0.7,0.1,0.2,0.3,0.0,0.0,0.0,0.2,0.0,0.4,2.5,0.9,6.2
AUT Air transport,873.8,0.0,0.2,0.0,3.5,0.6,1.1,0.8,0.1,0.5,1.6,0.1,0.4,0.2,0.1,0.3,0.9,2.1,0.0,0.6,0.2,0.2,0.0,0.0,0.1,0.0,0.2,5.7,2.4,14.5
AUT Warehousing and support activities for transportation,17104.0,2.2,12.0,0.1,6.5,8.6,26.1,45.5,1.1,14.8,22.2,0.3,11.5,5.8,1.2,4.2,42.8,12.9,1.4,3.4,12.3,0.5,0.5,0.1,3.0,1.1,9.2,43.2,22.8,174.5
AUT Postal and courier activities,1156.7,0.0,0.1,0.0,0.5,0.5,1.8,0.7,0.1,0.2,0.8,0.0,0.4,0.2,0.1,0.1,2.1,0.7,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.5,3.0,0.6,5.4
AUT Accommodation and food service activities,56644.9,3.8,3.9,0.0,10.0,65.4,235.5,10.0,0.4,0.0,120.7,0.2,87.1,0.0,46.7,12.5,52.8,13.6,0.0,11.3,0.6,0.0,0.3,0.0,0.0,0.0,71.0,1.0,50.4,1803.6
AUT Publishing activities,4654.6,0.7,0.7,0.1,1.2,0.1,1.0,2.8,1.2,4.4,5.0,0.0,1.1,0.0,0.4,0.2,0.4,0.2,0.0,1.2,1.1,0.2,0.2,0.0,0.0,0.0,0.2,9.2,4.9,382.6
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6453.9,0.2,0.3,0.0,9.4,2.0,4.0,1.1,0.5,4.2,4.0,0.1,34.2,0.0,0.3,0.7,1.5,5.2,0.1,6.4,5.5,0.6,0.0,0.0,0.0,0.0,3.6,7.4,1.1,119.0
