,0
BEL Manufacture of other transport equipment,33.3
BEL Manufacture of furniture; other manufacturing,68.6
BEL Repair and installation of machinery and equipment,35.7
"BEL Electricity, gas, steam and air conditioning supply",22452.4
"BEL Water collection, treatment and supply",20.0
"BEL Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1062.0
BEL Construction,1994.5
BEL Wholesale and retail trade and repair of motor vehicles and motorcycles,663.2
"BEL Wholesale trade, except of motor vehicles and motorcycles",1542.1
"BEL Retail trade, except of motor vehicles and motorcycles",551.6
BEL Land transport and transport via pipelines,6782.5
BEL Water transport,670.0
BEL Air transport,3182.9
BEL Warehousing and support activities for transportation,823.0
BEL Postal and courier activities,130.5
BEL Accommodation and food service activities,489.0
BEL Publishing activities,80.1
"BEL Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",33.1
BEL Telecommunications,46.1
"BEL Computer programming, consultancy and related activities; information service activities",96.9
"BEL Financial service activities, except insurance and pension funding",76.7
"BEL Insurance, reinsurance and pension funding, except compulsory social security",37.5
BEL Activities auxiliary to financial services and insurance activities,44.2
BEL Real estate activities,103.3
BEL Legal and accounting activities; activities of head offices; management consultancy activities,582.6
BEL Architectural and engineering activities; technical testing and analysis,74.2
BEL Scientific research and development,66.6
BEL Advertising and market research,20.8
"BEL Other professional, scientific and technical activities; veterinary activities",39.7
BEL Administrative and support service activities,1228.8
BEL Public administration and defence; compulsory social security,1653.4
BEL Education,971.8
BEL Human health and social work activities,782.0
BEL Other service activities,628.8
BEL Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,31.5
BEL Activities of extraterritorial organizations and bodies,0.0
"BGR Crop and animal production, hunting and related service activities",1099.6
BGR Forestry and logging,104.6
BGR Fishing and aquaculture,0.6
BGR Mining and quarrying,526.1
"BGR Manufacture of food products, beverages and tobacco products",584.5
"BGR Manufacture of textiles, wearing apparel and leather products",277.4
"BGR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",128.0
BGR Manufacture of paper and paper products,363.9
BGR Printing and reproduction of recorded media,40.3
BGR Manufacture of coke and refined petroleum products ,967.8
BGR Manufacture of chemicals and chemical products ,3834.7
BGR Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.9
BGR Manufacture of rubber and plastic products,34.0
BGR Manufacture of other non-metallic mineral products,4991.9
BGR Manufacture of basic metals,3937.6
"BGR Manufacture of fabricated metal products, except machinery and equipment",147.5
"BGR Manufacture of computer, electronic and optical products",13.0
BGR Manufacture of electrical equipment,26.4
BGR Manufacture of machinery and equipment n.e.c.,60.4
"BGR Manufacture of motor vehicles, trailers and semi-trailers",10.1
BGR Manufacture of other transport equipment,7.5
BGR Manufacture of furniture; other manufacturing,34.5
BGR Repair and installation of machinery and equipment,28.7
"BGR Electricity, gas, steam and air conditioning supply",32014.7
"BGR Water collection, treatment and supply",24.2
"BGR Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",38.1
BGR Construction,355.5
BGR Wholesale and retail trade and repair of motor vehicles and motorcycles,57.4
"BGR Wholesale trade, except of motor vehicles and motorcycles",222.4
"BGR Retail trade, except of motor vehicles and motorcycles",226.1
BGR Land transport and transport via pipelines,2795.6
BGR Water transport,262.4
BGR Air transport,1252.3
BGR Warehousing and support activities for transportation,119.1
BGR Postal and courier activities,41.6
BGR Accommodation and food service activities,25.2
BGR Publishing activities,0.4
"BGR Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",0.2
