,AUT,AUS,BEL,BGR,BRA,CAN,CHN,DEU,ESP,FRA,GBR,HUN,IDN,IND,IRL,ITA,JPN,KOR,MEX,NLD,NOR,POL,PRT,ROU,RUS,TUR,TWN,USA,REU,RoW
"AUT Crop and animal production, hunting and related service activities",4603.8,0.1,5.1,0.0,0.3,6.5,14.6,6.4,2.1,1.9,18.4,0.0,21.6,121.7,0.3,3.9,91.7,9.8,1.2,8.1,0.3,0.0,0.2,0.0,0.4,0.1,15.7,42.8,2.7,344.2
AUT Forestry and logging,170.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.3
AUT Fishing and aquaculture,455.0,0.0,0.7,0.0,0.1,0.0,5.4,0.0,1.6,5.5,1.9,0.0,4.4,0.5,0.0,5.8,83.9,1.9,0.0,0.0,0.5,0.0,0.0,0.6,13.4,0.1,44.2,0.4,0.6,120.2
AUT Mining and quarrying,1234.3,0.0,0.7,0.0,0.1,0.0,4.2,52.7,0.1,4.0,0.1,0.8,6.2,0.0,0.0,0.9,0.1,0.0,0.0,46.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,54.3,19.1,11.9
"AUT Manufacture of food products, beverages and tobacco products",9989.7,4.1,17.5,0.2,1.4,278.3,117.7,65.9,15.8,43.9,647.6,0.3,126.1,3.6,22.3,2.8,1934.7,237.5,78.7,44.9,8.3,1.8,0.3,0.1,32.7,0.5,213.7,981.1,83.4,1540.6
"AUT Manufacture of textiles, wearing apparel and leather products",730.1,0.1,0.2,0.0,0.2,7.4,13.7,4.8,1.1,1.8,20.0,0.1,1.0,1.7,0.2,3.2,10.9,4.7,0.3,0.8,0.2,0.2,0.1,0.0,0.9,0.2,1.3,230.7,2.1,210.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",272.9,0.0,0.1,0.0,0.0,0.4,0.8,0.3,0.1,0.2,1.0,0.0,0.6,0.2,0.0,0.1,1.7,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,1.3
AUT Manufacture of paper and paper products,530.9,0.0,0.1,0.0,0.0,0.2,0.9,0.1,0.0,0.2,0.5,0.0,0.4,0.1,0.0,0.1,0.8,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.6,0.1,31.1
AUT Printing and reproduction of recorded media,128.8,0.0,0.0,0.0,0.0,0.3,0.4,0.1,0.0,0.1,0.8,0.0,0.2,0.1,0.0,0.1,1.4,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.9,0.1,-0.0
AUT Manufacture of coke and refined petroleum products ,2934.2,0.0,0.1,0.0,0.1,0.4,6.1,0.3,0.1,0.2,1.1,0.0,9.8,0.4,0.0,0.1,34.4,2.9,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,6.7,41.0,1.7,157.9
