,0
"AUT Crop and animal production, hunting and related service activities",1575.7
AUT Forestry and logging,115.9
AUT Fishing and aquaculture,0.2
AUT Mining and quarrying,927.2
"AUT Manufacture of food products, beverages and tobacco products",1031.3
"AUT Manufacture of textiles, wearing apparel and leather products",65.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",359.7
AUT Manufacture of paper and paper products,2205.4
AUT Printing and reproduction of recorded media,23.2
AUT Manufacture of coke and refined petroleum products ,2807.4
AUT Manufacture of chemicals and chemical products ,2205.4
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,5.3
AUT Manufacture of rubber and plastic products,33.5
AUT Manufacture of other non-metallic mineral products,6072.1
AUT Manufacture of basic metals,12776.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",157.9
"AUT Manufacture of computer, electronic and optical products",41.1
AUT Manufacture of electrical equipment,74.2
AUT Manufacture of machinery and equipment n.e.c.,162.6
"AUT Manufacture of motor vehicles, trailers and semi-trailers",81.8
AUT Manufacture of other transport equipment,14.1
AUT Manufacture of furniture; other manufacturing,80.3
AUT Repair and installation of machinery and equipment,19.7
"AUT Electricity, gas, steam and air conditioning supply",10594.5
"AUT Water collection, treatment and supply",224.7
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",100.8
AUT Construction,2930.5
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,176.1
"AUT Wholesale trade, except of motor vehicles and motorcycles",668.3
"AUT Retail trade, except of motor vehicles and motorcycles",570.3
AUT Land transport and transport via pipelines,3568.2
AUT Water transport,89.8
AUT Air transport,2787.6
AUT Warehousing and support activities for transportation,155.8
AUT Postal and courier activities,44.4
AUT Accommodation and food service activities,640.7
AUT Publishing activities,63.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",72.6
AUT Telecommunications,20.1
"AUT Computer programming, consultancy and related activities; information service activities",38.4
"AUT Financial service activities, except insurance and pension funding",57.3
"AUT Insurance, reinsurance and pension funding, except compulsory social security",24.9
AUT Activities auxiliary to financial services and insurance activities,42.5
AUT Real estate activities,52.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,88.8
AUT Architectural and engineering activities; technical testing and analysis,31.8
AUT Scientific research and development,9.4
AUT Advertising and market research,23.3
"AUT Other professional, scientific and technical activities; veterinary activities",54.0
AUT Administrative and support service activities,278.4
AUT Public administration and defence; compulsory social security,322.8
AUT Education,1027.6
AUT Human health and social work activities,349.2
AUT Other service activities,712.8
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",5629.8
AUS Forestry and logging,909.2
AUS Fishing and aquaculture,23.9
AUS Mining and quarrying,14389.4
"AUS Manufacture of food products, beverages and tobacco products",3485.9
"AUS Manufacture of textiles, wearing apparel and leather products",528.2
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",108.1
AUS Manufacture of paper and paper products,1498.0
AUS Printing and reproduction of recorded media,303.4
AUS Manufacture of coke and refined petroleum products ,5282.6
AUS Manufacture of chemicals and chemical products ,8519.3
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,50.7
AUS Manufacture of rubber and plastic products,104.3
AUS Manufacture of other non-metallic mineral products,13407.4
AUS Manufacture of basic metals,38561.8
"AUS Manufacture of fabricated metal products, except machinery and equipment",333.7
"AUS Manufacture of computer, electronic and optical products",137.6
AUS Manufacture of electrical equipment,126.8
AUS Manufacture of machinery and equipment n.e.c.,249.5
"AUS Manufacture of motor vehicles, trailers and semi-trailers",124.4
AUS Manufacture of other transport equipment,100.3
AUS Manufacture of furniture; other manufacturing,356.6
AUS Repair and installation of machinery and equipment,0.0
"AUS Electricity, gas, steam and air conditioning supply",216616.5
"AUS Water collection, treatment and supply",267.1
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",125.1
AUS Construction,4195.0
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,744.9
"AUS Wholesale trade, except of motor vehicles and motorcycles",2946.9
"AUS Retail trade, except of motor vehicles and motorcycles",2920.6
AUS Land transport and transport via pipelines,9864.0
AUS Water transport,3551.9
AUS Air transport,21328.7
AUS Warehousing and support activities for transportation,1096.7
AUS Postal and courier activities,500.2
AUS Accommodation and food service activities,1974.1
AUS Publishing activities,11.2
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",13.4
AUS Telecommunications,448.4
"AUS Computer programming, consultancy and related activities; information service activities",429.5
"AUS Financial service activities, except insurance and pension funding",537.9
"AUS Insurance, reinsurance and pension funding, except compulsory social security",213.1
AUS Activities auxiliary to financial services and insurance activities,269.3
AUS Real estate activities,383.2
AUS Legal and accounting activities; activities of head offices; management consultancy activities,1668.8
AUS Architectural and engineering activities; technical testing and analysis,0.0
AUS Scientific research and development,0.0
AUS Advertising and market research,0.0
"AUS Other professional, scientific and technical activities; veterinary activities",0.0
AUS Administrative and support service activities,1002.6
AUS Public administration and defence; compulsory social security,2103.5
AUS Education,2103.4
AUS Human health and social work activities,4744.3
AUS Other service activities,6430.9
AUS Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUS Activities of extraterritorial organizations and bodies,0.0
"BEL Crop and animal production, hunting and related service activities",1893.4
BEL Forestry and logging,40.6
BEL Fishing and aquaculture,248.7
BEL Mining and quarrying,763.0
"BEL Manufacture of food products, beverages and tobacco products",2233.3
"BEL Manufacture of textiles, wearing apparel and leather products",306.0
"BEL Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",68.2
BEL Manufacture of paper and paper products,317.4
BEL Printing and reproduction of recorded media,226.7
BEL Manufacture of coke and refined petroleum products ,5916.8
BEL Manufacture of chemicals and chemical products ,8628.8
BEL Manufacture of basic pharmaceutical products and pharmaceutical preparations,225.0
BEL Manufacture of rubber and plastic products,96.9
BEL Manufacture of other non-metallic mineral products,9887.3
BEL Manufacture of basic metals,13405.4
"BEL Manufacture of fabricated metal products, except machinery and equipment",259.4
"BEL Manufacture of computer, electronic and optical products",67.3
BEL Manufacture of electrical equipment,72.6
BEL Manufacture of machinery and equipment n.e.c.,168.9
"BEL Manufacture of motor vehicles, trailers and semi-trailers",109.1
BEL Manufacture of other transport equipment,34.2
BEL Manufacture of furniture; other manufacturing,96.3
BEL Repair and installation of machinery and equipment,53.7
"BEL Electricity, gas, steam and air conditioning supply",20435.1
"BEL Water collection, treatment and supply",24.4
"BEL Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1058.0
BEL Construction,2270.4
BEL Wholesale and retail trade and repair of motor vehicles and motorcycles,524.1
"BEL Wholesale trade, except of motor vehicles and motorcycles",1413.2
"BEL Retail trade, except of motor vehicles and motorcycles",671.6
BEL Land transport and transport via pipelines,5425.0
BEL Water transport,669.1
BEL Air transport,2518.8
BEL Warehousing and support activities for transportation,1180.8
BEL Postal and courier activities,123.0
BEL Accommodation and food service activities,532.5
BEL Publishing activities,88.8
"BEL Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",42.7
BEL Telecommunications,47.8
"BEL Computer programming, consultancy and related activities; information service activities",104.0
"BEL Financial service activities, except insurance and pension funding",110.1
"BEL Insurance, reinsurance and pension funding, except compulsory social security",47.5
BEL Activities auxiliary to financial services and insurance activities,92.2
BEL Real estate activities,119.6
BEL Legal and accounting activities; activities of head offices; management consultancy activities,623.0
BEL Architectural and engineering activities; technical testing and analysis,128.2
BEL Scientific research and development,70.2
BEL Advertising and market research,37.0
"BEL Other professional, scientific and technical activities; veterinary activities",37.7
BEL Administrative and support service activities,1126.1
BEL Public administration and defence; compulsory social security,1582.4
BEL Education,960.4
BEL Human health and social work activities,924.2
BEL Other service activities,645.5
BEL Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,33.5
BEL Activities of extraterritorial organizations and bodies,0.0
"BGR Crop and animal production, hunting and related service activities",1140.0
BGR Forestry and logging,42.7
BGR Fishing and aquaculture,2.6
BGR Mining and quarrying,249.7
"BGR Manufacture of food products, beverages and tobacco products",531.1
"BGR Manufacture of textiles, wearing apparel and leather products",129.9
"BGR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",63.0
BGR Manufacture of paper and paper products,201.5
BGR Printing and reproduction of recorded media,3.6
BGR Manufacture of coke and refined petroleum products ,15.7
BGR Manufacture of chemicals and chemical products ,1515.7
BGR Manufacture of basic pharmaceutical products and pharmaceutical preparations,109.6
BGR Manufacture of rubber and plastic products,859.1
BGR Manufacture of other non-metallic mineral products,4789.4
BGR Manufacture of basic metals,1518.6
"BGR Manufacture of fabricated metal products, except machinery and equipment",70.9
"BGR Manufacture of computer, electronic and optical products",3.2
BGR Manufacture of electrical equipment,17.6
BGR Manufacture of machinery and equipment n.e.c.,35.0
"BGR Manufacture of motor vehicles, trailers and semi-trailers",5.4
BGR Manufacture of other transport equipment,2.4
BGR Manufacture of furniture; other manufacturing,15.6
BGR Repair and installation of machinery and equipment,39.9
"BGR Electricity, gas, steam and air conditioning supply",34167.6
"BGR Water collection, treatment and supply",25.7
"BGR Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",59.0
BGR Construction,652.2
BGR Wholesale and retail trade and repair of motor vehicles and motorcycles,31.2
"BGR Wholesale trade, except of motor vehicles and motorcycles",312.2
"BGR Retail trade, except of motor vehicles and motorcycles",78.4
BGR Land transport and transport via pipelines,3984.7
BGR Water transport,76.9
BGR Air transport,40.8
BGR Warehousing and support activities for transportation,45.8
BGR Postal and courier activities,30.6
BGR Accommodation and food service activities,61.8
BGR Publishing activities,1.5
"BGR Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",4.3
BGR Telecommunications,20.3
"BGR Computer programming, consultancy and related activities; information service activities",11.9
"BGR Financial service activities, except insurance and pension funding",21.5
"BGR Insurance, reinsurance and pension funding, except compulsory social security",2.4
BGR Activities auxiliary to financial services and insurance activities,6.1
BGR Real estate activities,18.3
BGR Legal and accounting activities; activities of head offices; management consultancy activities,24.1
BGR Architectural and engineering activities; technical testing and analysis,12.1
BGR Scientific research and development,3.5
BGR Advertising and market research,6.2
