,0
"AUT Crop and animal production, hunting and related service activities",1459.1
AUT Forestry and logging,90.6
AUT Fishing and aquaculture,0.1
AUT Mining and quarrying,916.2
"AUT Manufacture of food products, beverages and tobacco products",1157.6
"AUT Manufacture of textiles, wearing apparel and leather products",78.3
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",355.2
AUT Manufacture of paper and paper products,2353.6
AUT Printing and reproduction of recorded media,26.7
AUT Manufacture of coke and refined petroleum products ,2725.2
AUT Manufacture of chemicals and chemical products ,2263.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,6.4
AUT Manufacture of rubber and plastic products,41.8
AUT Manufacture of other non-metallic mineral products,5352.5
AUT Manufacture of basic metals,12215.4
"AUT Manufacture of fabricated metal products, except machinery and equipment",205.1
"AUT Manufacture of computer, electronic and optical products",80.3
AUT Manufacture of electrical equipment,96.4
AUT Manufacture of machinery and equipment n.e.c.,200.7
"AUT Manufacture of motor vehicles, trailers and semi-trailers",48.1
AUT Manufacture of other transport equipment,6.0
AUT Manufacture of furniture; other manufacturing,96.2
AUT Repair and installation of machinery and equipment,17.1
"AUT Electricity, gas, steam and air conditioning supply",10944.0
"AUT Water collection, treatment and supply",188.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",122.3
AUT Construction,2686.6
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,158.3
"AUT Wholesale trade, except of motor vehicles and motorcycles",627.2
"AUT Retail trade, except of motor vehicles and motorcycles",498.4
AUT Land transport and transport via pipelines,3578.3
AUT Water transport,87.5
AUT Air transport,2710.3
AUT Warehousing and support activities for transportation,153.2
AUT Postal and courier activities,40.7
AUT Accommodation and food service activities,430.2
AUT Publishing activities,46.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",55.7
AUT Telecommunications,17.8
"AUT Computer programming, consultancy and related activities; information service activities",36.8
"AUT Financial service activities, except insurance and pension funding",42.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",20.4
AUT Activities auxiliary to financial services and insurance activities,37.9
AUT Real estate activities,51.8
AUT Legal and accounting activities; activities of head offices; management consultancy activities,86.6
AUT Architectural and engineering activities; technical testing and analysis,30.0
AUT Scientific research and development,9.1
AUT Advertising and market research,22.6
"AUT Other professional, scientific and technical activities; veterinary activities",53.8
AUT Administrative and support service activities,274.3
AUT Public administration and defence; compulsory social security,297.8
AUT Education,797.2
AUT Human health and social work activities,300.6
AUT Other service activities,539.8
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
"AUS Crop and animal production, hunting and related service activities",5474.2
AUS Forestry and logging,1171.1
AUS Fishing and aquaculture,26.5
AUS Mining and quarrying,16893.4
"AUS Manufacture of food products, beverages and tobacco products",3401.8
"AUS Manufacture of textiles, wearing apparel and leather products",441.8
"AUS Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",311.9
AUS Manufacture of paper and paper products,1326.3
AUS Printing and reproduction of recorded media,276.3
AUS Manufacture of coke and refined petroleum products ,6734.0
AUS Manufacture of chemicals and chemical products ,8308.8
AUS Manufacture of basic pharmaceutical products and pharmaceutical preparations,66.3
AUS Manufacture of rubber and plastic products,99.4
AUS Manufacture of other non-metallic mineral products,12095.7
AUS Manufacture of basic metals,32894.0
"AUS Manufacture of fabricated metal products, except machinery and equipment",320.3
"AUS Manufacture of computer, electronic and optical products",102.6
AUS Manufacture of electrical equipment,111.9
AUS Manufacture of machinery and equipment n.e.c.,248.0
"AUS Manufacture of motor vehicles, trailers and semi-trailers",140.7
AUS Manufacture of other transport equipment,110.3
AUS Manufacture of furniture; other manufacturing,332.0
AUS Repair and installation of machinery and equipment,0.0
"AUS Electricity, gas, steam and air conditioning supply",213453.7
"AUS Water collection, treatment and supply",222.7
"AUS Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",122.7
AUS Construction,4342.4
AUS Wholesale and retail trade and repair of motor vehicles and motorcycles,790.4
"AUS Wholesale trade, except of motor vehicles and motorcycles",3082.4
"AUS Retail trade, except of motor vehicles and motorcycles",3020.2
AUS Land transport and transport via pipelines,9867.5
AUS Water transport,3491.0
AUS Air transport,36332.6
AUS Warehousing and support activities for transportation,1170.5
AUS Postal and courier activities,463.1
AUS Accommodation and food service activities,2206.1
AUS Publishing activities,12.6
"AUS Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",12.0
AUS Telecommunications,439.6
"AUS Computer programming, consultancy and related activities; information service activities",448.6
"AUS Financial service activities, except insurance and pension funding",584.9
"AUS Insurance, reinsurance and pension funding, except compulsory social security",230.1
AUS Activities auxiliary to financial services and insurance activities,373.5
AUS Real estate activities,424.3
AUS Legal and accounting activities; activities of head offices; management consultancy activities,1944.3
AUS Architectural and engineering activities; technical testing and analysis,0.0
AUS Scientific research and development,0.0
AUS Advertising and market research,0.0
"AUS Other professional, scientific and technical activities; veterinary activities",0.0
AUS Administrative and support service activities,1185.0
AUS Public administration and defence; compulsory social security,2158.0
AUS Education,2332.8
AUS Human health and social work activities,5185.9
AUS Other service activities,7126.3
AUS Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUS Activities of extraterritorial organizations and bodies,0.0
"BEL Crop and animal production, hunting and related service activities",2072.3
BEL Forestry and logging,33.7
BEL Fishing and aquaculture,203.3
BEL Mining and quarrying,657.1
"BEL Manufacture of food products, beverages and tobacco products",2398.9
"BEL Manufacture of textiles, wearing apparel and leather products",301.6
"BEL Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",43.1
BEL Manufacture of paper and paper products,352.9
BEL Printing and reproduction of recorded media,302.3
BEL Manufacture of coke and refined petroleum products ,6250.6
BEL Manufacture of chemicals and chemical products ,8423.8
BEL Manufacture of basic pharmaceutical products and pharmaceutical preparations,229.3
BEL Manufacture of rubber and plastic products,65.4
BEL Manufacture of other non-metallic mineral products,8292.1
BEL Manufacture of basic metals,8233.2
"BEL Manufacture of fabricated metal products, except machinery and equipment",196.0
"BEL Manufacture of computer, electronic and optical products",39.6
BEL Manufacture of electrical equipment,68.7
BEL Manufacture of machinery and equipment n.e.c.,118.8
"BEL Manufacture of motor vehicles, trailers and semi-trailers",91.4
BEL Manufacture of other transport equipment,24.9
BEL Manufacture of furniture; other manufacturing,73.3
BEL Repair and installation of machinery and equipment,104.1
"BEL Electricity, gas, steam and air conditioning supply",21409.8
"BEL Water collection, treatment and supply",29.3
"BEL Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1015.7
BEL Construction,2325.1
BEL Wholesale and retail trade and repair of motor vehicles and motorcycles,294.1
"BEL Wholesale trade, except of motor vehicles and motorcycles",930.3
"BEL Retail trade, except of motor vehicles and motorcycles",944.0
BEL Land transport and transport via pipelines,3163.4
BEL Water transport,634.3
BEL Air transport,4141.0
BEL Warehousing and support activities for transportation,1841.3
BEL Postal and courier activities,96.3
BEL Accommodation and food service activities,672.0
BEL Publishing activities,95.5
"BEL Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",57.4
BEL Telecommunications,45.3
"BEL Computer programming, consultancy and related activities; information service activities",122.5
"BEL Financial service activities, except insurance and pension funding",137.2
"BEL Insurance, reinsurance and pension funding, except compulsory social security",48.1
BEL Activities auxiliary to financial services and insurance activities,167.4
BEL Real estate activities,147.2
BEL Legal and accounting activities; activities of head offices; management consultancy activities,644.4
BEL Architectural and engineering activities; technical testing and analysis,212.9
BEL Scientific research and development,117.7
BEL Advertising and market research,49.1
"BEL Other professional, scientific and technical activities; veterinary activities",35.8
BEL Administrative and support service activities,990.7
BEL Public administration and defence; compulsory social security,1272.0
BEL Education,750.8
BEL Human health and social work activities,1030.6
BEL Other service activities,638.9
BEL Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,35.9
BEL Activities of extraterritorial organizations and bodies,0.0
"BGR Crop and animal production, hunting and related service activities",812.9
BGR Forestry and logging,40.6
BGR Fishing and aquaculture,2.4
BGR Mining and quarrying,272.7
"BGR Manufacture of food products, beverages and tobacco products",331.2
"BGR Manufacture of textiles, wearing apparel and leather products",90.0
"BGR Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",60.7
BGR Manufacture of paper and paper products,139.3
BGR Printing and reproduction of recorded media,4.4
BGR Manufacture of coke and refined petroleum products ,18.9
BGR Manufacture of chemicals and chemical products ,1783.2
BGR Manufacture of basic pharmaceutical products and pharmaceutical preparations,28.0
BGR Manufacture of rubber and plastic products,34.9
BGR Manufacture of other non-metallic mineral products,3262.8
BGR Manufacture of basic metals,473.3
"BGR Manufacture of fabricated metal products, except machinery and equipment",60.2
"BGR Manufacture of computer, electronic and optical products",3.5
BGR Manufacture of electrical equipment,13.1
BGR Manufacture of machinery and equipment n.e.c.,27.4
"BGR Manufacture of motor vehicles, trailers and semi-trailers",5.1
BGR Manufacture of other transport equipment,3.7
BGR Manufacture of furniture; other manufacturing,20.4
BGR Repair and installation of machinery and equipment,7.0
"BGR Electricity, gas, steam and air conditioning supply",32537.7
"BGR Water collection, treatment and supply",24.2
"BGR Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",61.4
BGR Construction,537.6
BGR Wholesale and retail trade and repair of motor vehicles and motorcycles,31.1
"BGR Wholesale trade, except of motor vehicles and motorcycles",279.1
"BGR Retail trade, except of motor vehicles and motorcycles",77.8
BGR Land transport and transport via pipelines,3801.0
BGR Water transport,66.1
BGR Air transport,46.9
BGR Warehousing and support activities for transportation,38.8
BGR Postal and courier activities,29.0
BGR Accommodation and food service activities,55.9
BGR Publishing activities,1.4
"BGR Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",3.8
BGR Telecommunications,16.1
"BGR Computer programming, consultancy and related activities; information service activities",11.2
"BGR Financial service activities, except insurance and pension funding",20.8
"BGR Insurance, reinsurance and pension funding, except compulsory social security",2.3
BGR Activities auxiliary to financial services and insurance activities,5.9
BGR Real estate activities,20.7
BGR Legal and accounting activities; activities of head offices; management consultancy activities,22.5
BGR Architectural and engineering activities; technical testing and analysis,11.6
BGR Scientific research and development,3.8
BGR Advertising and market research,6.0
"BGR Other professional, scientific and technical activities; veterinary activities",7.5
BGR Administrative and support service activities,57.1
BGR Public administration and defence; compulsory social security,77.3
BGR Education,222.7
BGR Human health and social work activities,78.2
BGR Other service activities,36.1
BGR Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BGR Activities of extraterritorial organizations and bodies,0.0
"BRA Crop and animal production, hunting and related service activities",29638.9
BRA Forestry and logging,1240.3
BRA Fishing and aquaculture,223.9
BRA Mining and quarrying,14461.2
"BRA Manufacture of food products, beverages and tobacco products",5745.1
"BRA Manufacture of textiles, wearing apparel and leather products",3511.6
"BRA Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",812.9
BRA Manufacture of paper and paper products,3932.0
BRA Printing and reproduction of recorded media,314.5
BRA Manufacture of coke and refined petroleum products ,18051.2
BRA Manufacture of chemicals and chemical products ,16620.9
BRA Manufacture of basic pharmaceutical products and pharmaceutical preparations,83.8
BRA Manufacture of rubber and plastic products,2119.2
BRA Manufacture of other non-metallic mineral products,43219.7
BRA Manufacture of basic metals,86064.1
"BRA Manufacture of fabricated metal products, except machinery and equipment",1372.9
"BRA Manufacture of computer, electronic and optical products",284.5
BRA Manufacture of electrical equipment,853.0
BRA Manufacture of machinery and equipment n.e.c.,882.5
"BRA Manufacture of motor vehicles, trailers and semi-trailers",1740.2
BRA Manufacture of other transport equipment,238.4
BRA Manufacture of furniture; other manufacturing,1639.5
BRA Repair and installation of machinery and equipment,0.0
"BRA Electricity, gas, steam and air conditioning supply",33735.9
"BRA Water collection, treatment and supply",609.1
"BRA Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",0.0
BRA Construction,7549.6
BRA Wholesale and retail trade and repair of motor vehicles and motorcycles,2454.3
"BRA Wholesale trade, except of motor vehicles and motorcycles",5975.4
"BRA Retail trade, except of motor vehicles and motorcycles",8065.9
BRA Land transport and transport via pipelines,40026.5
BRA Water transport,8107.1
BRA Air transport,25159.7
BRA Warehousing and support activities for transportation,4600.4
BRA Postal and courier activities,0.0
BRA Accommodation and food service activities,4161.0
BRA Publishing activities,9.6
"BRA Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",12.5
BRA Telecommunications,592.4
"BRA Computer programming, consultancy and related activities; information service activities",546.0
"BRA Financial service activities, except insurance and pension funding",1033.0
"BRA Insurance, reinsurance and pension funding, except compulsory social security",0.0
BRA Activities auxiliary to financial services and insurance activities,0.0
BRA Real estate activities,302.7
BRA Legal and accounting activities; activities of head offices; management consultancy activities,1345.3
BRA Architectural and engineering activities; technical testing and analysis,500.2
BRA Scientific research and development,364.0
BRA Advertising and market research,0.0
"BRA Other professional, scientific and technical activities; veterinary activities",0.0
BRA Administrative and support service activities,3933.7
BRA Public administration and defence; compulsory social security,4680.3
BRA Education,4828.0
BRA Human health and social work activities,3258.0
BRA Other service activities,4076.3
BRA Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
BRA Activities of extraterritorial organizations and bodies,0.0
"CAN Crop and animal production, hunting and related service activities",10731.8
CAN Forestry and logging,4050.5
CAN Fishing and aquaculture,58.7
CAN Mining and quarrying,78383.6
"CAN Manufacture of food products, beverages and tobacco products",3679.5
"CAN Manufacture of textiles, wearing apparel and leather products",295.3
"CAN Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2400.8
CAN Manufacture of paper and paper products,4212.2
CAN Printing and reproduction of recorded media,610.9
CAN Manufacture of coke and refined petroleum products ,27888.1
CAN Manufacture of chemicals and chemical products ,14102.7
CAN Manufacture of basic pharmaceutical products and pharmaceutical preparations,114.1
CAN Manufacture of rubber and plastic products,3076.3
CAN Manufacture of other non-metallic mineral products,12344.3
CAN Manufacture of basic metals,24225.1
"CAN Manufacture of fabricated metal products, except machinery and equipment",1047.3
"CAN Manufacture of computer, electronic and optical products",380.3
CAN Manufacture of electrical equipment,350.7
CAN Manufacture of machinery and equipment n.e.c.,1080.6
"CAN Manufacture of motor vehicles, trailers and semi-trailers",787.6
CAN Manufacture of other transport equipment,270.7
CAN Manufacture of furniture; other manufacturing,1162.0
CAN Repair and installation of machinery and equipment,0.0
"CAN Electricity, gas, steam and air conditioning supply",98882.2
"CAN Water collection, treatment and supply",0.0
"CAN Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",667.0
CAN Construction,8878.4
CAN Wholesale and retail trade and repair of motor vehicles and motorcycles,3133.8
