Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",12406467191940.799,12406467191939.992,12406467191939.602,12406467191939.281,12406467191940.027,12406467191939.682,12406467191939.473,12406467191939.287,12406467191939.281,12406467191939.29,12406467191939.326,12406467191939.31,12406467191939.326,12406467191939.283,12406467191939.281,12406467191939.277,12406467191939.283,12406467191939.283,12406467191939.28,12406467191939.277,12406467191939.283,12406467191939.322,12406467191939.271,12406467191939.268,12406467191939.277,12406467191939.293,12406467191939.283,12406467191939.3,12406467191939.344,12406467191939.273,12406467191939.271,12406467191939.275,12406467191939.273,12406467191939.283,12406467191939.564,12406467191939.277,12406467191939.283,12406467191939.27,12406467191939.27,12406467191939.271,12406467191939.271,12406467191939.268,12406467191939.273,12406467191939.275,12406467191939.277,12406467191939.277,12406467191939.291,12406467191939.33,12406467191939.318,12406467191939.346
AUT Forestry and logging,1550286986180.464,1550286986181.6655,1550286986180.4597,1550286986180.4583,1550286986180.4607,1550286986180.4602,1550286986180.7915,1550286986180.4678,1550286986180.46,1550286986180.4585,1550286986180.4783,1550286986180.4639,1550286986180.4692,1550286986180.4597,1550286986180.4583,1550286986180.4597,1550286986180.458,1550286986180.4585,1550286986180.4587,1550286986180.4585,1550286986180.4636,1550286986180.5125,1550286986180.458,1550286986180.4587,1550286986180.4568,1550286986180.4749,1550286986180.458,1550286986180.4585,1550286986180.457,1550286986180.458,1550286986180.4563,1550286986180.457,1550286986180.4585,1550286986180.4578,1550286986180.4592,1550286986180.4592,1550286986180.458,1550286986180.4568,1550286986180.4565,1550286986180.4563,1550286986180.4563,1550286986180.4565,1550286986180.4592,1550286986180.4563,1550286986180.4568,1550286986180.458,1550286986180.4592,1550286986180.4573,1550286986180.4583,1550286986180.4568
AUT Fishing and aquaculture,419428811403.5635,419428811403.56287,419428811404.5862,419428811403.5621,419428811403.5702,419428811403.57654,419428811403.5627,419428811403.5623,419428811403.56213,419428811403.5623,419428811403.56274,419428811403.5622,419428811403.5623,419428811403.5624,419428811403.5621,419428811403.5622,419428811403.56256,419428811403.56226,419428811403.56226,419428811403.5627,419428811403.56226,419428811403.5903,419428811403.56213,419428811403.562,419428811403.5625,419428811403.56226,419428811403.56256,419428811403.56274,419428811403.56854,419428811403.5623,419428811403.5618,419428811403.5623,419428811403.5623,419428811403.5625,419428811403.57025,419428811403.5622,419428811403.5623,419428811403.562,419428811403.56213,419428811403.5623,419428811403.56213,419428811403.56195,419428811403.56213,419428811403.5621,419428811403.5624,419428811403.5622,419428811403.5626,419428811403.56335,419428811403.56335,419428811403.5629
AUT Mining and quarrying,44290259632788.0,44290259632788.29,44290259632788.09,44290259632789.13,44290259632788.016,44290259632788.01,44290259632788.12,44290259632788.03,44290259632788.0,44290259632789.03,44290259632788.21,44290259632787.97,44290259632788.08,44290259632788.24,44290259632788.95,44290259632788.37,44290259632788.14,44290259632788.26,44290259632788.195,44290259632788.12,44290259632788.15,44290259632788.13,44290259632788.13,44290259632788.01,44290259632788.0,44290259632788.1,44290259632788.08,44290259632788.08,44290259632787.97,44290259632788.07,44290259632788.03,44290259632788.19,44290259632788.0,44290259632788.06,44290259632787.99,44290259632788.0,44290259632787.984,44290259632788.0,44290259632787.97,44290259632787.95,44290259632787.96,44290259632787.99,44290259632787.99,44290259632787.984,44290259632787.97,44290259632788.0,44290259632787.99,44290259632787.97,44290259632787.984,44290259632787.96
"AUT Manufacture of food products, beverages and tobacco products",11238931103808.592,11238931103808.559,11238931103808.62,11238931103808.518,11238931103809.809,11238931103808.678,11238931103808.525,11238931103808.523,11238931103808.518,11238931103808.52,11238931103808.574,11238931103808.535,11238931103808.54,11238931103808.52,11238931103808.518,11238931103808.518,11238931103808.525,11238931103808.52,11238931103808.516,11238931103808.514,11238931103808.516,11238931103808.52,11238931103808.514,11238931103808.51,11238931103808.521,11238931103808.514,11238931103808.52,11238931103808.54,11238931103808.557,11238931103808.512,11238931103808.508,11238931103808.52,11238931103808.512,11238931103808.523,11238931103808.932,11238931103808.518,11238931103808.518,11238931103808.512,11238931103808.51,11238931103808.514,11238931103808.514,11238931103808.51,11238931103808.51,11238931103808.518,11238931103808.518,11238931103808.52,11238931103808.54,11238931103808.592,11238931103808.557,11238931103808.57
"AUT Manufacture of textiles, wearing apparel and leather products",1305360299812.134,1305360299812.1348,1305360299812.138,1305360299812.1335,1305360299812.1353,1305360299813.2202,1305360299812.1348,1305360299812.1345,1305360299812.1365,1305360299812.134,1305360299812.136,1305360299812.1335,1305360299812.1377,1305360299812.1355,1305360299812.1335,1305360299812.136,1305360299812.1365,1305360299812.1355,1305360299812.1367,1305360299812.1367,1305360299812.1392,1305360299812.15,1305360299812.133,1305360299812.132,1305360299812.134,1305360299812.1353,1305360299812.137,1305360299812.1348,1305360299812.1343,1305360299812.1343,1305360299812.1318,1305360299812.133,1305360299812.1323,1305360299812.135,1305360299812.1345,1305360299812.1338,1305360299812.1338,1305360299812.132,1305360299812.1313,1305360299812.1313,1305360299812.1313,1305360299812.1313,1305360299812.1318,1305360299812.1316,1305360299812.132,1305360299812.1338,1305360299812.1353,1305360299812.1404,1305360299812.1353,1305360299812.1465
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3707144237716.307,3707144237716.307,3707144237716.3086,3707144237716.3096,3707144237716.306,3707144237716.3096,3707144237717.4214,3707144237716.338,3707144237716.3086,3707144237716.3105,3707144237716.3057,3707144237716.302,3707144237716.308,3707144237716.312,3707144237716.31,3707144237716.3135,3707144237716.3086,3707144237716.308,3707144237716.311,3707144237716.3105,3707144237716.326,3707144237716.4897,3707144237716.31,3707144237716.311,3707144237716.3057,3707144237716.3633,3707144237716.309,3707144237716.3105,3707144237716.3066,3707144237716.3096,3707144237716.3037,3707144237716.3066,3707144237716.3115,3707144237716.308,3707144237716.308,3707144237716.31,3707144237716.308,3707144237716.3057,3707144237716.3047,3707144237716.3037,3707144237716.304,3707144237716.304,3707144237716.313,3707144237716.3037,3707144237716.3057,3707144237716.3105,3707144237716.313,3707144237716.306,3707144237716.309,3707144237716.304
AUT Manufacture of paper and paper products,4601343795651.63,4601343795651.631,4601343795651.63,4601343795651.628,4601343795651.646,4601343795651.643,4601343795651.633,4601343795652.791,4601343795651.8,4601343795651.631,4601343795651.643,4601343795651.651,4601343795651.646,4601343795651.643,4601343795651.629,4601343795651.632,4601343795651.64,4601343795651.637,4601343795651.635,4601343795651.632,4601343795651.633,4601343795651.633,4601343795651.631,4601343795651.628,4601343795651.633,4601343795651.633,4601343795651.635,4601343795651.646,4601343795651.645,4601343795651.631,4601343795651.627,4601343795651.631,4601343795651.631,4601343795651.641,4601343795651.638,4601343795651.8,4601343795651.655,4601343795651.635,4601343795651.633,4601343795651.633,4601343795651.633,4601343795651.631,4601343795651.633,4601343795651.633,4601343795651.635,4601343795651.638,4601343795651.646,4601343795651.639,4601343795651.636,4601343795651.645
AUT Printing and reproduction of recorded media,8114934148579.245,8114934148579.246,8114934148579.245,8114934148579.244,8114934148579.25,8114934148579.255,8114934148579.246,8114934148579.332,8114934148580.497,8114934148579.249,8114934148579.25,8114934148579.246,8114934148579.251,8114934148579.25,8114934148579.246,8114934148579.249,8114934148579.257,8114934148579.254,8114934148579.251,8114934148579.25,8114934148579.252,8114934148579.242,8114934148579.249,8114934148579.245,8114934148579.256,8114934148579.246,8114934148579.252,8114934148579.264,8114934148579.2705,8114934148579.25,8114934148579.242,8114934148579.247,8114934148579.252,8114934148579.271,8114934148579.255,8114934148579.543,8114934148579.35,8114934148579.265,8114934148579.26,8114934148579.261,8114934148579.265,8114934148579.259,8114934148579.256,8114934148579.262,8114934148579.264,8114934148579.262,8114934148579.278,8114934148579.25,8114934148579.257,8114934148579.266
AUT Manufacture of coke and refined petroleum products ,12944238072361.947,12944238072362.23,12944238072362.03,12944238072361.945,12944238072361.94,12944238072361.932,12944238072362.02,12944238072361.936,12944238072361.932,12944238072362.969,12944238072361.996,12944238072361.918,12944238072361.967,12944238072361.943,12944238072361.96,12944238072361.94,12944238072361.932,12944238072361.936,12944238072361.932,12944238072361.922,12944238072361.936,12944238072361.941,12944238072361.926,12944238072361.93,12944238072361.951,12944238072361.947,12944238072361.93,12944238072361.932,12944238072361.916,12944238072361.984,12944238072361.979,12944238072362.117,12944238072361.93,12944238072361.96,12944238072361.92,12944238072361.924,12944238072361.92,12944238072361.94,12944238072361.926,12944238072361.918,12944238072361.924,12944238072361.93,12944238072361.92,12944238072361.924,12944238072361.922,12944238072361.934,12944238072361.926,12944238072361.916,12944238072361.918,12944238072361.924
AUT Manufacture of chemicals and chemical products ,7458419719295.69,7458419719295.674,7458419719295.666,7458419719295.66,7458419719295.676,7458419719295.672,7458419719295.673,7458419719295.709,7458419719295.7,7458419719295.667,7458419719296.801,7458419719295.779,7458419719295.955,7458419719295.689,7458419719295.659,7458419719295.663,7458419719295.675,7458419719295.698,7458419719295.663,7458419719295.664,7458419719295.671,7458419719295.671,7458419719295.653,7458419719295.683,7458419719295.65,7458419719295.673,7458419719295.661,7458419719295.658,7458419719295.65,7458419719295.651,7458419719295.642,7458419719295.653,7458419719295.649,7458419719295.653,7458419719295.658,7458419719295.671,7458419719295.656,7458419719295.646,7458419719295.645,7458419719295.642,7458419719295.6455,7458419719295.645,7458419719295.649,7458419719295.6455,7458419719295.652,7458419719295.651,7458419719295.651,7458419719295.661,7458419719295.666,7458419719295.653
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2343822413612.5444,2343822413612.523,2343822413612.5117,2343822413612.5054,2343822413612.523,2343822413612.515,2343822413612.5093,2343822413612.5107,2343822413612.5044,2343822413612.5054,2343822413612.508,2343822413613.6235,2343822413612.511,2343822413612.5073,2343822413612.5054,2343822413612.505,2343822413612.5063,2343822413612.5044,2343822413612.503,2343822413612.5024,2343822413612.504,2343822413612.504,2343822413612.502,2343822413612.5015,2343822413612.5015,2343822413612.504,2343822413612.5034,2343822413612.5063,2343822413612.5054,2343822413612.502,2343822413612.5015,2343822413612.5024,2343822413612.502,2343822413612.5024,2343822413612.51,2343822413612.504,2343822413612.5044,2343822413612.502,2343822413612.5015,2343822413612.501,2343822413612.5024,2343822413612.502,2343822413612.502,2343822413612.5024,2343822413612.5024,2343822413612.502,2343822413612.5073,2343822413612.532,2343822413612.5293,2343822413612.5054
AUT Manufacture of rubber and plastic products,5379277130407.741,5379277130407.741,5379277130407.751,5379277130407.742,5379277130407.752,5379277130407.754,5379277130407.756,5379277130407.772,5379277130407.821,5379277130407.741,5379277130407.768,5379277130407.76,5379277130408.813,5379277130407.753,5379277130407.742,5379277130407.745,5379277130407.763,5379277130407.759,5379277130407.754,5379277130407.7705,5379277130407.759,5379277130407.771,5379277130407.739,5379277130407.745,5379277130407.738,5379277130407.764,5379277130407.768,5379277130407.748,5379277130407.743,5379277130407.75,5379277130407.733,5379277130407.74,5379277130407.74,5379277130407.754,5379277130407.743,5379277130407.769,5379277130407.744,5379277130407.737,5379277130407.734,5379277130407.734,5379277130407.737,5379277130407.735,5379277130407.742,5379277130407.735,5379277130407.739,5379277130407.741,5379277130407.742,5379277130407.741,5379277130407.745,5379277130407.741
AUT Manufacture of other non-metallic mineral products,7462128750720.185,7462128750720.185,7462128750720.184,7462128750720.192,7462128750720.196,7462128750720.185,7462128750720.209,7462128750720.185,7462128750720.18,7462128750720.196,7462128750720.194,7462128750720.191,7462128750720.188,7462128750721.428,7462128750720.193,7462128750720.219,7462128750720.192,7462128750720.192,7462128750720.191,7462128750720.203,7462128750720.196,7462128750720.203,7462128750720.196,7462128750720.209,7462128750720.183,7462128750720.293,7462128750720.201,7462128750720.192,7462128750720.183,7462128750720.188,7462128750720.175,7462128750720.184,7462128750720.191,7462128750720.184,7462128750720.1875,7462128750720.183,7462128750720.182,7462128750720.182,7462128750720.182,7462128750720.178,7462128750720.179,7462128750720.183,7462128750720.198,7462128750720.183,7462128750720.183,7462128750720.191,7462128750720.184,7462128750720.183,7462128750720.185,7462128750720.179
AUT Manufacture of basic metals,14650081466361.494,14650081466361.51,14650081466361.525,14650081466361.527,14650081466361.496,14650081466361.506,14650081466361.531,14650081466361.508,14650081466361.494,14650081466361.53,14650081466361.51,14650081466361.484,14650081466361.516,14650081466361.553,14650081466362.615,14650081466361.922,14650081466361.664,14650081466361.8,14650081466361.742,14650081466361.654,14650081466361.686,14650081466361.652,14650081466361.52,14650081466361.516,14650081466361.494,14650081466361.572,14650081466361.596,14650081466361.521,14650081466361.498,14650081466361.523,14650081466361.488,14650081466361.52,14650081466361.504,14650081466361.51,14650081466361.494,14650081466361.498,14650081466361.498,14650081466361.498,14650081466361.49,14650081466361.484,14650081466361.486,14650081466361.494,14650081466361.504,14650081466361.494,14650081466361.494,14650081466361.504,14650081466361.5,14650081466361.496,14650081466361.51,14650081466361.49
