Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",16377612552435.426,16377612552434.203,16377612552434.258,16377612552433.816,16377612552434.738,16377612552434.588,16377612552433.922,16377612552433.793,16377612552433.795,16377612552433.814,16377612552433.857,16377612552433.863,16377612552433.875,16377612552433.793,16377612552433.795,16377612552433.799,16377612552433.814,16377612552433.803,16377612552433.809,16377612552433.795,16377612552433.799,16377612552433.861,16377612552433.79,16377612552433.793,16377612552433.793,16377612552433.816,16377612552433.795,16377612552433.816,16377612552433.879,16377612552433.793,16377612552433.795,16377612552433.803,16377612552433.795,16377612552433.803,16377612552434.15,16377612552433.795,16377612552433.824,16377612552433.79,16377612552433.787,16377612552433.795,16377612552433.787,16377612552433.781,16377612552433.787,16377612552433.793,16377612552433.79,16377612552433.805,16377612552433.826,16377612552433.857,16377612552433.867,16377612552433.986
AUT Forestry and logging,1995593780654.6301,1995593780656.065,1995593780654.6252,1995593780654.6262,1995593780654.6272,1995593780654.627,1995593780655.077,1995593780654.6455,1995593780654.6284,1995593780654.626,1995593780654.6567,1995593780654.6365,1995593780654.6414,1995593780654.6245,1995593780654.624,1995593780654.6252,1995593780654.6235,1995593780654.6235,1995593780654.6245,1995593780654.6245,1995593780654.6304,1995593780654.6863,1995593780654.6248,1995593780654.6267,1995593780654.623,1995593780654.646,1995593780654.623,1995593780654.624,1995593780654.6235,1995593780654.6238,1995593780654.6235,1995593780654.6252,1995593780654.626,1995593780654.6235,1995593780654.624,1995593780654.626,1995593780654.6245,1995593780654.622,1995593780654.6228,1995593780654.6216,1995593780654.621,1995593780654.6216,1995593780654.626,1995593780654.6223,1995593780654.622,1995593780654.626,1995593780654.6252,1995593780654.623,1995593780654.626,1995593780654.6245
AUT Fishing and aquaculture,538201774948.38007,538201774948.3792,538201774949.4014,538201774948.37915,538201774948.3872,538201774948.3938,538201774948.37946,538201774948.3789,538201774948.3789,538201774948.3791,538201774948.37933,538201774948.3793,538201774948.3792,538201774948.37897,538201774948.3788,538201774948.3791,538201774948.38,538201774948.3791,538201774948.37946,538201774948.37976,538201774948.3792,538201774948.4284,538201774948.37866,538201774948.37885,538201774948.3791,538201774948.37933,538201774948.3796,538201774948.37946,538201774948.39026,538201774948.3792,538201774948.3787,538201774948.37915,538201774948.37897,538201774948.3793,538201774948.3884,538201774948.3789,538201774948.3797,538201774948.3789,538201774948.37866,538201774948.37885,538201774948.3787,538201774948.37854,538201774948.37854,538201774948.3788,538201774948.37866,538201774948.3791,538201774948.3797,538201774948.38,538201774948.3813,538201774948.38043
AUT Mining and quarrying,26951305976166.816,26951305976167.293,26951305976166.934,26951305976167.92,26951305976166.824,26951305976166.816,26951305976166.973,26951305976166.812,26951305976166.793,26951305976167.785,26951305976166.96,26951305976166.812,26951305976166.883,26951305976166.902,26951305976167.37,26951305976166.977,26951305976166.848,26951305976166.895,26951305976166.887,26951305976166.85,26951305976166.883,26951305976166.895,26951305976166.863,26951305976166.832,26951305976166.832,26951305976166.883,26951305976166.824,26951305976166.816,26951305976166.785,26951305976166.875,26951305976166.88,26951305976166.99,26951305976166.805,26951305976166.844,26951305976166.785,26951305976166.8,26951305976166.812,26951305976166.812,26951305976166.793,26951305976166.78,26951305976166.785,26951305976166.793,26951305976166.785,26951305976166.793,26951305976166.78,26951305976166.812,26951305976166.793,26951305976166.777,26951305976166.805,26951305976166.812
"AUT Manufacture of food products, beverages and tobacco products",12705983910508.488,12705983910508.434,12705983910508.488,12705983910508.416,12705983910509.705,12705983910508.627,12705983910508.414,12705983910508.406,12705983910508.408,12705983910508.416,12705983910508.455,12705983910508.445,12705983910508.426,12705983910508.406,12705983910508.404,12705983910508.412,12705983910508.424,12705983910508.414,12705983910508.416,12705983910508.408,12705983910508.412,12705983910508.43,12705983910508.404,12705983910508.408,12705983910508.416,12705983910508.414,12705983910508.414,12705983910508.43,12705983910508.455,12705983910508.4,12705983910508.406,12705983910508.414,12705983910508.406,12705983910508.416,12705983910508.828,12705983910508.408,12705983910508.426,12705983910508.406,12705983910508.404,12705983910508.414,12705983910508.408,12705983910508.4,12705983910508.404,12705983910508.414,12705983910508.406,12705983910508.42,12705983910508.441,12705983910508.482,12705983910508.467,12705983910508.508
"AUT Manufacture of textiles, wearing apparel and leather products",984125869863.5363,984125869863.5371,984125869863.5391,984125869863.5369,984125869863.5375,984125869864.5713,984125869863.5376,984125869863.5367,984125869863.5385,984125869863.5369,984125869863.5396,984125869863.5383,984125869863.5419,984125869863.5381,984125869863.5365,984125869863.5388,984125869863.5397,984125869863.5378,984125869863.5393,984125869863.5396,984125869863.5409,984125869863.5502,984125869863.5358,984125869863.536,984125869863.536,984125869863.5382,984125869863.5392,984125869863.5361,984125869863.5355,984125869863.5366,984125869863.5352,984125869863.5359,984125869863.5348,984125869863.5366,984125869863.5359,984125869863.536,984125869863.5372,984125869863.5354,984125869863.5343,984125869863.5342,984125869863.5345,984125869863.5343,984125869863.5347,984125869863.5347,984125869863.5345,984125869863.536,984125869863.5375,984125869863.5408,984125869863.5378,984125869863.545
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3596993434438.7715,3596993434438.772,3596993434438.771,3596993434438.7764,3596993434438.772,3596993434438.7715,3596993434439.8945,3596993434438.823,3596993434438.775,3596993434438.777,3596993434438.768,3596993434438.7695,3596993434438.7725,3596993434438.772,3596993434438.7725,3596993434438.7764,3596993434438.771,3596993434438.7686,3596993434438.7734,3596993434438.7725,3596993434438.787,3596993434438.9253,3596993434438.776,3596993434438.778,3596993434438.7705,3596993434438.8257,3596993434438.7705,3596993434438.7725,3596993434438.771,3596993434438.7725,3596993434438.7695,3596993434438.7734,3596993434438.776,3596993434438.7715,3596993434438.7695,3596993434438.7764,3596993434438.773,3596993434438.7695,3596993434438.7705,3596993434438.7686,3596993434438.7676,3596993434438.769,3596993434438.7773,3596993434438.7695,3596993434438.769,3596993434438.777,3596993434438.7764,3596993434438.7686,3596993434438.7754,3596993434438.7715
AUT Manufacture of paper and paper products,4512135158266.105,4512135158266.105,4512135158266.105,4512135158266.105,4512135158266.123,4512135158266.112,4512135158266.108,4512135158267.258,4512135158266.249,4512135158266.106,4512135158266.116,4512135158266.137,4512135158266.12,4512135158266.117,4512135158266.104,4512135158266.107,4512135158266.113,4512135158266.11,4512135158266.112,4512135158266.108,4512135158266.106,4512135158266.11,4512135158266.106,4512135158266.106,4512135158266.109,4512135158266.109,4512135158266.108,4512135158266.119,4512135158266.119,4512135158266.105,4512135158266.105,4512135158266.106,4512135158266.105,4512135158266.113,4512135158266.11,4512135158266.268,4512135158266.129,4512135158266.109,4512135158266.112,4512135158266.11,4512135158266.109,4512135158266.1045,4512135158266.106,4512135158266.107,4512135158266.105,4512135158266.113,4512135158266.118,4512135158266.113,4512135158266.112,4512135158266.119
AUT Printing and reproduction of recorded media,7483817237517.004,7483817237517.006,7483817237517.004,7483817237517.012,7483817237517.008,7483817237517.007,7483817237517.006,7483817237517.023,7483817237518.125,7483817237517.012,7483817237517.006,7483817237517.009,7483817237517.009,7483817237517.008,7483817237517.008,7483817237517.012,7483817237517.013,7483817237517.014,7483817237517.017,7483817237517.01,7483817237517.015,7483817237517.01,7483817237517.01,7483817237517.013,7483817237517.013,7483817237517.013,7483817237517.01,7483817237517.016,7483817237517.023,7483817237517.008,7483817237517.012,7483817237517.015,7483817237517.014,7483817237517.022,7483817237517.007,7483817237517.193,7483817237517.09,7483817237517.024,7483817237517.027,7483817237517.0205,7483817237517.025,7483817237517.022,7483817237517.015,7483817237517.024,7483817237517.016,7483817237517.022,7483817237517.026,7483817237517.009,7483817237517.019,7483817237517.021
AUT Manufacture of coke and refined petroleum products ,14158499891752.803,14158499891753.297,14158499891752.908,14158499891752.81,14158499891752.797,14158499891752.79,14158499891752.95,14158499891752.78,14158499891752.775,14158499891753.82,14158499891752.857,14158499891752.781,14158499891752.828,14158499891752.785,14158499891752.82,14158499891752.791,14158499891752.777,14158499891752.777,14158499891752.781,14158499891752.773,14158499891752.79,14158499891752.812,14158499891752.78,14158499891752.787,14158499891752.822,14158499891752.807,14158499891752.777,14158499891752.775,14158499891752.766,14158499891752.854,14158499891752.861,14158499891752.969,14158499891752.775,14158499891752.814,14158499891752.768,14158499891752.773,14158499891752.78,14158499891752.79,14158499891752.771,14158499891752.768,14158499891752.768,14158499891752.77,14158499891752.768,14158499891752.771,14158499891752.766,14158499891752.781,14158499891752.771,14158499891752.766,14158499891752.773,14158499891752.785
