Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",16521464705371.047,16521464705369.78,16521464705369.68,16521464705369.408,16521464705370.24,16521464705369.756,16521464705369.527,16521464705369.451,16521464705369.447,16521464705369.424,16521464705369.484,16521464705369.48,16521464705369.463,16521464705369.418,16521464705369.41,16521464705369.414,16521464705369.424,16521464705369.432,16521464705369.42,16521464705369.424,16521464705369.426,16521464705369.459,16521464705369.408,16521464705369.426,16521464705369.451,16521464705369.42,16521464705369.426,16521464705369.445,16521464705369.56,16521464705369.426,16521464705369.42,16521464705369.43,16521464705369.432,16521464705369.432,16521464705369.736,16521464705369.447,16521464705369.467,16521464705369.426,16521464705369.432,16521464705369.43,16521464705369.424,16521464705369.424,16521464705369.43,16521464705369.432,16521464705369.441,16521464705369.441,16521464705369.453,16521464705369.473,16521464705369.48,16521464705369.457
AUT Forestry and logging,2606191656722.518,2606191656723.561,2606191656722.519,2606191656722.5107,2606191656722.5146,2606191656722.517,2606191656722.8237,2606191656722.5957,2606191656722.5273,2606191656722.511,2606191656722.5312,2606191656722.5234,2606191656722.5234,2606191656722.511,2606191656722.5107,2606191656722.5166,2606191656722.5107,2606191656722.5137,2606191656722.5127,2606191656722.5117,2606191656722.5225,2606191656722.5806,2606191656722.5107,2606191656722.514,2606191656722.512,2606191656722.5264,2606191656722.5103,2606191656722.513,2606191656722.514,2606191656722.511,2606191656722.51,2606191656722.511,2606191656722.512,2606191656722.5117,2606191656722.5127,2606191656722.517,2606191656722.5117,2606191656722.5107,2606191656722.5093,2606191656722.5093,2606191656722.5073,2606191656722.509,2606191656722.5107,2606191656722.5093,2606191656722.5093,2606191656722.5127,2606191656722.517,2606191656722.513,2606191656722.5127,2606191656722.5117
AUT Fishing and aquaculture,625141967065.9523,625141967065.9504,625141967066.9679,625141967065.9493,625141967065.9661,625141967065.9656,625141967065.9497,625141967065.9496,625141967065.9506,625141967065.95,625141967065.9507,625141967065.9513,625141967065.9501,625141967065.9495,625141967065.9493,625141967065.9495,625141967065.95,625141967065.9502,625141967065.9496,625141967065.9497,625141967065.9497,625141967065.952,625141967065.9493,625141967065.9497,625141967065.9509,625141967065.9491,625141967065.9501,625141967065.9508,625141967065.9576,625141967065.9502,625141967065.9497,625141967065.9504,625141967065.9504,625141967065.9502,625141967065.9757,625141967065.9507,625141967065.9507,625141967065.95,625141967065.9501,625141967065.9504,625141967065.95,625141967065.9502,625141967065.9497,625141967065.9504,625141967065.9504,625141967065.9504,625141967065.9504,625141967065.951,625141967065.9517,625141967065.9508
AUT Mining and quarrying,40349252384058.22,40349252384058.33,40349252384058.34,40349252384059.45,40349252384058.23,40349252384058.23,40349252384058.28,40349252384058.23,40349252384058.266,40349252384059.11,40349252384058.34,40349252384058.23,40349252384058.29,40349252384058.41,40349252384058.945,40349252384058.56,40349252384058.38,40349252384058.57,40349252384058.51,40349252384058.36,40349252384058.47,40349252384058.43,40349252384058.38,40349252384058.31,40349252384058.43,40349252384058.28,40349252384058.24,40349252384058.24,40349252384058.2,40349252384058.42,40349252384058.34,40349252384058.43,40349252384058.22,40349252384058.305,40349252384058.2,40349252384058.2,40349252384058.2,40349252384058.23,40349252384058.195,40349252384058.17,40349252384058.164,40349252384058.17,40349252384058.195,40349252384058.195,40349252384058.19,40349252384058.234,40349252384058.21,40349252384058.23,40349252384058.23,40349252384058.2
"AUT Manufacture of food products, beverages and tobacco products",15349934865838.824,15349934865838.75,15349934865838.844,15349934865838.703,15349934865840.045,15349934865838.883,15349934865838.723,15349934865838.717,15349934865838.732,15349934865838.709,15349934865838.766,15349934865838.79,15349934865838.734,15349934865838.707,15349934865838.701,15349934865838.703,15349934865838.715,15349934865838.723,15349934865838.715,15349934865838.715,15349934865838.715,15349934865838.725,15349934865838.703,15349934865838.717,15349934865838.75,15349934865838.703,15349934865838.725,15349934865838.734,15349934865838.875,15349934865838.719,15349934865838.709,15349934865838.719,15349934865838.723,15349934865838.725,15349934865839.139,15349934865838.732,15349934865838.738,15349934865838.719,15349934865838.723,15349934865838.717,15349934865838.709,15349934865838.715,15349934865838.709,15349934865838.725,15349934865838.719,15349934865838.734,15349934865838.742,15349934865838.764,15349934865838.766,15349934865838.756
"AUT Manufacture of textiles, wearing apparel and leather products",3647246536030.487,3647246536030.4946,3647246536030.5063,3647246536030.487,3647246536030.491,3647246536031.838,3647246536030.4946,3647246536030.4976,3647246536030.5044,3647246536030.4863,3647246536030.4966,3647246536030.494,3647246536030.5063,3647246536030.49,3647246536030.4873,3647246536030.491,3647246536030.493,3647246536030.493,3647246536030.492,3647246536030.4956,3647246536030.502,3647246536030.5337,3647246536030.487,3647246536030.4873,3647246536030.515,3647246536030.4893,3647246536030.493,3647246536030.492,3647246536030.4927,3647246536030.4907,3647246536030.489,3647246536030.4907,3647246536030.4907,3647246536030.494,3647246536030.4956,3647246536030.4946,3647246536030.4927,3647246536030.4893,3647246536030.489,3647246536030.4854,3647246536030.4834,3647246536030.485,3647246536030.4854,3647246536030.4883,3647246536030.4893,3647246536030.494,3647246536030.4966,3647246536030.5146,3647246536030.496,3647246536030.5146
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",6285368517825.866,6285368517825.88,6285368517825.894,6285368517825.873,6285368517825.868,6285368517825.885,6285368517827.091,6285368517825.885,6285368517825.879,6285368517825.874,6285368517825.869,6285368517825.869,6285368517825.874,6285368517825.871,6285368517825.873,6285368517825.897,6285368517825.869,6285368517825.877,6285368517825.878,6285368517825.873,6285368517825.917,6285368517826.107,6285368517825.877,6285368517825.885,6285368517825.872,6285368517825.932,6285368517825.869,6285368517825.877,6285368517825.877,6285368517825.873,6285368517825.872,6285368517825.874,6285368517825.877,6285368517825.871,6285368517825.868,6285368517825.871,6285368517825.874,6285368517825.873,6285368517825.865,6285368517825.866,6285368517825.863,6285368517825.865,6285368517825.874,6285368517825.865,6285368517825.865,6285368517825.877,6285368517825.89,6285368517825.872,6285368517825.874,6285368517825.867
AUT Manufacture of paper and paper products,6482783153845.82,6482783153845.819,6482783153845.82,6482783153845.814,6482783153845.847,6482783153845.834,6482783153845.825,6482783153847.049,6482783153845.999,6482783153845.815,6482783153845.836,6482783153845.861,6482783153845.837,6482783153845.835,6482783153845.814,6482783153845.817,6482783153845.826,6482783153845.826,6482783153845.823,6482783153845.82,6482783153845.82,6482783153845.825,6482783153845.817,6482783153845.817,6482783153845.832,6482783153845.821,6482783153845.82,6482783153845.834,6482783153845.843,6482783153845.819,6482783153845.818,6482783153845.824,6482783153845.823,6482783153845.83,6482783153845.835,6482783153845.914,6482783153845.83,6482783153845.828,6482783153845.829,6482783153845.824,6482783153845.819,6482783153845.819,6482783153845.821,6482783153845.828,6482783153845.825,6482783153845.832,6482783153845.851,6482783153845.85,6482783153845.831,6482783153845.835
AUT Printing and reproduction of recorded media,8622542709535.396,8622542709535.404,8622542709535.402,8622542709535.4,8622542709535.405,8622542709535.416,8622542709535.404,8622542709535.456,8622542709536.457,8622542709535.4,8622542709535.413,8622542709535.418,8622542709535.409,8622542709535.407,8622542709535.4,8622542709535.4,8622542709535.408,8622542709535.415,8622542709535.414,8622542709535.409,8622542709535.404,8622542709535.406,8622542709535.403,8622542709535.406,8622542709535.429,8622542709535.405,8622542709535.408,8622542709535.429,8622542709535.448,8622542709535.407,8622542709535.404,8622542709535.409,8622542709535.414,8622542709535.429,8622542709535.412,8622542709535.466,8622542709535.443,8622542709535.423,8622542709535.433,8622542709535.415,8622542709535.409,8622542709535.41,8622542709535.41,8622542709535.42,8622542709535.419,8622542709535.434,8622542709535.443,8622542709535.42,8622542709535.428,8622542709535.435
AUT Manufacture of coke and refined petroleum products ,25574228358885.723,25574228358885.797,25574228358885.816,25574228358885.812,25574228358885.7,25574228358885.684,25574228358885.73,25574228358885.688,25574228358885.7,25574228358886.836,25574228358885.766,25574228358885.68,25574228358885.73,25574228358885.727,25574228358885.773,25574228358885.71,25574228358885.695,25574228358885.74,25574228358885.72,25574228358885.684,25574228358885.707,25574228358885.72,25574228358885.703,25574228358885.746,25574228358885.97,25574228358885.688,25574228358885.68,25574228358885.676,25574228358885.668,25574228358885.934,25574228358885.832,25574228358885.938,25574228358885.676,25574228358885.785,25574228358885.684,25574228358885.668,25574228358885.66,25574228358885.688,25574228358885.652,25574228358885.65,25574228358885.637,25574228358885.65,25574228358885.652,25574228358885.66,25574228358885.66,25574228358885.684,25574228358885.67,25574228358885.68,25574228358885.676,25574228358885.668
