Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",19704042626571.574,19704042626570.258,19704042626570.145,19704042626569.83,19704042626570.78,19704042626570.266,19704042626569.977,19704042626569.883,19704042626569.844,19704042626569.836,19704042626569.906,19704042626569.895,19704042626569.883,19704042626569.832,19704042626569.812,19704042626569.832,19704042626569.836,19704042626569.836,19704042626569.82,19704042626569.84,19704042626569.844,19704042626569.887,19704042626569.82,19704042626569.84,19704042626569.86,19704042626569.836,19704042626569.848,19704042626569.863,19704042626569.992,19704042626569.84,19704042626569.832,19704042626569.848,19704042626569.832,19704042626569.848,19704042626570.215,19704042626569.84,19704042626569.887,19704042626569.84,19704042626569.836,19704042626569.832,19704042626569.83,19704042626569.824,19704042626569.844,19704042626569.84,19704042626569.86,19704042626569.85,19704042626569.867,19704042626569.887,19704042626569.906,19704042626569.867
AUT Forestry and logging,3270533514248.5005,3270533514249.5513,3270533514248.502,3270533514248.492,3270533514248.4966,3270533514248.5015,3270533514248.857,3270533514248.5977,3270533514248.5103,3270533514248.493,3270533514248.516,3270533514248.506,3270533514248.5083,3270533514248.495,3270533514248.4907,3270533514248.502,3270533514248.4927,3270533514248.494,3270533514248.4927,3270533514248.4937,3270533514248.5093,3270533514248.5894,3270533514248.4917,3270533514248.496,3270533514248.4927,3270533514248.513,3270533514248.4917,3270533514248.4946,3270533514248.495,3270533514248.4917,3270533514248.49,3270533514248.4937,3270533514248.491,3270533514248.492,3270533514248.494,3270533514248.4966,3270533514248.493,3270533514248.494,3270533514248.4907,3270533514248.485,3270533514248.4844,3270533514248.484,3270533514248.4907,3270533514248.4907,3270533514248.4917,3270533514248.4946,3270533514248.5005,3270533514248.494,3270533514248.494,3270533514248.4917
AUT Fishing and aquaculture,619261361038.038,619261361038.036,619261361039.0537,619261361038.0352,619261361038.0509,619261361038.0524,619261361038.0356,619261361038.0356,619261361038.0355,619261361038.0355,619261361038.0361,619261361038.0366,619261361038.0358,619261361038.0354,619261361038.0348,619261361038.0355,619261361038.0355,619261361038.0355,619261361038.035,619261361038.0355,619261361038.0354,619261361038.0374,619261361038.0352,619261361038.0355,619261361038.0361,619261361038.035,619261361038.0356,619261361038.0364,619261361038.043,619261361038.0354,619261361038.0354,619261361038.036,619261361038.0356,619261361038.0358,619261361038.0618,619261361038.0358,619261361038.0359,619261361038.0356,619261361038.0356,619261361038.0355,619261361038.0354,619261361038.0353,619261361038.0354,619261361038.036,619261361038.036,619261361038.036,619261361038.0359,619261361038.0365,619261361038.037,619261361038.036
AUT Mining and quarrying,30602705141115.094,30602705141115.184,30602705141115.2,30602705141116.293,30602705141115.094,30602705141115.113,30602705141115.15,30602705141115.113,30602705141115.086,30602705141115.875,30602705141115.176,30602705141115.066,30602705141115.156,30602705141115.242,30602705141115.69,30602705141115.375,30602705141115.21,30602705141115.348,30602705141115.285,30602705141115.2,30602705141115.273,30602705141115.246,30602705141115.207,30602705141115.164,30602705141115.277,30602705141115.145,30602705141115.12,30602705141115.105,30602705141115.05,30602705141115.27,30602705141115.176,30602705141115.297,30602705141115.062,30602705141115.16,30602705141115.082,30602705141115.04,30602705141115.055,30602705141115.1,30602705141115.06,30602705141115.035,30602705141115.035,30602705141115.035,30602705141115.06,30602705141115.07,30602705141115.066,30602705141115.098,30602705141115.066,30602705141115.08,30602705141115.086,30602705141115.074
"AUT Manufacture of food products, beverages and tobacco products",15413983972215.9,15413983972215.824,15413983972215.916,15413983972215.78,15413983972217.105,15413983972215.97,15413983972215.795,15413983972215.795,15413983972215.79,15413983972215.783,15413983972215.836,15413983972215.855,15413983972215.81,15413983972215.783,15413983972215.768,15413983972215.781,15413983972215.79,15413983972215.787,15413983972215.775,15413983972215.79,15413983972215.787,15413983972215.797,15413983972215.771,15413983972215.787,15413983972215.818,15413983972215.773,15413983972215.799,15413983972215.807,15413983972215.945,15413983972215.787,15413983972215.781,15413983972215.797,15413983972215.783,15413983972215.797,15413983972216.22,15413983972215.791,15413983972215.803,15413983972215.791,15413983972215.791,15413983972215.783,15413983972215.78,15413983972215.78,15413983972215.783,15413983972215.795,15413983972215.795,15413983972215.803,15413983972215.812,15413983972215.832,15413983972215.836,15413983972215.822
"AUT Manufacture of textiles, wearing apparel and leather products",1323085637612.0332,1323085637612.0356,1323085637612.0383,1323085637612.0325,1323085637612.0344,1323085637613.127,1323085637612.0364,1323085637612.0374,1323085637612.0386,1323085637612.0332,1323085637612.036,1323085637612.0347,1323085637612.0383,1323085637612.034,1323085637612.033,1323085637612.0354,1323085637612.0356,1323085637612.0354,1323085637612.0352,1323085637612.0369,1323085637612.0383,1323085637612.0466,1323085637612.0327,1323085637612.0332,1323085637612.039,1323085637612.0347,1323085637612.0364,1323085637612.0344,1323085637612.0337,1323085637612.034,1323085637612.0327,1323085637612.0347,1323085637612.0327,1323085637612.0352,1323085637612.0356,1323085637612.0337,1323085637612.0337,1323085637612.0337,1323085637612.0337,1323085637612.0317,1323085637612.0317,1323085637612.0312,1323085637612.0325,1323085637612.033,1323085637612.0332,1323085637612.0347,1323085637612.0354,1323085637612.0398,1323085637612.0354,1323085637612.0386
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",6855834586946.05,6855834586946.067,6855834586946.082,6855834586946.059,6855834586946.048,6855834586946.073,6855834586947.309,6855834586946.074,6855834586946.059,6855834586946.058,6855834586946.055,6855834586946.049,6855834586946.0625,6855834586946.059,6855834586946.057,6855834586946.094,6855834586946.057,6855834586946.0625,6855834586946.0625,6855834586946.06,6855834586946.116,6855834586946.353,6855834586946.06,6855834586946.072,6855834586946.054,6855834586946.127,6855834586946.057,6855834586946.062,6855834586946.06,6855834586946.057,6855834586946.054,6855834586946.062,6855834586946.057,6855834586946.055,6855834586946.055,6855834586946.05,6855834586946.057,6855834586946.062,6855834586946.049,6855834586946.041,6855834586946.04,6855834586946.039,6855834586946.057,6855834586946.049,6855834586946.052,6855834586946.062,6855834586946.074,6855834586946.054,6855834586946.059,6855834586946.049
AUT Manufacture of paper and paper products,6892681483216.299,6892681483216.298,6892681483216.298,6892681483216.293,6892681483216.324,6892681483216.3125,6892681483216.304,6892681483217.543,6892681483216.484,6892681483216.294,6892681483216.3125,6892681483216.338,6892681483216.317,6892681483216.318,6892681483216.289,6892681483216.298,6892681483216.305,6892681483216.303,6892681483216.298,6892681483216.301,6892681483216.298,6892681483216.304,6892681483216.296,6892681483216.296,6892681483216.312,6892681483216.299,6892681483216.301,6892681483216.3125,6892681483216.318,6892681483216.294,6892681483216.296,6892681483216.303,6892681483216.292,6892681483216.309,6892681483216.3125,6892681483216.391,6892681483216.303,6892681483216.307,6892681483216.307,6892681483216.293,6892681483216.291,6892681483216.291,6892681483216.297,6892681483216.303,6892681483216.304,6892681483216.3125,6892681483216.328,6892681483216.33,6892681483216.304,6892681483216.313
AUT Printing and reproduction of recorded media,8997437554099.385,8997437554099.395,8997437554099.393,8997437554099.387,8997437554099.395,8997437554099.406,8997437554099.396,8997437554099.45,8997437554100.44,8997437554099.393,8997437554099.398,8997437554099.402,8997437554099.4,8997437554099.4,8997437554099.387,8997437554099.395,8997437554099.4,8997437554099.4,8997437554099.396,8997437554099.4,8997437554099.395,8997437554099.396,8997437554099.39,8997437554099.395,8997437554099.42,8997437554099.39,8997437554099.4,8997437554099.42,8997437554099.436,8997437554099.39,8997437554099.393,8997437554099.402,8997437554099.396,8997437554099.422,8997437554099.4,8997437554099.447,8997437554099.432,8997437554099.418,8997437554099.426,8997437554099.4,8997437554099.396,8997437554099.396,8997437554099.4,8997437554099.408,8997437554099.414,8997437554099.426,8997437554099.432,8997437554099.414,8997437554099.418,8997437554099.424
AUT Manufacture of coke and refined petroleum products ,23491929686345.855,23491929686345.926,23491929686345.957,23491929686345.96,23491929686345.836,23491929686345.84,23491929686345.875,23491929686345.844,23491929686345.816,23491929686346.98,23491929686345.89,23491929686345.805,23491929686345.875,23491929686345.867,23491929686345.895,23491929686345.863,23491929686345.83,23491929686345.86,23491929686345.832,23491929686345.83,23491929686345.84,23491929686345.855,23491929686345.836,23491929686345.88,23491929686346.113,23491929686345.83,23491929686345.83,23491929686345.816,23491929686345.793,23491929686346.066,23491929686345.97,23491929686346.1,23491929686345.8,23491929686345.926,23491929686345.82,23491929686345.785,23491929686345.785,23491929686345.832,23491929686345.793,23491929686345.777,23491929686345.777,23491929686345.777,23491929686345.785,23491929686345.805,23491929686345.805,23491929686345.832,23491929686345.8,23491929686345.816,23491929686345.805,23491929686345.812
AUT Manufacture of chemicals and chemical products ,15288889098884.127,15288889098884.111,15288889098884.08,15288889098884.07,15288889098884.098,15288889098884.098,15288889098884.096,15288889098884.15,15288889098884.162,15288889098884.098,15288889098885.377,15288889098884.137,15288889098884.426,15288889098884.096,15288889098884.057,15288889098884.066,15288889098884.096,15288889098884.098,15288889098884.062,15288889098884.086,15288889098884.088,15288889098884.105,15288889098884.047,15288889098884.098,15288889098884.074,15288889098884.07,15288889098884.064,15288889098884.055,15288889098884.047,15288889098884.062,15288889098884.047,15288889098884.074,15288889098884.041,15288889098884.059,15288889098884.072,15288889098884.041,15288889098884.05,15288889098884.055,15288889098884.047,15288889098884.027,15288889098884.027,15288889098884.023,15288889098884.04,15288889098884.04,15288889098884.057,15288889098884.057,15288889098884.049,15288889098884.08,15288889098884.07,15288889098884.088
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2414377277826.1885,2414377277826.157,2414377277826.1533,2414377277826.1455,2414377277826.169,2414377277826.158,2414377277826.15,2414377277826.157,2414377277826.151,2414377277826.147,2414377277826.1543,2414377277827.2427,2414377277826.155,2414377277826.147,2414377277826.144,2414377277826.145,2414377277826.146,2414377277826.146,2414377277826.144,2414377277826.146,2414377277826.146,2414377277826.148,2414377277826.144,2414377277826.1465,2414377277826.146,2414377277826.1445,2414377277826.146,2414377277826.1475,2414377277826.15,2414377277826.145,2414377277826.149,2414377277826.148,2414377277826.1455,2414377277826.1465,2414377277826.1553,2414377277826.1484,2414377277826.1523,2414377277826.146,2414377277826.1475,2414377277826.146,2414377277826.1455,2414377277826.1455,2414377277826.1465,2414377277826.1475,2414377277826.1484,2414377277826.1465,2414377277826.1514,2414377277826.176,2414377277826.1733,2414377277826.148
AUT Manufacture of rubber and plastic products,11175440322577.855,11175440322577.86,11175440322577.875,11175440322577.844,11175440322577.877,11175440322577.885,11175440322577.873,11175440322577.926,11175440322578.014,11175440322577.855,11175440322577.928,11175440322577.91,11175440322578.963,11175440322577.861,11175440322577.848,11175440322577.855,11175440322577.898,11175440322577.877,11175440322577.873,11175440322577.918,11175440322577.885,11175440322577.926,11175440322577.844,11175440322577.871,11175440322577.857,11175440322577.873,11175440322577.885,11175440322577.86,11175440322577.855,11175440322577.867,11175440322577.848,11175440322577.87,11175440322577.852,11175440322577.875,11175440322577.867,11175440322577.855,11175440322577.85,11175440322577.87,11175440322577.854,11175440322577.834,11175440322577.834,11175440322577.832,11175440322577.848,11175440322577.842,11175440322577.852,11175440322577.865,11175440322577.857,11175440322577.865,11175440322577.857,11175440322577.855
AUT Manufacture of other non-metallic mineral products,9962439459051.963,9962439459052.008,9962439459051.977,9962439459051.979,9962439459051.969,9962439459051.97,9962439459051.996,9962439459051.977,9962439459051.967,9962439459051.979,9962439459051.99,9962439459051.984,9962439459051.996,9962439459053.455,9962439459051.982,9962439459052.014,9962439459051.986,9962439459052.008,9962439459051.99,9962439459052.0,9962439459051.996,9962439459052.004,9962439459052.008,9962439459052.012,9962439459051.967,9962439459052.1,9962439459051.988,9962439459051.967,9962439459051.959,9962439459051.97,9962439459051.959,9962439459051.973,9962439459051.957,9962439459051.959,9962439459051.973,9962439459051.953,9962439459051.953,9962439459051.969,9962439459051.955,9962439459051.943,9962439459051.945,9962439459051.943,9962439459051.967,9962439459051.955,9962439459051.96,9962439459051.969,9962439459051.955,9962439459051.97,9962439459051.97,9962439459051.963
AUT Manufacture of basic metals,25036234125354.55,25036234125354.63,25036234125354.637,25036234125354.62,25036234125354.56,25036234125354.61,25036234125354.637,25036234125354.6,25036234125354.594,25036234125354.61,25036234125354.6,25036234125354.56,25036234125354.633,25036234125354.645,25036234125356.027,25036234125355.254,25036234125354.887,25036234125355.176,25036234125355.07,25036234125354.848,25036234125355.027,25036234125354.934,25036234125354.6,25036234125354.64,25036234125354.58,25036234125354.688,25036234125354.668,25036234125354.582,25036234125354.56,25036234125354.61,25036234125354.59,25036234125354.63,25036234125354.56,25036234125354.59,25036234125354.566,25036234125354.543,25036234125354.566,25036234125354.59,25036234125354.566,25036234125354.53,25036234125354.527,25036234125354.53,25036234125354.566,25036234125354.56,25036234125354.56,25036234125354.59,25036234125354.58,25036234125354.58,25036234125354.605,25036234125354.56
