Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",20525027444054.68,20525027444053.37,20525027444053.246,20525027444052.945,20525027444053.867,20525027444053.348,20525027444053.094,20525027444053.0,20525027444052.977,20525027444052.938,20525027444053.01,20525027444053.02,20525027444052.99,20525027444052.945,20525027444052.95,20525027444052.945,20525027444052.953,20525027444052.945,20525027444052.945,20525027444052.957,20525027444052.95,20525027444052.984,20525027444052.95,20525027444052.945,20525027444052.973,20525027444052.953,20525027444052.965,20525027444052.97,20525027444053.11,20525027444052.953,20525027444052.953,20525027444052.957,20525027444052.953,20525027444052.945,20525027444053.332,20525027444052.965,20525027444052.996,20525027444052.953,20525027444052.957,20525027444052.945,20525027444052.938,20525027444052.938,20525027444052.953,20525027444052.96,20525027444052.965,20525027444052.965,20525027444052.984,20525027444053.008,20525027444053.016,20525027444052.99
AUT Forestry and logging,2733559216476.5654,2733559216477.607,2733559216476.566,2733559216476.559,2733559216476.562,2733559216476.5645,2733559216476.877,2733559216476.6465,2733559216476.5757,2733559216476.558,2733559216476.577,2733559216476.5723,2733559216476.571,2733559216476.559,2733559216476.559,2733559216476.5654,2733559216476.558,2733559216476.559,2733559216476.5586,2733559216476.5586,2733559216476.571,2733559216476.631,2733559216476.561,2733559216476.561,2733559216476.558,2733559216476.575,2733559216476.5576,2733559216476.5586,2733559216476.56,2733559216476.558,2733559216476.5586,2733559216476.5586,2733559216476.5586,2733559216476.5576,2733559216476.559,2733559216476.564,2733559216476.5576,2733559216476.559,2733559216476.5566,2733559216476.5537,2733559216476.554,2733559216476.5537,2733559216476.558,2733559216476.556,2733559216476.5566,2733559216476.559,2733559216476.565,2733559216476.56,2733559216476.5586,2733559216476.558
AUT Fishing and aquaculture,655838163436.3347,655838163436.333,655838163437.3503,655838163436.3318,655838163436.3475,655838163436.3483,655838163436.3329,655838163436.3328,655838163436.3329,655838163436.332,655838163436.3329,655838163436.3336,655838163436.3324,655838163436.3322,655838163436.3318,655838163436.3322,655838163436.3323,655838163436.332,655838163436.332,655838163436.3325,655838163436.3322,655838163436.3341,655838163436.3322,655838163436.332,655838163436.333,655838163436.3318,655838163436.3323,655838163436.3328,655838163436.34,655838163436.3323,655838163436.3325,655838163436.3324,655838163436.3324,655838163436.3324,655838163436.3585,655838163436.3328,655838163436.3325,655838163436.3324,655838163436.3325,655838163436.3323,655838163436.3322,655838163436.332,655838163436.332,655838163436.3328,655838163436.3324,655838163436.3326,655838163436.3328,655838163436.3333,655838163436.3336,655838163436.3331
AUT Mining and quarrying,27977962416960.88,27977962416960.953,27977962416960.96,27977962416962.047,27977962416960.87,27977962416960.87,27977962416960.934,27977962416960.914,27977962416960.89,27977962416961.56,27977962416960.945,27977962416960.867,27977962416960.914,27977962416960.984,27977962416961.39,27977962416961.137,27977962416960.984,27977962416961.1,27977962416961.062,27977962416960.984,27977962416961.04,27977962416961.01,27977962416960.992,27977962416960.93,27977962416961.035,27977962416960.918,27977962416960.91,27977962416960.867,27977962416960.836,27977962416961.04,27977962416960.977,27977962416961.03,27977962416960.86,27977962416960.926,27977962416960.85,27977962416960.84,27977962416960.848,27977962416960.88,27977962416960.844,27977962416960.812,27977962416960.82,27977962416960.816,27977962416960.84,27977962416960.85,27977962416960.84,27977962416960.867,27977962416960.863,27977962416960.867,27977962416960.855,27977962416960.85
"AUT Manufacture of food products, beverages and tobacco products",16888374041124.377,16888374041124.297,16888374041124.389,16888374041124.248,16888374041125.59,16888374041124.434,16888374041124.28,16888374041124.28,16888374041124.273,16888374041124.252,16888374041124.303,16888374041124.336,16888374041124.273,16888374041124.252,16888374041124.25,16888374041124.252,16888374041124.258,16888374041124.252,16888374041124.25,16888374041124.26,16888374041124.256,16888374041124.26,16888374041124.256,16888374041124.252,16888374041124.291,16888374041124.244,16888374041124.266,16888374041124.273,16888374041124.426,16888374041124.258,16888374041124.26,16888374041124.258,16888374041124.258,16888374041124.264,16888374041124.707,16888374041124.266,16888374041124.275,16888374041124.264,16888374041124.271,16888374041124.256,16888374041124.25,16888374041124.248,16888374041124.25,16888374041124.268,16888374041124.26,16888374041124.273,16888374041124.291,16888374041124.312,16888374041124.31,16888374041124.3
"AUT Manufacture of textiles, wearing apparel and leather products",3293746261088.2,3293746261088.2075,3293746261088.216,3293746261088.2017,3293746261088.2036,3293746261089.51,3293746261088.209,3293746261088.212,3293746261088.2153,3293746261088.201,3293746261088.206,3293746261088.206,3293746261088.2163,3293746261088.203,3293746261088.2017,3293746261088.206,3293746261088.206,3293746261088.2056,3293746261088.204,3293746261088.209,3293746261088.214,3293746261088.2393,3293746261088.204,3293746261088.2,3293746261088.2227,3293746261088.203,3293746261088.207,3293746261088.2036,3293746261088.202,3293746261088.2036,3293746261088.2056,3293746261088.2036,3293746261088.203,3293746261088.2056,3293746261088.207,3293746261088.205,3293746261088.204,3293746261088.2036,3293746261088.2036,3293746261088.1978,3293746261088.1987,3293746261088.1973,3293746261088.1997,3293746261088.2017,3293746261088.201,3293746261088.2056,3293746261088.2095,3293746261088.2256,3293746261088.2075,3293746261088.224
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",6568616158686.241,6568616158686.256,6568616158686.268,6568616158686.251,6568616158686.242,6568616158686.259,6568616158687.485,6568616158686.268,6568616158686.255,6568616158686.25,6568616158686.241,6568616158686.246,6568616158686.249,6568616158686.246,6568616158686.251,6568616158686.276,6568616158686.244,6568616158686.249,6568616158686.251,6568616158686.249,6568616158686.296,6568616158686.495,6568616158686.259,6568616158686.26,6568616158686.245,6568616158686.311,6568616158686.245,6568616158686.249,6568616158686.249,6568616158686.249,6568616158686.251,6568616158686.249,6568616158686.251,6568616158686.242,6568616158686.242,6568616158686.245,6568616158686.245,6568616158686.25,6568616158686.241,6568616158686.234,6568616158686.235,6568616158686.234,6568616158686.249,6568616158686.241,6568616158686.24,6568616158686.25,6568616158686.267,6568616158686.246,6568616158686.249,6568616158686.24
AUT Manufacture of paper and paper products,6788378525315.934,6788378525315.931,6788378525315.933,6788378525315.931,6788378525315.958,6788378525315.946,6788378525315.942,6788378525317.179,6788378525316.121,6788378525315.927,6788378525315.946,6788378525315.9795,6788378525315.951,6788378525315.952,6788378525315.931,6788378525315.933,6788378525315.939,6788378525315.937,6788378525315.933,6788378525315.936,6788378525315.936,6788378525315.9375,6788378525315.936,6788378525315.929,6788378525315.943,6788378525315.936,6788378525315.937,6788378525315.943,6788378525315.952,6788378525315.932,6788378525315.933,6788378525315.934,6788378525315.933,6788378525315.941,6788378525315.948,6788378525316.029,6788378525315.937,6788378525315.939,6788378525315.942,6788378525315.928,6788378525315.928,6788378525315.928,6788378525315.931,6788378525315.938,6788378525315.936,6788378525315.944,6788378525315.963,6788378525315.963,6788378525315.939,6788378525315.947
AUT Printing and reproduction of recorded media,8731190034505.519,8731190034505.523,8731190034505.519,8731190034505.523,8731190034505.521,8731190034505.531,8731190034505.529,8731190034505.583,8731190034506.575,8731190034505.52,8731190034505.527,8731190034505.536,8731190034505.527,8731190034505.526,8731190034505.523,8731190034505.523,8731190034505.529,8731190034505.527,8731190034505.528,8731190034505.53,8731190034505.525,8731190034505.525,8731190034505.531,8731190034505.523,8731190034505.546,8731190034505.524,8731190034505.529,8731190034505.546,8731190034505.562,8731190034505.524,8731190034505.528,8731190034505.524,8731190034505.53,8731190034505.547,8731190034505.532,8731190034505.579,8731190034505.56,8731190034505.548,8731190034505.553,8731190034505.529,8731190034505.529,8731190034505.529,8731190034505.531,8731190034505.541,8731190034505.538,8731190034505.552,8731190034505.563,8731190034505.541,8731190034505.544,8731190034505.553
AUT Manufacture of coke and refined petroleum products ,25069481270481.21,25069481270481.285,25069481270481.305,25069481270481.324,25069481270481.188,25069481270481.17,25069481270481.24,25069481270481.21,25069481270481.188,25069481270482.344,25069481270481.242,25069481270481.168,25069481270481.215,25069481270481.22,25069481270481.26,25069481270481.215,25069481270481.18,25069481270481.203,25069481270481.195,25069481270481.184,25069481270481.188,25069481270481.195,25069481270481.21,25069481270481.234,25069481270481.473,25069481270481.188,25069481270481.18,25069481270481.16,25069481270481.145,25069481270481.44,25069481270481.344,25069481270481.434,25069481270481.17,25069481270481.28,25069481270481.16,25069481270481.15,25069481270481.145,25069481270481.195,25069481270481.15,25069481270481.125,25069481270481.133,25069481270481.133,25069481270481.133,25069481270481.164,25069481270481.15,25069481270481.184,25069481270481.164,25069481270481.168,25069481270481.15,25069481270481.16
