Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",15973447718393.188,15973447718391.936,15973447718391.826,15973447718391.553,15973447718392.367,15973447718391.893,15973447718391.654,15973447718391.596,15973447718391.582,15973447718391.547,15973447718391.61,15973447718391.617,15973447718391.6,15973447718391.55,15973447718391.55,15973447718391.562,15973447718391.55,15973447718391.557,15973447718391.557,15973447718391.566,15973447718391.572,15973447718391.604,15973447718391.545,15973447718391.568,15973447718391.578,15973447718391.557,15973447718391.566,15973447718391.572,15973447718391.691,15973447718391.553,15973447718391.547,15973447718391.562,15973447718391.553,15973447718391.56,15973447718391.871,15973447718391.56,15973447718391.596,15973447718391.55,15973447718391.557,15973447718391.55,15973447718391.553,15973447718391.547,15973447718391.557,15973447718391.562,15973447718391.572,15973447718391.568,15973447718391.59,15973447718391.605,15973447718391.611,15973447718391.594
AUT Forestry and logging,2107138050025.9678,2107138050027.008,2107138050025.9692,2107138050025.9626,2107138050025.9648,2107138050025.9666,2107138050026.245,2107138050026.0366,2107138050025.9756,2107138050025.9614,2107138050025.9785,2107138050025.9736,2107138050025.9731,2107138050025.9624,2107138050025.963,2107138050025.969,2107138050025.9607,2107138050025.963,2107138050025.9634,2107138050025.9631,2107138050025.9739,2107138050026.0273,2107138050025.9622,2107138050025.9656,2107138050025.9614,2107138050025.975,2107138050025.9612,2107138050025.963,2107138050025.9644,2107138050025.962,2107138050025.9602,2107138050025.963,2107138050025.9614,2107138050025.9614,2107138050025.9631,2107138050025.9648,2107138050025.963,2107138050025.9612,2107138050025.96,2107138050025.9583,2107138050025.959,2107138050025.9585,2107138050025.9607,2107138050025.96,2107138050025.9607,2107138050025.9626,2107138050025.9675,2107138050025.9631,2107138050025.9624,2107138050025.9622
AUT Fishing and aquaculture,526051980557.40326,526051980557.40204,526051980558.41785,526051980557.4011,526051980557.41516,526051980557.4151,526051980557.40125,526051980557.40155,526051980557.4018,526051980557.40094,526051980557.40173,526051980557.4026,526051980557.40173,526051980557.4011,526051980557.40094,526051980557.4015,526051980557.40094,526051980557.40125,526051980557.40125,526051980557.4016,526051980557.4014,526051980557.4038,526051980557.4008,526051980557.4015,526051980557.40186,526051980557.4008,526051980557.4014,526051980557.40173,526051980557.40796,526051980557.4012,526051980557.4012,526051980557.4017,526051980557.40137,526051980557.4015,526051980557.4239,526051980557.4016,526051980557.40173,526051980557.4012,526051980557.4014,526051980557.40125,526051980557.4013,526051980557.40125,526051980557.401,526051980557.40186,526051980557.40155,526051980557.40173,526051980557.402,526051980557.4023,526051980557.4025,526051980557.4023
AUT Mining and quarrying,47823072200797.45,47823072200797.555,47823072200797.58,47823072200798.82,47823072200797.44,47823072200797.45,47823072200797.51,47823072200797.49,47823072200797.47,47823072200798.52,47823072200797.6,47823072200797.47,47823072200797.53,47823072200797.74,47823072200798.414,47823072200797.85,47823072200797.555,47823072200797.79,47823072200797.73,47823072200797.59,47823072200797.71,47823072200797.67,47823072200797.7,47823072200797.555,47823072200797.66,47823072200797.49,47823072200797.5,47823072200797.48,47823072200797.42,47823072200797.67,47823072200797.55,47823072200797.68,47823072200797.41,47823072200797.516,47823072200797.414,47823072200797.375,47823072200797.414,47823072200797.44,47823072200797.41,47823072200797.37,47823072200797.37,47823072200797.37,47823072200797.38,47823072200797.43,47823072200797.41,47823072200797.42,47823072200797.44,47823072200797.45,47823072200797.414,47823072200797.44
"AUT Manufacture of food products, beverages and tobacco products",14877256292173.064,14877256292172.998,14877256292173.094,14877256292172.955,14877256292174.287,14877256292173.125,14877256292172.96,14877256292172.975,14877256292172.977,14877256292172.955,14877256292172.998,14877256292173.04,14877256292172.986,14877256292172.955,14877256292172.953,14877256292172.967,14877256292172.951,14877256292172.96,14877256292172.96,14877256292172.97,14877256292172.969,14877256292172.982,14877256292172.945,14877256292172.97,14877256292172.99,14877256292172.943,14877256292172.97,14877256292172.977,14877256292173.123,14877256292172.959,14877256292172.953,14877256292172.967,14877256292172.959,14877256292172.963,14877256292173.383,14877256292172.967,14877256292172.979,14877256292172.959,14877256292172.963,14877256292172.955,14877256292172.959,14877256292172.953,14877256292172.953,14877256292172.97,14877256292172.967,14877256292172.977,14877256292172.998,14877256292173.01,14877256292173.008,14877256292173.006
"AUT Manufacture of textiles, wearing apparel and leather products",4160948761488.1187,4160948761488.1284,4160948761488.1436,4160948761488.1196,4160948761488.123,4160948761489.527,4160948761488.1265,4160948761488.132,4160948761488.1387,4160948761488.118,4160948761488.1265,4160948761488.1265,4160948761488.142,4160948761488.122,4160948761488.121,4160948761488.1294,4160948761488.1235,4160948761488.1245,4160948761488.125,4160948761488.13,4160948761488.14,4160948761488.183,4160948761488.118,4160948761488.121,4160948761488.1514,4160948761488.1216,4160948761488.127,4160948761488.123,4160948761488.125,4160948761488.123,4160948761488.1196,4160948761488.1245,4160948761488.1196,4160948761488.127,4160948761488.1284,4160948761488.1245,4160948761488.1235,4160948761488.1196,4160948761488.121,4160948761488.1147,4160948761488.116,4160948761488.115,4160948761488.116,4160948761488.12,4160948761488.12,4160948761488.1265,4160948761488.13,4160948761488.1504,4160948761488.1284,4160948761488.153
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5547797900660.521,5547797900660.538,5547797900660.549,5547797900660.532,5547797900660.521,5547797900660.538,5547797900661.732,5547797900660.542,5547797900660.533,5547797900660.53,5547797900660.524,5547797900660.526,5547797900660.531,5547797900660.527,5547797900660.532,5547797900660.559,5547797900660.523,5547797900660.531,5547797900660.535,5547797900660.531,5547797900660.577,5547797900660.766,5547797900660.531,5547797900660.543,5547797900660.524,5547797900660.583,5547797900660.526,5547797900660.531,5547797900660.533,5547797900660.529,5547797900660.526,5547797900660.531,5547797900660.529,5547797900660.525,5547797900660.526,5547797900660.521,5547797900660.531,5547797900660.527,5547797900660.5205,5547797900660.517,5547797900660.52,5547797900660.519,5547797900660.526,5547797900660.521,5547797900660.523,5547797900660.53,5547797900660.544,5547797900660.525,5547797900660.529,5547797900660.524
AUT Manufacture of paper and paper products,6189106623381.361,6189106623381.358,6189106623381.361,6189106623381.357,6189106623381.386,6189106623381.374,6189106623381.363,6189106623382.591,6189106623381.538,6189106623381.356,6189106623381.372,6189106623381.402,6189106623381.379,6189106623381.375,6189106623381.358,6189106623381.362,6189106623381.364,6189106623381.365,6189106623381.364,6189106623381.363,6189106623381.365,6189106623381.369,6189106623381.358,6189106623381.361,6189106623381.369,6189106623381.362,6189106623381.363,6189106623381.372,6189106623381.38,6189106623381.358,6189106623381.357,6189106623381.365,6189106623381.357,6189106623381.369,6189106623381.375,6189106623381.445,6189106623381.365,6189106623381.364,6189106623381.365,6189106623381.356,6189106623381.357,6189106623381.3545,6189106623381.357,6189106623381.365,6189106623381.363,6189106623381.37,6189106623381.389,6189106623381.388,6189106623381.368,6189106623381.374
AUT Printing and reproduction of recorded media,8112998436429.761,8112998436429.767,8112998436429.766,8112998436429.765,8112998436429.765,8112998436429.775,8112998436429.765,8112998436429.817,8112998436430.815,8112998436429.761,8112998436429.769,8112998436429.779,8112998436429.772,8112998436429.77,8112998436429.765,8112998436429.769,8112998436429.768,8112998436429.772,8112998436429.775,8112998436429.772,8112998436429.772,8112998436429.772,8112998436429.764,8112998436429.769,8112998436429.785,8112998436429.766,8112998436429.773,8112998436429.786,8112998436429.809,8112998436429.766,8112998436429.764,8112998436429.773,8112998436429.769,8112998436429.788,8112998436429.774,8112998436429.815,8112998436429.803,8112998436429.781,8112998436429.789,8112998436429.77,8112998436429.77,8112998436429.767,8112998436429.77,8112998436429.781,8112998436429.778,8112998436429.789,8112998436429.804,8112998436429.778,8112998436429.787,8112998436429.796
AUT Manufacture of coke and refined petroleum products ,22859766696843.758,22859766696843.832,22859766696843.848,22859766696843.86,22859766696843.746,22859766696843.727,22859766696843.773,22859766696843.75,22859766696843.734,22859766696844.85,22859766696843.79,22859766696843.734,22859766696843.77,22859766696843.777,22859766696843.832,22859766696843.777,22859766696843.715,22859766696843.766,22859766696843.754,22859766696843.74,22859766696843.754,22859766696843.766,22859766696843.754,22859766696843.79,22859766696843.97,22859766696843.727,22859766696843.74,22859766696843.723,22859766696843.72,22859766696843.95,22859766696843.855,22859766696843.957,22859766696843.715,22859766696843.816,22859766696843.72,22859766696843.695,22859766696843.71,22859766696843.74,22859766696843.707,22859766696843.688,22859766696843.695,22859766696843.695,22859766696843.688,22859766696843.723,22859766696843.715,22859766696843.727,22859766696843.727,22859766696843.734,22859766696843.71,22859766696843.727
