Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",13536790539696.61,13536790539695.549,13536790539695.334,13536790539695.025,13536790539695.822,13536790539695.414,13536790539695.166,13536790539695.043,13536790539695.033,13536790539695.027,13536790539695.076,13536790539695.07,13536790539695.07,13536790539695.021,13536790539695.02,13536790539695.021,13536790539695.027,13536790539695.02,13536790539695.031,13536790539695.021,13536790539695.033,13536790539695.07,13536790539695.014,13536790539695.021,13536790539695.027,13536790539695.025,13536790539695.027,13536790539695.037,13536790539695.123,13536790539695.021,13536790539695.016,13536790539695.027,13536790539695.02,13536790539695.025,13536790539695.334,13536790539695.027,13536790539695.049,13536790539695.014,13536790539695.021,13536790539695.01,13536790539695.014,13536790539695.02,13536790539695.016,13536790539695.027,13536790539695.033,13536790539695.027,13536790539695.04,13536790539695.076,13536790539695.07,13536790539695.064
AUT Forestry and logging,1606744620535.6887,1606744620536.7937,1606744620535.686,1606744620535.6833,1606744620535.685,1606744620535.686,1606744620535.991,1606744620535.7202,1606744620535.6897,1606744620535.6843,1606744620535.7014,1606744620535.6907,1606744620535.694,1606744620535.6843,1606744620535.6824,1606744620535.686,1606744620535.6833,1606744620535.6824,1606744620535.6836,1606744620535.6836,1606744620535.691,1606744620535.7405,1606744620535.6824,1606744620535.6848,1606744620535.6816,1606744620535.697,1606744620535.6826,1606744620535.6826,1606744620535.6833,1606744620535.6826,1606744620535.6816,1606744620535.6836,1606744620535.6826,1606744620535.6814,1606744620535.683,1606744620535.685,1606744620535.6826,1606744620535.6814,1606744620535.6816,1606744620535.6807,1606744620535.6812,1606744620535.6814,1606744620535.683,1606744620535.6814,1606744620535.6814,1606744620535.6826,1606744620535.6843,1606744620535.6826,1606744620535.6833,1606744620535.6816
AUT Fishing and aquaculture,437822593293.00214,437822593293.00134,437822593294.0217,437822593293.0007,437822593293.0107,437822593293.0149,437822593293.001,437822593293.0009,437822593293.00104,437822593293.00073,437822593293.0014,437822593293.0012,437822593293.0011,437822593293.0008,437822593293.00055,437822593293.0008,437822593293.00085,437822593293.00055,437822593293.00085,437822593293.0009,437822593293.001,437822593293.0172,437822593293.0003,437822593293.00055,437822593293.0009,437822593293.0005,437822593293.0009,437822593293.00116,437822593293.0073,437822593293.0009,437822593293.0007,437822593293.00104,437822593293.00073,437822593293.00085,437822593293.0145,437822593293.00104,437822593293.00116,437822593293.0005,437822593293.0008,437822593293.0004,437822593293.0006,437822593293.0007,437822593293.00055,437822593293.00073,437822593293.00085,437822593293.0008,437822593293.0011,437822593293.0019,437822593293.0018,437822593293.0012
AUT Mining and quarrying,49169637830332.83,49169637830333.03,49169637830332.94,49169637830334.07,49169637830332.83,49169637830332.83,49169637830332.92,49169637830332.87,49169637830332.85,49169637830333.92,49169637830333.05,49169637830332.836,49169637830332.94,49169637830333.15,49169637830333.82,49169637830333.28,49169637830333.016,49169637830333.17,49169637830333.12,49169637830332.984,49169637830333.08,49169637830333.04,49169637830333.02,49169637830332.92,49169637830332.89,49169637830332.94,49169637830332.914,49169637830332.9,49169637830332.83,49169637830332.95,49169637830332.92,49169637830333.055,49169637830332.82,49169637830332.89,49169637830332.81,49169637830332.82,49169637830332.81,49169637830332.82,49169637830332.83,49169637830332.766,49169637830332.79,49169637830332.83,49169637830332.83,49169637830332.81,49169637830332.81,49169637830332.82,49169637830332.78,49169637830332.83,49169637830332.83,49169637830332.78
"AUT Manufacture of food products, beverages and tobacco products",12100512784549.768,12100512784549.715,12100512784549.787,12100512784549.678,12100512784550.979,12100512784549.842,12100512784549.686,12100512784549.684,12100512784549.684,12100512784549.684,12100512784549.729,12100512784549.717,12100512784549.701,12100512784549.678,12100512784549.674,12100512784549.676,12100512784549.684,12100512784549.676,12100512784549.682,12100512784549.676,12100512784549.684,12100512784549.691,12100512784549.666,12100512784549.674,12100512784549.688,12100512784549.668,12100512784549.682,12100512784549.695,12100512784549.766,12100512784549.678,12100512784549.674,12100512784549.684,12100512784549.674,12100512784549.682,12100512784550.1,12100512784549.684,12100512784549.691,12100512784549.67,12100512784549.678,12100512784549.67,12100512784549.674,12100512784549.678,12100512784549.67,12100512784549.682,12100512784549.682,12100512784549.686,12100512784549.7,12100512784549.744,12100512784549.717,12100512784549.717
"AUT Manufacture of textiles, wearing apparel and leather products",1538959970023.508,1538959970023.5107,1538959970023.5137,1538959970023.5085,1538959970023.509,1538959970024.6377,1538959970023.51,1538959970023.5105,1538959970023.5142,1538959970023.5083,1538959970023.5115,1538959970023.509,1538959970023.5146,1538959970023.5105,1538959970023.5083,1538959970023.5112,1538959970023.511,1538959970023.51,1538959970023.5115,1538959970023.512,1538959970023.5156,1538959970023.53,1538959970023.5068,1538959970023.5073,1538959970023.511,1538959970023.5093,1538959970023.5122,1538959970023.509,1538959970023.51,1538959970023.5093,1538959970023.5073,1538959970023.5083,1538959970023.507,1538959970023.5093,1538959970023.5098,1538959970023.5093,1538959970023.5098,1538959970023.507,1538959970023.507,1538959970023.5056,1538959970023.5063,1538959970023.5066,1538959970023.5063,1538959970023.5063,1538959970023.5068,1538959970023.5085,1538959970023.5103,1538959970023.5176,1538959970023.5107,1538959970023.5195
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3993381152537.0312,3993381152537.0386,3993381152537.0396,3993381152537.036,3993381152537.0303,3993381152537.0386,3993381152538.181,3993381152537.055,3993381152537.0366,3993381152537.0376,3993381152537.0317,3993381152537.0303,3993381152537.0356,3993381152537.038,3993381152537.0347,3993381152537.047,3993381152537.0337,3993381152537.032,3993381152537.0376,3993381152537.0356,3993381152537.062,3993381152537.232,3993381152537.0356,3993381152537.0425,3993381152537.0312,3993381152537.0864,3993381152537.034,3993381152537.035,3993381152537.035,3993381152537.035,3993381152537.032,3993381152537.036,3993381152537.0366,3993381152537.0317,3993381152537.0312,3993381152537.0327,3993381152537.0347,3993381152537.0317,3993381152537.0317,3993381152537.0283,3993381152537.031,3993381152537.0312,3993381152537.0386,3993381152537.0303,3993381152537.031,3993381152537.0356,3993381152537.039,3993381152537.0337,3993381152537.035,3993381152537.03
AUT Manufacture of paper and paper products,4674838603364.944,4674838603364.945,4674838603364.943,4674838603364.943,4674838603364.962,4674838603364.957,4674838603364.947,4674838603366.131,4674838603365.114,4674838603364.943,4674838603364.958,4674838603364.973,4674838603364.963,4674838603364.959,4674838603364.942,4674838603364.947,4674838603364.953,4674838603364.949,4674838603364.95,4674838603364.944,4674838603364.949,4674838603364.951,4674838603364.942,4674838603364.943,4674838603364.949,4674838603364.946,4674838603364.947,4674838603364.957,4674838603364.962,4674838603364.945,4674838603364.944,4674838603364.947,4674838603364.942,4674838603364.953,4674838603364.954,4674838603365.065,4674838603364.964,4674838603364.947,4674838603364.95,4674838603364.944,4674838603364.947,4674838603364.946,4674838603364.944,4674838603364.947,4674838603364.946,4674838603364.953,4674838603364.963,4674838603364.959,4674838603364.951,4674838603364.959
AUT Printing and reproduction of recorded media,7395064719848.848,7395064719848.854,7395064719848.849,7395064719848.8545,7395064719848.853,7395064719848.86,7395064719848.854,7395064719848.921,7395064719850.0205,7395064719848.8545,7395064719848.858,7395064719848.861,7395064719848.86,7395064719848.861,7395064719848.852,7395064719848.855,7395064719848.861,7395064719848.857,7395064719848.862,7395064719848.857,7395064719848.86,7395064719848.855,7395064719848.852,7395064719848.855,7395064719848.865,7395064719848.852,7395064719848.86,7395064719848.871,7395064719848.886,7395064719848.858,7395064719848.855,7395064719848.858,7395064719848.858,7395064719848.873,7395064719848.86,7395064719849.013,7395064719848.936,7395064719848.868,7395064719848.876,7395064719848.865,7395064719848.873,7395064719848.867,7395064719848.861,7395064719848.871,7395064719848.868,7395064719848.873,7395064719848.885,7395064719848.864,7395064719848.871,7395064719848.879
AUT Manufacture of coke and refined petroleum products ,14783226082700.229,14783226082700.395,14783226082700.312,14783226082700.246,14783226082700.213,14783226082700.207,14783226082700.266,14783226082700.215,14783226082700.209,14783226082701.268,14783226082700.275,14783226082700.201,14783226082700.25,14783226082700.232,14783226082700.25,14783226082700.229,14783226082700.207,14783226082700.213,14783226082700.219,14783226082700.197,14783226082700.223,14783226082700.223,14783226082700.203,14783226082700.225,14783226082700.268,14783226082700.215,14783226082700.207,14783226082700.201,14783226082700.195,14783226082700.307,14783226082700.28,14783226082700.412,14783226082700.193,14783226082700.248,14783226082700.2,14783226082700.195,14783226082700.197,14783226082700.21,14783226082700.201,14783226082700.186,14783226082700.193,14783226082700.201,14783226082700.191,14783226082700.195,14783226082700.195,14783226082700.203,14783226082700.191,14783226082700.197,14783226082700.19,14783226082700.193
