Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",12275104991715.826,12275104991714.857,12275104991714.594,12275104991714.295,12275104991715.031,12275104991714.672,12275104991714.434,12275104991714.3,12275104991714.295,12275104991714.283,12275104991714.334,12275104991714.334,12275104991714.334,12275104991714.283,12275104991714.291,12275104991714.287,12275104991714.295,12275104991714.283,12275104991714.287,12275104991714.281,12275104991714.291,12275104991714.334,12275104991714.281,12275104991714.287,12275104991714.293,12275104991714.295,12275104991714.29,12275104991714.303,12275104991714.365,12275104991714.283,12275104991714.281,12275104991714.291,12275104991714.28,12275104991714.291,12275104991714.578,12275104991714.29,12275104991714.3,12275104991714.28,12275104991714.283,12275104991714.283,12275104991714.281,12275104991714.28,12275104991714.28,12275104991714.295,12275104991714.295,12275104991714.291,12275104991714.309,12275104991714.348,12275104991714.336,12275104991714.346
AUT Forestry and logging,1410734242631.3584,1410734242632.495,1410734242631.3535,1410734242631.3525,1410734242631.3545,1410734242631.3547,1410734242631.6555,1410734242631.3743,1410734242631.3567,1410734242631.3518,1410734242631.37,1410734242631.3594,1410734242631.3625,1410734242631.3525,1410734242631.3528,1410734242631.3538,1410734242631.3523,1410734242631.3513,1410734242631.3523,1410734242631.3523,1410734242631.3572,1410734242631.4055,1410734242631.3523,1410734242631.3542,1410734242631.3513,1410734242631.3665,1410734242631.3516,1410734242631.3523,1410734242631.3523,1410734242631.3518,1410734242631.3508,1410734242631.3516,1410734242631.3518,1410734242631.351,1410734242631.3523,1410734242631.3538,1410734242631.3523,1410734242631.3503,1410734242631.3503,1410734242631.3499,1410734242631.3499,1410734242631.3499,1410734242631.3523,1410734242631.351,1410734242631.3508,1410734242631.3525,1410734242631.3533,1410734242631.3525,1410734242631.3533,1410734242631.3513
AUT Fishing and aquaculture,419582114851.1182,419582114851.11725,419582114852.13916,419582114851.11676,419582114851.1257,419582114851.1309,419582114851.1168,419582114851.1167,419582114851.1169,419582114851.1165,419582114851.1172,419582114851.1171,419582114851.11694,419582114851.1167,419582114851.1167,419582114851.11664,419582114851.117,419582114851.1166,419582114851.11676,419582114851.11694,419582114851.1167,419582114851.1391,419582114851.11646,419582114851.1165,419582114851.11694,419582114851.11664,419582114851.1169,419582114851.11694,419582114851.1229,419582114851.11664,419582114851.1166,419582114851.1169,419582114851.1165,419582114851.1168,419582114851.12756,419582114851.1167,419582114851.117,419582114851.1164,419582114851.1166,419582114851.1166,419582114851.1165,419582114851.1164,419582114851.1164,419582114851.1168,419582114851.1167,419582114851.11676,419582114851.11725,419582114851.11804,419582114851.11804,419582114851.11743
AUT Mining and quarrying,43649105778643.07,43649105778643.266,43649105778643.13,43649105778644.23,43649105778643.03,43649105778643.05,43649105778643.12,43649105778643.07,43649105778643.06,43649105778644.03,43649105778643.24,43649105778643.06,43649105778643.14,43649105778643.28,43649105778644.0,43649105778643.43,43649105778643.195,43649105778643.3,43649105778643.26,43649105778643.14,43649105778643.21,43649105778643.21,43649105778643.195,43649105778643.09,43649105778643.09,43649105778643.15,43649105778643.086,43649105778643.11,43649105778643.0,43649105778643.12,43649105778643.125,43649105778643.266,43649105778643.03,43649105778643.08,43649105778643.016,43649105778643.016,43649105778643.02,43649105778643.02,43649105778643.016,43649105778642.984,43649105778642.984,43649105778643.016,43649105778643.016,43649105778643.06,43649105778643.02,43649105778643.055,43649105778643.05,43649105778643.055,43649105778643.07,43649105778643.02
"AUT Manufacture of food products, beverages and tobacco products",12083671316000.182,12083671316000.125,12083671316000.197,12083671316000.092,12083671316001.398,12083671316000.26,12083671316000.088,12083671316000.094,12083671316000.094,12083671316000.082,12083671316000.143,12083671316000.125,12083671316000.111,12083671316000.086,12083671316000.088,12083671316000.084,12083671316000.096,12083671316000.086,12083671316000.086,12083671316000.082,12083671316000.092,12083671316000.1,12083671316000.082,12083671316000.084,12083671316000.1,12083671316000.084,12083671316000.088,12083671316000.104,12083671316000.15,12083671316000.078,12083671316000.084,12083671316000.094,12083671316000.078,12083671316000.092,12083671316000.521,12083671316000.088,12083671316000.096,12083671316000.082,12083671316000.084,12083671316000.088,12083671316000.082,12083671316000.082,12083671316000.078,12083671316000.096,12083671316000.094,12083671316000.094,12083671316000.115,12083671316000.168,12083671316000.135,12083671316000.143
"AUT Manufacture of textiles, wearing apparel and leather products",1402547434580.3037,1402547434580.3044,1402547434580.3079,1402547434580.303,1402547434580.3035,1402547434581.411,1402547434580.3042,1402547434580.3044,1402547434580.3076,1402547434580.3018,1402547434580.3054,1402547434580.3035,1402547434580.308,1402547434580.3037,1402547434580.303,1402547434580.3054,1402547434580.3054,1402547434580.3044,1402547434580.3057,1402547434580.3057,1402547434580.3086,1402547434580.3225,1402547434580.3018,1402547434580.302,1402547434580.3047,1402547434580.305,1402547434580.306,1402547434580.303,1402547434580.3035,1402547434580.3032,1402547434580.3013,1402547434580.3022,1402547434580.3008,1402547434580.3032,1402547434580.303,1402547434580.3027,1402547434580.3032,1402547434580.3008,1402547434580.3008,1402547434580.3,1402547434580.3003,1402547434580.3003,1402547434580.3005,1402547434580.301,1402547434580.301,1402547434580.3032,1402547434580.305,1402547434580.3108,1402547434580.3054,1402547434580.3147
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3604256815762.7466,3604256815762.7485,3604256815762.7485,3604256815762.749,3604256815762.744,3604256815762.7505,3604256815763.874,3604256815762.7705,3604256815762.749,3604256815762.747,3604256815762.7437,3604256815762.744,3604256815762.7476,3604256815762.7485,3604256815762.75,3604256815762.7554,3604256815762.747,3604256815762.7446,3604256815762.749,3604256815762.748,3604256815762.7676,3604256815762.9355,3604256815762.751,3604256815762.7544,3604256815762.7466,3604256815762.8003,3604256815762.7456,3604256815762.748,3604256815762.746,3604256815762.7466,3604256815762.744,3604256815762.7466,3604256815762.748,3604256815762.744,3604256815762.744,3604256815762.746,3604256815762.7466,3604256815762.7427,3604256815762.743,3604256815762.742,3604256815762.742,3604256815762.7427,3604256815762.751,3604256815762.7446,3604256815762.744,3604256815762.7505,3604256815762.753,3604256815762.7466,3604256815762.75,3604256815762.7437
AUT Manufacture of paper and paper products,4463181499156.751,4463181499156.747,4463181499156.747,4463181499156.749,4463181499156.766,4463181499156.761,4463181499156.75,4463181499157.921,4463181499156.917,4463181499156.745,4463181499156.76,4463181499156.774,4463181499156.765,4463181499156.759,4463181499156.748,4463181499156.75,4463181499156.757,4463181499156.751,4463181499156.752,4463181499156.748,4463181499156.75,4463181499156.753,4463181499156.748,4463181499156.748,4463181499156.753,4463181499156.751,4463181499156.751,4463181499156.76,4463181499156.761,4463181499156.747,4463181499156.747,4463181499156.75,4463181499156.745,4463181499156.756,4463181499156.756,4463181499156.888,4463181499156.7705,4463181499156.749,4463181499156.75,4463181499156.75,4463181499156.749,4463181499156.747,4463181499156.749,4463181499156.751,4463181499156.75,4463181499156.757,4463181499156.765,4463181499156.761,4463181499156.758,4463181499156.764
AUT Printing and reproduction of recorded media,7531835823177.017,7531835823177.013,7531835823177.012,7531835823177.018,7531835823177.016,7531835823177.022,7531835823177.013,7531835823177.091,7531835823178.228,7531835823177.011,7531835823177.019,7531835823177.022,7531835823177.022,7531835823177.018,7531835823177.016,7531835823177.017,7531835823177.023,7531835823177.018,7531835823177.0205,7531835823177.017,7531835823177.018,7531835823177.018,7531835823177.016,7531835823177.016,7531835823177.028,7531835823177.013,7531835823177.0205,7531835823177.027,7531835823177.039,7531835823177.016,7531835823177.018,7531835823177.017,7531835823177.016,7531835823177.037,7531835823177.019,7531835823177.234,7531835823177.109,7531835823177.03,7531835823177.029,7531835823177.028,7531835823177.032,7531835823177.026,7531835823177.023,7531835823177.033,7531835823177.029,7531835823177.037,7531835823177.049,7531835823177.024,7531835823177.035,7531835823177.041
AUT Manufacture of coke and refined petroleum products ,13489858020312.936,13489858020313.139,13489858020313.008,13489858020312.938,13489858020312.908,13489858020312.904,13489858020312.967,13489858020312.91,13489858020312.912,13489858020313.94,13489858020312.969,13489858020312.906,13489858020312.947,13489858020312.916,13489858020312.943,13489858020312.918,13489858020312.908,13489858020312.906,13489858020312.912,13489858020312.896,13489858020312.91,13489858020312.92,13489858020312.91,13489858020312.922,13489858020312.953,13489858020312.922,13489858020312.902,13489858020312.906,13489858020312.89,13489858020312.975,13489858020312.975,13489858020313.107,13489858020312.896,13489858020312.94,13489858020312.889,13489858020312.898,13489858020312.902,13489858020312.91,13489858020312.896,13489858020312.889,13489858020312.889,13489858020312.898,13489858020312.893,13489858020312.908,13489858020312.9,13489858020312.908,13489858020312.906,13489858020312.904,13489858020312.906,13489858020312.902
