Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
"AUT Crop and animal production, hunting and related service activities",14131677500817.389,14131677500816.186,14131677500816.236,14131677500815.842,14131677500816.666,14131677500816.53,14131677500815.94,14131677500815.826,14131677500815.832,14131677500815.844,14131677500815.879,14131677500815.887,14131677500815.889,14131677500815.83,14131677500815.83,14131677500815.824,14131677500815.85,14131677500815.832,14131677500815.83,14131677500815.832,14131677500815.83,14131677500815.873,14131677500815.824,14131677500815.826,14131677500815.83,14131677500815.838,14131677500815.838,14131677500815.861,14131677500815.9,14131677500815.82,14131677500815.83,14131677500815.826,14131677500815.82,14131677500815.83,14131677500816.148,14131677500815.836,14131677500815.836,14131677500815.826,14131677500815.82,14131677500815.82,14131677500815.82,14131677500815.826,14131677500815.82,14131677500815.832,14131677500815.836,14131677500815.832,14131677500815.842,14131677500815.898,14131677500815.889,14131677500815.988
AUT Forestry and logging,2031710054567.3958,2031710054568.8367,2031710054567.3909,2031710054567.3904,2031710054567.3909,2031710054567.3918,2031710054567.8354,2031710054567.4124,2031710054567.3936,2031710054567.3904,2031710054567.4204,2031710054567.4006,2031710054567.406,2031710054567.3904,2031710054567.3894,2031710054567.3904,2031710054567.3901,2031710054567.3894,2031710054567.3894,2031710054567.3896,2031710054567.3958,2031710054567.4565,2031710054567.3904,2031710054567.3914,2031710054567.3882,2031710054567.4124,2031710054567.3896,2031710054567.3904,2031710054567.3882,2031710054567.3882,2031710054567.3882,2031710054567.3882,2031710054567.3894,2031710054567.3872,2031710054567.3896,2031710054567.392,2031710054567.388,2031710054567.388,2031710054567.388,2031710054567.387,2031710054567.3872,2031710054567.388,2031710054567.3909,2031710054567.388,2031710054567.388,2031710054567.3904,2031710054567.3894,2031710054567.389,2031710054567.391,2031710054567.3894
AUT Fishing and aquaculture,520312474048.1341,520312474048.1335,520312474049.1555,520312474048.1329,520312474048.141,520312474048.14777,520312474048.1335,520312474048.13275,520312474048.1331,520312474048.1329,520312474048.13336,520312474048.1331,520312474048.133,520312474048.133,520312474048.13275,520312474048.1329,520312474048.1341,520312474048.13293,520312474048.1331,520312474048.13367,520312474048.1329,520312474048.18,520312474048.1326,520312474048.13275,520312474048.133,520312474048.13293,520312474048.13367,520312474048.13367,520312474048.144,520312474048.133,520312474048.1328,520312474048.1328,520312474048.13293,520312474048.13306,520312474048.1423,520312474048.1332,520312474048.13306,520312474048.13275,520312474048.1328,520312474048.1327,520312474048.13257,520312474048.1328,520312474048.1325,520312474048.13293,520312474048.13293,520312474048.13275,520312474048.1333,520312474048.1343,520312474048.1351,520312474048.1341
AUT Mining and quarrying,38176039499829.51,38176039499830.05,38176039499829.66,38176039499830.664,38176039499829.48,38176039499829.49,38176039499829.7,38176039499829.5,38176039499829.5,38176039499830.58,38176039499829.73,38176039499829.5,38176039499829.59,38176039499829.67,38176039499830.24,38176039499829.71,38176039499829.57,38176039499829.625,38176039499829.59,38176039499829.555,38176039499829.586,38176039499829.62,38176039499829.6,38176039499829.51,38176039499829.5,38176039499829.586,38176039499829.516,38176039499829.54,38176039499829.46,38176039499829.555,38176039499829.57,38176039499829.664,38176039499829.48,38176039499829.516,38176039499829.47,38176039499829.5,38176039499829.46,38176039499829.49,38176039499829.47,38176039499829.43,38176039499829.44,38176039499829.47,38176039499829.46,38176039499829.47,38176039499829.47,38176039499829.48,38176039499829.445,38176039499829.47,38176039499829.484,38176039499829.48
"AUT Manufacture of food products, beverages and tobacco products",12602739733184.035,12602739733183.97,12602739733184.031,12602739733183.951,12602739733185.254,12602739733184.174,12602739733183.955,12602739733183.945,12602739733183.955,12602739733183.95,12602739733183.99,12602739733183.98,12602739733183.959,12602739733183.947,12602739733183.945,12602739733183.941,12602739733183.97,12602739733183.95,12602739733183.947,12602739733183.947,12602739733183.947,12602739733183.957,12602739733183.945,12602739733183.947,12602739733183.957,12602739733183.945,12602739733183.957,12602739733183.979,12602739733183.994,12602739733183.94,12602739733183.947,12602739733183.945,12602739733183.94,12602739733183.95,12602739733184.38,12602739733183.957,12602739733183.951,12602739733183.945,12602739733183.94,12602739733183.945,12602739733183.941,12602739733183.945,12602739733183.94,12602739733183.951,12602739733183.95,12602739733183.955,12602739733183.97,12602739733184.03,12602739733184.006,12602739733184.043
"AUT Manufacture of textiles, wearing apparel and leather products",950404968830.1742,950404968830.1746,950404968830.1763,950404968830.1737,950404968830.1742,950404968831.2078,950404968830.1749,950404968830.1737,950404968830.176,950404968830.1742,950404968830.1766,950404968830.1753,950404968830.1786,950404968830.1755,950404968830.1735,950404968830.1755,950404968830.1771,950404968830.1754,950404968830.1761,950404968830.1766,950404968830.1779,950404968830.1862,950404968830.1731,950404968830.1731,950404968830.1735,950404968830.1749,950404968830.1766,950404968830.174,950404968830.173,950404968830.1735,950404968830.1727,950404968830.1726,950404968830.172,950404968830.1735,950404968830.1737,950404968830.1735,950404968830.1736,950404968830.1725,950404968830.1724,950404968830.1713,950404968830.1719,950404968830.1722,950404968830.172,950404968830.1721,950404968830.1722,950404968830.1731,950404968830.174,950404968830.1785,950404968830.1752,950404968830.1814
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3863257239264.386,3863257239264.387,3863257239264.386,3863257239264.389,3863257239264.382,3863257239264.3853,3863257239265.525,3863257239264.4434,3863257239264.3906,3863257239264.3887,3863257239264.3833,3863257239264.383,3863257239264.387,3863257239264.3877,3863257239264.387,3863257239264.39,3863257239264.3867,3863257239264.385,3863257239264.387,3863257239264.3867,3863257239264.403,3863257239264.5557,3863257239264.39,3863257239264.3906,3863257239264.3843,3863257239264.445,3863257239264.3857,3863257239264.389,3863257239264.385,3863257239264.3843,3863257239264.385,3863257239264.385,3863257239264.3877,3863257239264.3833,3863257239264.3853,3863257239264.393,3863257239264.385,3863257239264.3843,3863257239264.385,3863257239264.3813,3863257239264.382,3863257239264.383,3863257239264.3906,3863257239264.3843,3863257239264.3843,3863257239264.389,3863257239264.3877,3863257239264.3833,3863257239264.3896,3863257239264.3843
AUT Manufacture of paper and paper products,4607853449950.982,4607853449950.983,4607853449950.982,4607853449950.982,4607853449950.997,4607853449950.988,4607853449950.986,4607853449952.131,4607853449951.127,4607853449950.982,4607853449950.992,4607853449951.014,4607853449950.996,4607853449950.995,4607853449950.9795,4607853449950.983,4607853449950.994,4607853449950.987,4607853449950.986,4607853449950.984,4607853449950.983,4607853449950.985,4607853449950.983,4607853449950.983,4607853449950.984,4607853449950.985,4607853449950.986,4607853449950.999,4607853449950.995,4607853449950.98,4607853449950.983,4607853449950.98,4607853449950.981,4607853449950.987,4607853449950.99,4607853449951.1455,4607853449951.002,4607853449950.987,4607853449950.991,4607853449950.986,4607853449950.986,4607853449950.985,4607853449950.982,4607853449950.985,4607853449950.985,4607853449950.989,4607853449950.992,4607853449950.993,4607853449950.989,4607853449950.995
AUT Printing and reproduction of recorded media,7850115573087.075,7850115573087.078,7850115573087.078,7850115573087.081,7850115573087.073,7850115573087.077,7850115573087.08,7850115573087.092,7850115573088.201,7850115573087.082,7850115573087.079,7850115573087.082,7850115573087.08,7850115573087.081,7850115573087.077,7850115573087.081,7850115573087.086,7850115573087.083,7850115573087.084,7850115573087.081,7850115573087.083,7850115573087.079,7850115573087.083,7850115573087.081,7850115573087.083,7850115573087.081,7850115573087.082,7850115573087.093,7850115573087.092,7850115573087.079,7850115573087.083,7850115573087.079,7850115573087.083,7850115573087.091,7850115573087.079,7850115573087.269,7850115573087.157,7850115573087.097,7850115573087.099,7850115573087.088,7850115573087.096,7850115573087.096,7850115573087.087,7850115573087.097,7850115573087.09,7850115573087.092,7850115573087.095,7850115573087.083,7850115573087.091,7850115573087.088
AUT Manufacture of coke and refined petroleum products ,14446347876691.963,14446347876692.47,14446347876692.074,14446347876691.967,14446347876691.94,14446347876691.941,14446347876692.111,14446347876691.934,14446347876691.94,14446347876692.969,14446347876692.016,14446347876691.936,14446347876691.979,14446347876691.95,14446347876691.973,14446347876691.943,14446347876691.936,14446347876691.936,14446347876691.936,14446347876691.93,14446347876691.941,14446347876691.967,14446347876691.94,14446347876691.941,14446347876691.973,14446347876691.959,14446347876691.936,14446347876691.941,14446347876691.922,14446347876692.004,14446347876692.018,14446347876692.11,14446347876691.93,14446347876691.967,14446347876691.928,14446347876691.938,14446347876691.928,14446347876691.951,14446347876691.934,14446347876691.918,14446347876691.918,14446347876691.934,14446347876691.92,14446347876691.93,14446347876691.932,14446347876691.934,14446347876691.922,14446347876691.926,14446347876691.93,14446347876691.934
