Unnamed: 0,0
"AUT Crop and animal production, hunting and related service activities",808.8
AUT Forestry and logging,0.0
AUT Fishing and aquaculture,0.0
AUT Mining and quarrying,686.2
"AUT Manufacture of food products, beverages and tobacco products",1025.4
"AUT Manufacture of textiles, wearing apparel and leather products",163.4
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",435.8
AUT Manufacture of paper and paper products,1480.5
AUT Printing and reproduction of recorded media,24.8
AUT Manufacture of coke and refined petroleum products ,448.1
AUT Manufacture of chemicals and chemical products ,2030.0
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.0
AUT Manufacture of rubber and plastic products,209.9
AUT Manufacture of other non-metallic mineral products,5259.3
AUT Manufacture of basic metals,21850.9
"AUT Manufacture of fabricated metal products, except machinery and equipment",302.0
"AUT Manufacture of computer, electronic and optical products",22.9
AUT Manufacture of electrical equipment,205.4
AUT Manufacture of machinery and equipment n.e.c.,151.4
"AUT Manufacture of motor vehicles, trailers and semi-trailers",164.5
AUT Manufacture of other transport equipment,11.4
AUT Manufacture of furniture; other manufacturing,126.6
AUT Repair and installation of machinery and equipment,22.2
"AUT Electricity, gas, steam and air conditioning supply",13843.5
"AUT Water collection, treatment and supply",14.3
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",103.5
AUT Construction,1923.8
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,318.1
"AUT Wholesale trade, except of motor vehicles and motorcycles",894.2
"AUT Retail trade, except of motor vehicles and motorcycles",761.3
AUT Land transport and transport via pipelines,3497.5
AUT Water transport,78.6
AUT Air transport,3349.9
AUT Warehousing and support activities for transportation,228.0
AUT Postal and courier activities,70.8
AUT Accommodation and food service activities,792.8
AUT Publishing activities,3.4
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",30.7
AUT Telecommunications,36.5
"AUT Computer programming, consultancy and related activities; information service activities",49.4
"AUT Financial service activities, except insurance and pension funding",206.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",17.0
AUT Activities auxiliary to financial services and insurance activities,34.2
AUT Real estate activities,151.5
AUT Legal and accounting activities; activities of head offices; management consultancy activities,0.0
AUT Architectural and engineering activities; technical testing and analysis,108.4
AUT Scientific research and development,37.0
AUT Advertising and market research,17.9
"AUT Other professional, scientific and technical activities; veterinary activities",34.8
AUT Administrative and support service activities,213.7
AUT Public administration and defence; compulsory social security,151.4
AUT Education,216.3
AUT Human health and social work activities,873.7
AUT Other service activities,747.1
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
AUT Activities of extraterritorial organizations and bodies,0.0
