Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",12386.2
AUT Forestry and logging,268.3
AUT Fishing and aquaculture,1451.1
AUT Mining and quarrying,17929.0
"AUT Manufacture of food products, beverages and tobacco products",32092.8
"AUT Manufacture of textiles, wearing apparel and leather products",1449.8
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-571.2
AUT Manufacture of paper and paper products,1686.8
AUT Printing and reproduction of recorded media,906.6
AUT Manufacture of coke and refined petroleum products ,6614.4
AUT Manufacture of chemicals and chemical products ,2980.4
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,4563.2
AUT Manufacture of rubber and plastic products,2724.9
AUT Manufacture of other non-metallic mineral products,-1037.4
AUT Manufacture of basic metals,614.2
"AUT Manufacture of fabricated metal products, except machinery and equipment",3883.5
"AUT Manufacture of computer, electronic and optical products",2145.4
AUT Manufacture of electrical equipment,1552.1
AUT Manufacture of machinery and equipment n.e.c.,3266.1
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8033.3
AUT Manufacture of other transport equipment,5524.0
AUT Manufacture of furniture; other manufacturing,2453.3
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",18234.7
"AUT Water collection, treatment and supply",9535.1
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1178.1
AUT Construction,241894.8
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7976.4
"AUT Wholesale trade, except of motor vehicles and motorcycles",55158.2
"AUT Retail trade, except of motor vehicles and motorcycles",87591.0
AUT Land transport and transport via pipelines,22654.9
AUT Water transport,2861.8
AUT Air transport,913.9
AUT Warehousing and support activities for transportation,16945.1
AUT Postal and courier activities,1284.8
AUT Accommodation and food service activities,54839.9
AUT Publishing activities,3736.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6780.1
AUT Telecommunications,16254.9
"AUT Computer programming, consultancy and related activities; information service activities",16814.3
"AUT Financial service activities, except insurance and pension funding",32620.0
"AUT Insurance, reinsurance and pension funding, except compulsory social security",36735.4
AUT Activities auxiliary to financial services and insurance activities,2824.1
AUT Real estate activities,168194.8
AUT Legal and accounting activities; activities of head offices; management consultancy activities,28870.1
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,7915.8
AUT Public administration and defence; compulsory social security,114480.0
AUT Education,82267.6
AUT Human health and social work activities,128611.3
AUT Other service activities,29789.4
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,9830.1
AUT Activities of extraterritorial organizations and bodies,0.0
