Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",4603.8
AUT Forestry and logging,170.2
AUT Fishing and aquaculture,455.0
AUT Mining and quarrying,1234.3
"AUT Manufacture of food products, beverages and tobacco products",9989.7
"AUT Manufacture of textiles, wearing apparel and leather products",730.1
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",272.9
AUT Manufacture of paper and paper products,530.9
AUT Printing and reproduction of recorded media,128.8
AUT Manufacture of coke and refined petroleum products ,2934.2
AUT Manufacture of chemicals and chemical products ,1069.4
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,770.6
AUT Manufacture of rubber and plastic products,781.9
AUT Manufacture of other non-metallic mineral products,368.0
AUT Manufacture of basic metals,424.7
"AUT Manufacture of fabricated metal products, except machinery and equipment",1501.7
"AUT Manufacture of computer, electronic and optical products",951.7
AUT Manufacture of electrical equipment,1232.1
AUT Manufacture of machinery and equipment n.e.c.,2216.7
"AUT Manufacture of motor vehicles, trailers and semi-trailers",4476.4
AUT Manufacture of other transport equipment,1666.2
AUT Manufacture of furniture; other manufacturing,1304.4
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",4817.4
"AUT Water collection, treatment and supply",2335.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",385.3
AUT Construction,45971.1
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,2561.9
"AUT Wholesale trade, except of motor vehicles and motorcycles",18183.3
"AUT Retail trade, except of motor vehicles and motorcycles",25353.5
AUT Land transport and transport via pipelines,4569.5
AUT Water transport,4.0
AUT Air transport,268.4
AUT Warehousing and support activities for transportation,2302.7
AUT Postal and courier activities,1.9
AUT Accommodation and food service activities,16892.4
AUT Publishing activities,2162.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1178.7
AUT Telecommunications,5804.6
"AUT Computer programming, consultancy and related activities; information service activities",4759.6
"AUT Financial service activities, except insurance and pension funding",9467.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",11135.3
AUT Activities auxiliary to financial services and insurance activities,928.6
AUT Real estate activities,34613.9
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6237.4
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,1603.7
AUT Public administration and defence; compulsory social security,32917.3
AUT Education,18484.1
AUT Human health and social work activities,24908.4
AUT Other service activities,9038.8
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3267.6
AUT Activities of extraterritorial organizations and bodies,0.0
