Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",8142.7
AUT Forestry and logging,287.4
AUT Fishing and aquaculture,786.6
AUT Mining and quarrying,7427.2
"AUT Manufacture of food products, beverages and tobacco products",24039.8
"AUT Manufacture of textiles, wearing apparel and leather products",1092.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",625.0
AUT Manufacture of paper and paper products,1150.5
AUT Printing and reproduction of recorded media,275.5
AUT Manufacture of coke and refined petroleum products ,6767.3
AUT Manufacture of chemicals and chemical products ,2696.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1380.4
AUT Manufacture of rubber and plastic products,1827.2
AUT Manufacture of other non-metallic mineral products,901.8
AUT Manufacture of basic metals,1103.5
"AUT Manufacture of fabricated metal products, except machinery and equipment",3587.6
"AUT Manufacture of computer, electronic and optical products",3084.6
AUT Manufacture of electrical equipment,3210.3
AUT Manufacture of machinery and equipment n.e.c.,5700.7
"AUT Manufacture of motor vehicles, trailers and semi-trailers",9873.3
AUT Manufacture of other transport equipment,4140.4
AUT Manufacture of furniture; other manufacturing,2684.1
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",11787.0
"AUT Water collection, treatment and supply",5391.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",791.7
AUT Construction,145720.5
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6269.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",45579.8
"AUT Retail trade, except of motor vehicles and motorcycles",60687.0
AUT Land transport and transport via pipelines,14539.0
AUT Water transport,13.4
AUT Air transport,865.2
AUT Warehousing and support activities for transportation,7106.6
AUT Postal and courier activities,6.0
AUT Accommodation and food service activities,40552.1
AUT Publishing activities,4876.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2772.8
AUT Telecommunications,13079.9
"AUT Computer programming, consultancy and related activities; information service activities",11645.7
"AUT Financial service activities, except insurance and pension funding",26159.5
"AUT Insurance, reinsurance and pension funding, except compulsory social security",30696.7
AUT Activities auxiliary to financial services and insurance activities,2394.0
AUT Real estate activities,91124.0
AUT Legal and accounting activities; activities of head offices; management consultancy activities,19723.6
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,4571.8
AUT Public administration and defence; compulsory social security,73571.5
AUT Education,45158.8
AUT Human health and social work activities,68741.3
AUT Other service activities,20181.8
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,7368.0
AUT Activities of extraterritorial organizations and bodies,0.0
