Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",8773.1
AUT Forestry and logging,215.0
AUT Fishing and aquaculture,817.6
AUT Mining and quarrying,8424.4
"AUT Manufacture of food products, beverages and tobacco products",25973.9
"AUT Manufacture of textiles, wearing apparel and leather products",2925.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",19.2
AUT Manufacture of paper and paper products,1117.4
AUT Printing and reproduction of recorded media,410.4
AUT Manufacture of coke and refined petroleum products ,6252.6
AUT Manufacture of chemicals and chemical products ,2596.9
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2156.8
AUT Manufacture of rubber and plastic products,1568.7
AUT Manufacture of other non-metallic mineral products,-169.6
AUT Manufacture of basic metals,-52.1
"AUT Manufacture of fabricated metal products, except machinery and equipment",2678.8
"AUT Manufacture of computer, electronic and optical products",3221.3
AUT Manufacture of electrical equipment,2769.3
AUT Manufacture of machinery and equipment n.e.c.,5236.5
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8560.4
AUT Manufacture of other transport equipment,4209.8
AUT Manufacture of furniture; other manufacturing,2704.2
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",11623.7
"AUT Water collection, treatment and supply",5669.8
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",799.3
AUT Construction,161705.2
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,6324.5
"AUT Wholesale trade, except of motor vehicles and motorcycles",45209.2
"AUT Retail trade, except of motor vehicles and motorcycles",65074.1
AUT Land transport and transport via pipelines,14509.0
AUT Water transport,667.5
AUT Air transport,780.9
AUT Warehousing and support activities for transportation,8820.6
AUT Postal and courier activities,222.6
AUT Accommodation and food service activities,42680.5
AUT Publishing activities,4672.2
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",3443.9
AUT Telecommunications,13648.3
"AUT Computer programming, consultancy and related activities; information service activities",12040.0
"AUT Financial service activities, except insurance and pension funding",27784.0
"AUT Insurance, reinsurance and pension funding, except compulsory social security",33538.8
AUT Activities auxiliary to financial services and insurance activities,2433.4
AUT Real estate activities,96016.6
AUT Legal and accounting activities; activities of head offices; management consultancy activities,20854.3
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,4307.2
AUT Public administration and defence; compulsory social security,82253.9
AUT Education,52170.9
AUT Human health and social work activities,75955.3
AUT Other service activities,21782.6
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8006.9
AUT Activities of extraterritorial organizations and bodies,0.0
