Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",14396.1
AUT Forestry and logging,297.1
AUT Fishing and aquaculture,1270.4
AUT Mining and quarrying,17508.9
"AUT Manufacture of food products, beverages and tobacco products",37957.9
"AUT Manufacture of textiles, wearing apparel and leather products",2634.8
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-353.9
AUT Manufacture of paper and paper products,1724.4
AUT Printing and reproduction of recorded media,893.1
AUT Manufacture of coke and refined petroleum products ,6470.5
AUT Manufacture of chemicals and chemical products ,3588.5
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,5297.7
AUT Manufacture of rubber and plastic products,2282.4
AUT Manufacture of other non-metallic mineral products,-1183.3
AUT Manufacture of basic metals,-11.3
"AUT Manufacture of fabricated metal products, except machinery and equipment",3076.2
"AUT Manufacture of computer, electronic and optical products",3443.4
AUT Manufacture of electrical equipment,2601.0
AUT Manufacture of machinery and equipment n.e.c.,4411.4
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5985.1
AUT Manufacture of other transport equipment,6049.6
AUT Manufacture of furniture; other manufacturing,3160.9
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",19410.6
"AUT Water collection, treatment and supply",9473.5
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1220.3
AUT Construction,252949.6
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7978.4
"AUT Wholesale trade, except of motor vehicles and motorcycles",57275.4
"AUT Retail trade, except of motor vehicles and motorcycles",93339.3
AUT Land transport and transport via pipelines,23175.1
AUT Water transport,3075.8
AUT Air transport,877.8
AUT Warehousing and support activities for transportation,19116.6
AUT Postal and courier activities,1521.7
AUT Accommodation and food service activities,56652.7
AUT Publishing activities,4403.4
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",7198.7
AUT Telecommunications,17786.6
"AUT Computer programming, consultancy and related activities; information service activities",16968.8
"AUT Financial service activities, except insurance and pension funding",33165.3
"AUT Insurance, reinsurance and pension funding, except compulsory social security",36630.6
AUT Activities auxiliary to financial services and insurance activities,2884.0
AUT Real estate activities,167809.1
AUT Legal and accounting activities; activities of head offices; management consultancy activities,30025.5
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,5986.0
AUT Public administration and defence; compulsory social security,121967.4
AUT Education,83875.6
AUT Human health and social work activities,125523.7
AUT Other service activities,30673.3
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,10061.2
AUT Activities of extraterritorial organizations and bodies,0.0
