Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",3990.7
AUT Forestry and logging,162.2
AUT Fishing and aquaculture,384.5
AUT Mining and quarrying,1347.5
"AUT Manufacture of food products, beverages and tobacco products",10900.0
"AUT Manufacture of textiles, wearing apparel and leather products",686.5
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",322.4
AUT Manufacture of paper and paper products,600.8
AUT Printing and reproduction of recorded media,145.3
AUT Manufacture of coke and refined petroleum products ,3167.0
AUT Manufacture of chemicals and chemical products ,1224.8
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,945.7
AUT Manufacture of rubber and plastic products,843.3
AUT Manufacture of other non-metallic mineral products,422.6
AUT Manufacture of basic metals,476.8
"AUT Manufacture of fabricated metal products, except machinery and equipment",1617.3
"AUT Manufacture of computer, electronic and optical products",958.8
AUT Manufacture of electrical equipment,1358.8
AUT Manufacture of machinery and equipment n.e.c.,2355.3
"AUT Manufacture of motor vehicles, trailers and semi-trailers",5129.0
AUT Manufacture of other transport equipment,1875.5
AUT Manufacture of furniture; other manufacturing,1439.6
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",5037.0
"AUT Water collection, treatment and supply",2478.3
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",428.0
AUT Construction,44120.8
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,2670.0
"AUT Wholesale trade, except of motor vehicles and motorcycles",18436.0
"AUT Retail trade, except of motor vehicles and motorcycles",25909.0
AUT Land transport and transport via pipelines,4649.7
AUT Water transport,4.4
AUT Air transport,288.9
AUT Warehousing and support activities for transportation,2479.5
AUT Postal and courier activities,2.0
AUT Accommodation and food service activities,18762.2
AUT Publishing activities,2299.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1199.2
AUT Telecommunications,6319.8
"AUT Computer programming, consultancy and related activities; information service activities",5055.0
"AUT Financial service activities, except insurance and pension funding",10388.0
"AUT Insurance, reinsurance and pension funding, except compulsory social security",12149.0
AUT Activities auxiliary to financial services and insurance activities,1034.8
AUT Real estate activities,36219.5
AUT Legal and accounting activities; activities of head offices; management consultancy activities,6485.9
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,1697.6
AUT Public administration and defence; compulsory social security,34537.2
AUT Education,19785.7
AUT Human health and social work activities,26193.8
AUT Other service activities,9677.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3365.8
AUT Activities of extraterritorial organizations and bodies,0.0
