Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",6412.6
AUT Forestry and logging,163.5
AUT Fishing and aquaculture,668.6
AUT Mining and quarrying,3505.7
"AUT Manufacture of food products, beverages and tobacco products",19007.8
"AUT Manufacture of textiles, wearing apparel and leather products",737.7
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",390.4
AUT Manufacture of paper and paper products,915.6
AUT Printing and reproduction of recorded media,224.8
AUT Manufacture of coke and refined petroleum products ,5419.1
AUT Manufacture of chemicals and chemical products ,1942.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1011.5
AUT Manufacture of rubber and plastic products,1429.7
AUT Manufacture of other non-metallic mineral products,721.6
AUT Manufacture of basic metals,595.0
"AUT Manufacture of fabricated metal products, except machinery and equipment",2789.6
"AUT Manufacture of computer, electronic and optical products",2253.1
AUT Manufacture of electrical equipment,2570.3
AUT Manufacture of machinery and equipment n.e.c.,4320.5
"AUT Manufacture of motor vehicles, trailers and semi-trailers",7968.5
AUT Manufacture of other transport equipment,3275.9
AUT Manufacture of furniture; other manufacturing,2234.9
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",9499.8
"AUT Water collection, treatment and supply",4444.0
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",669.1
AUT Construction,107307.2
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4920.7
"AUT Wholesale trade, except of motor vehicles and motorcycles",35783.6
"AUT Retail trade, except of motor vehicles and motorcycles",46993.2
AUT Land transport and transport via pipelines,10144.5
AUT Water transport,9.3
AUT Air transport,578.9
AUT Warehousing and support activities for transportation,4934.3
AUT Postal and courier activities,4.3
AUT Accommodation and food service activities,32033.6
AUT Publishing activities,3771.8
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2213.5
AUT Telecommunications,10452.4
"AUT Computer programming, consultancy and related activities; information service activities",9107.8
"AUT Financial service activities, except insurance and pension funding",18850.0
"AUT Insurance, reinsurance and pension funding, except compulsory social security",22104.8
AUT Activities auxiliary to financial services and insurance activities,1781.8
AUT Real estate activities,67563.0
AUT Legal and accounting activities; activities of head offices; management consultancy activities,14096.8
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,3319.5
AUT Public administration and defence; compulsory social security,61599.9
AUT Education,36167.3
AUT Human health and social work activities,50782.8
AUT Other service activities,16800.3
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,6101.6
AUT Activities of extraterritorial organizations and bodies,0.0
