Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",5763.7
AUT Forestry and logging,238.2
AUT Fishing and aquaculture,647.0
AUT Mining and quarrying,2977.2
"AUT Manufacture of food products, beverages and tobacco products",17582.4
"AUT Manufacture of textiles, wearing apparel and leather products",784.7
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",492.7
AUT Manufacture of paper and paper products,882.6
AUT Printing and reproduction of recorded media,214.0
AUT Manufacture of coke and refined petroleum products ,5385.5
AUT Manufacture of chemicals and chemical products ,1953.2
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1143.2
AUT Manufacture of rubber and plastic products,1341.3
AUT Manufacture of other non-metallic mineral products,671.1
AUT Manufacture of basic metals,963.5
"AUT Manufacture of fabricated metal products, except machinery and equipment",2570.8
"AUT Manufacture of computer, electronic and optical products",2131.9
AUT Manufacture of electrical equipment,2215.4
AUT Manufacture of machinery and equipment n.e.c.,3930.7
"AUT Manufacture of motor vehicles, trailers and semi-trailers",7562.8
AUT Manufacture of other transport equipment,3078.2
AUT Manufacture of furniture; other manufacturing,2124.5
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",8532.9
"AUT Water collection, treatment and supply",4076.1
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",629.7
AUT Construction,93353.6
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,4554.0
"AUT Wholesale trade, except of motor vehicles and motorcycles",32969.7
"AUT Retail trade, except of motor vehicles and motorcycles",43089.2
AUT Land transport and transport via pipelines,9215.9
AUT Water transport,8.2
AUT Air transport,525.0
AUT Warehousing and support activities for transportation,4485.1
AUT Postal and courier activities,3.8
AUT Accommodation and food service activities,29113.8
AUT Publishing activities,3738.5
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",2024.8
AUT Telecommunications,9945.6
"AUT Computer programming, consultancy and related activities; information service activities",8406.4
"AUT Financial service activities, except insurance and pension funding",16284.2
"AUT Insurance, reinsurance and pension funding, except compulsory social security",19124.2
AUT Activities auxiliary to financial services and insurance activities,1569.6
AUT Real estate activities,60918.3
AUT Legal and accounting activities; activities of head offices; management consultancy activities,11886.4
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,3047.4
AUT Public administration and defence; compulsory social security,55317.3
AUT Education,32310.7
AUT Human health and social work activities,44486.1
AUT Other service activities,15841.0
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,5757.4
AUT Activities of extraterritorial organizations and bodies,0.0
