Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",5658.7
AUT Forestry and logging,210.5
AUT Fishing and aquaculture,563.8
AUT Mining and quarrying,1790.2
"AUT Manufacture of food products, beverages and tobacco products",16472.8
"AUT Manufacture of textiles, wearing apparel and leather products",758.9
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",445.2
AUT Manufacture of paper and paper products,750.7
AUT Printing and reproduction of recorded media,188.2
AUT Manufacture of coke and refined petroleum products ,4594.1
AUT Manufacture of chemicals and chemical products ,1582.1
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,1240.1
AUT Manufacture of rubber and plastic products,1165.4
AUT Manufacture of other non-metallic mineral products,604.1
AUT Manufacture of basic metals,871.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",2304.5
"AUT Manufacture of computer, electronic and optical products",1894.5
AUT Manufacture of electrical equipment,1935.0
AUT Manufacture of machinery and equipment n.e.c.,3637.9
"AUT Manufacture of motor vehicles, trailers and semi-trailers",6616.3
AUT Manufacture of other transport equipment,1984.8
AUT Manufacture of furniture; other manufacturing,1923.8
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",6736.2
"AUT Water collection, treatment and supply",3345.9
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",519.6
AUT Construction,75261.6
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,3853.8
"AUT Wholesale trade, except of motor vehicles and motorcycles",27687.4
"AUT Retail trade, except of motor vehicles and motorcycles",36259.4
AUT Land transport and transport via pipelines,7225.3
AUT Water transport,5.7
AUT Air transport,339.2
AUT Warehousing and support activities for transportation,3455.3
AUT Postal and courier activities,2.9
AUT Accommodation and food service activities,23804.4
AUT Publishing activities,3111.6
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",1682.6
AUT Telecommunications,8223.1
"AUT Computer programming, consultancy and related activities; information service activities",6921.3
"AUT Financial service activities, except insurance and pension funding",13071.6
"AUT Insurance, reinsurance and pension funding, except compulsory social security",15396.7
AUT Activities auxiliary to financial services and insurance activities,1271.8
AUT Real estate activities,49284.2
AUT Legal and accounting activities; activities of head offices; management consultancy activities,9531.7
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,2412.0
AUT Public administration and defence; compulsory social security,46328.3
AUT Education,26566.3
AUT Human health and social work activities,36944.4
AUT Other service activities,13269.3
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4878.7
AUT Activities of extraterritorial organizations and bodies,0.0
