Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",8134.2
AUT Forestry and logging,198.5
AUT Fishing and aquaculture,719.5
AUT Mining and quarrying,5816.3
"AUT Manufacture of food products, beverages and tobacco products",24796.5
"AUT Manufacture of textiles, wearing apparel and leather products",2567.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",11.4
AUT Manufacture of paper and paper products,1042.7
AUT Printing and reproduction of recorded media,434.2
AUT Manufacture of coke and refined petroleum products ,5618.8
AUT Manufacture of chemicals and chemical products ,2127.6
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,2167.8
AUT Manufacture of rubber and plastic products,1470.8
AUT Manufacture of other non-metallic mineral products,-147.6
AUT Manufacture of basic metals,403.5
"AUT Manufacture of fabricated metal products, except machinery and equipment",2692.2
"AUT Manufacture of computer, electronic and optical products",2880.3
AUT Manufacture of electrical equipment,2505.0
AUT Manufacture of machinery and equipment n.e.c.,5294.1
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8383.7
AUT Manufacture of other transport equipment,4111.8
AUT Manufacture of furniture; other manufacturing,2355.1
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",10774.5
"AUT Water collection, treatment and supply",5517.1
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",742.9
AUT Construction,157009.4
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,5979.6
"AUT Wholesale trade, except of motor vehicles and motorcycles",42195.8
"AUT Retail trade, except of motor vehicles and motorcycles",61846.0
AUT Land transport and transport via pipelines,14047.3
AUT Water transport,1142.8
AUT Air transport,673.1
AUT Warehousing and support activities for transportation,9332.8
AUT Postal and courier activities,400.9
AUT Accommodation and food service activities,40642.6
AUT Publishing activities,4144.1
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",3939.8
AUT Telecommunications,13182.4
"AUT Computer programming, consultancy and related activities; information service activities",11548.9
"AUT Financial service activities, except insurance and pension funding",24735.4
"AUT Insurance, reinsurance and pension funding, except compulsory social security",30064.3
AUT Activities auxiliary to financial services and insurance activities,2191.1
AUT Real estate activities,95496.2
AUT Legal and accounting activities; activities of head offices; management consultancy activities,19552.0
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,3958.9
AUT Public administration and defence; compulsory social security,80440.3
AUT Education,52683.1
AUT Human health and social work activities,77710.9
AUT Other service activities,21224.3
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,7555.1
AUT Activities of extraterritorial organizations and bodies,0.0
