Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",13053.1
AUT Forestry and logging,332.6
AUT Fishing and aquaculture,1189.8
AUT Mining and quarrying,18759.3
"AUT Manufacture of food products, beverages and tobacco products",35748.4
"AUT Manufacture of textiles, wearing apparel and leather products",2816.6
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",209.7
AUT Manufacture of paper and paper products,1708.5
AUT Printing and reproduction of recorded media,774.7
AUT Manufacture of coke and refined petroleum products ,6619.3
AUT Manufacture of chemicals and chemical products ,3736.4
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,4410.2
AUT Manufacture of rubber and plastic products,2508.4
AUT Manufacture of other non-metallic mineral products,100.5
AUT Manufacture of basic metals,1343.1
"AUT Manufacture of fabricated metal products, except machinery and equipment",3788.3
"AUT Manufacture of computer, electronic and optical products",3534.7
AUT Manufacture of electrical equipment,2851.7
AUT Manufacture of machinery and equipment n.e.c.,5173.8
"AUT Manufacture of motor vehicles, trailers and semi-trailers",8189.5
AUT Manufacture of other transport equipment,6120.3
AUT Manufacture of furniture; other manufacturing,3212.9
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",16947.2
"AUT Water collection, treatment and supply",8521.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",1111.7
AUT Construction,239979.8
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7986.4
"AUT Wholesale trade, except of motor vehicles and motorcycles",57397.0
"AUT Retail trade, except of motor vehicles and motorcycles",90990.8
AUT Land transport and transport via pipelines,22191.8
AUT Water transport,2878.0
AUT Air transport,873.8
AUT Warehousing and support activities for transportation,17104.0
AUT Postal and courier activities,1156.7
AUT Accommodation and food service activities,56644.9
AUT Publishing activities,4654.6
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",6453.9
AUT Telecommunications,17330.3
"AUT Computer programming, consultancy and related activities; information service activities",16284.3
"AUT Financial service activities, except insurance and pension funding",31538.3
"AUT Insurance, reinsurance and pension funding, except compulsory social security",37219.3
AUT Activities auxiliary to financial services and insurance activities,2762.4
AUT Real estate activities,153427.8
AUT Legal and accounting activities; activities of head offices; management consultancy activities,28917.2
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,5800.0
AUT Public administration and defence; compulsory social security,118636.1
AUT Education,80738.7
AUT Human health and social work activities,118650.1
AUT Other service activities,30573.0
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,10613.2
AUT Activities of extraterritorial organizations and bodies,0.0
