Unnamed: 0,AUT
"AUT Crop and animal production, hunting and related service activities",11566.1
AUT Forestry and logging,309.3
AUT Fishing and aquaculture,1010.7
AUT Mining and quarrying,14407.2
"AUT Manufacture of food products, beverages and tobacco products",30551.1
"AUT Manufacture of textiles, wearing apparel and leather products",2738.2
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",204.1
AUT Manufacture of paper and paper products,1421.6
AUT Printing and reproduction of recorded media,605.9
AUT Manufacture of coke and refined petroleum products ,6209.0
AUT Manufacture of chemicals and chemical products ,3091.2
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,3213.5
AUT Manufacture of rubber and plastic products,2003.8
AUT Manufacture of other non-metallic mineral products,173.9
AUT Manufacture of basic metals,1053.6
"AUT Manufacture of fabricated metal products, except machinery and equipment",3320.9
"AUT Manufacture of computer, electronic and optical products",3170.8
AUT Manufacture of electrical equipment,2696.4
AUT Manufacture of machinery and equipment n.e.c.,5301.9
"AUT Manufacture of motor vehicles, trailers and semi-trailers",7026.6
AUT Manufacture of other transport equipment,5177.7
AUT Manufacture of furniture; other manufacturing,2819.4
AUT Repair and installation of machinery and equipment,0.0
"AUT Electricity, gas, steam and air conditioning supply",13879.7
"AUT Water collection, treatment and supply",7033.4
"AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",930.1
AUT Construction,192136.0
AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,7115.5
"AUT Wholesale trade, except of motor vehicles and motorcycles",50112.1
"AUT Retail trade, except of motor vehicles and motorcycles",76110.9
AUT Land transport and transport via pipelines,18148.7
AUT Water transport,1970.8
AUT Air transport,802.1
AUT Warehousing and support activities for transportation,12893.8
AUT Postal and courier activities,731.2
AUT Accommodation and food service activities,49174.2
AUT Publishing activities,4596.9
"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",5145.4
AUT Telecommunications,15314.8
"AUT Computer programming, consultancy and related activities; information service activities",13482.8
"AUT Financial service activities, except insurance and pension funding",29384.8
"AUT Insurance, reinsurance and pension funding, except compulsory social security",35122.8
AUT Activities auxiliary to financial services and insurance activities,2593.1
AUT Real estate activities,118768.4
AUT Legal and accounting activities; activities of head offices; management consultancy activities,23067.6
AUT Architectural and engineering activities; technical testing and analysis,0.0
AUT Scientific research and development,0.0
AUT Advertising and market research,0.0
"AUT Other professional, scientific and technical activities; veterinary activities",0.0
AUT Administrative and support service activities,5099.4
AUT Public administration and defence; compulsory social security,99826.9
AUT Education,65400.8
AUT Human health and social work activities,100843.3
AUT Other service activities,25469.9
AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,8946.8
AUT Activities of extraterritorial organizations and bodies,0.0
