Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",4512.8,140.3,47.9,17.0,9196.6,211.5,1.5,0.9,0.7,1.7,61.2,4.9,29.0,2.1,5.5,2.3,0.8,0.4,0.7,2.2,0.6,2.7,0.0,3.6,5.4,0.1,153.5,3.1,138.1,328.5,8.7,0.6,2.2,11.1,1.3,420.8,1.1,36.5,9.2,6.8,5.4,2.2,1.5,89.9,28.1,0.0,0.0,0.0,0.0,108.8,47.6,27.4,36.2,139.8,7.7,0.0
AUT Forestry and logging,60.3,31.4,0.7,2.6,0.6,0.1,739.9,138.8,1.9,2.0,74.3,12.2,16.5,0.2,2.3,0.3,0.1,0.1,0.1,0.5,0.1,14.7,0.0,0.4,0.1,0.0,22.5,0.2,3.2,1.9,2.0,0.0,0.6,1.5,0.2,1.5,0.5,0.2,0.9,0.7,0.5,0.3,0.4,4.2,2.7,0.0,0.0,0.0,0.0,3.0,1.4,0.5,0.4,1.2,0.2,0.0
AUT Fishing and aquaculture,8.7,0.0,6.5,0.4,247.3,17.6,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.3,0.0,2.5,0.0,0.2,0.1,0.0,2.7,0.2,6.7,69.9,0.2,0.0,0.4,0.8,0.0,234.6,0.3,0.1,0.3,0.4,0.3,0.1,0.2,1.2,1.7,0.0,0.0,0.0,0.0,1.2,2.3,0.3,0.3,6.5,0.1,0.0
AUT Mining and quarrying,11.9,0.2,0.2,966.4,42.9,2.4,4.6,6.8,2.3,5030.9,137.5,5.0,3.8,215.4,5539.8,12.8,3.4,5.7,9.0,9.5,2.8,2.3,0.0,537.2,7.0,0.1,129.1,5.5,474.7,32.6,48.1,0.5,2.8,11.2,1.9,26.1,2.7,4.9,14.7,18.5,1.6,0.8,5.2,31.0,69.6,0.0,0.0,0.0,0.0,22.2,26.1,6.7,11.2,15.6,2.5,0.0
"AUT Manufacture of food products, beverages and tobacco products",775.9,6.4,41.6,43.7,5458.5,166.6,7.9,9.5,6.9,13.0,145.4,67.0,35.6,10.0,17.5,14.9,9.6,5.8,13.5,29.9,10.7,12.3,0.0,12.0,16.6,3.9,123.9,47.1,380.0,1796.6,20.1,1.5,10.2,18.7,11.0,4323.3,11.7,26.5,57.6,48.6,24.6,1.2,3.4,55.0,116.2,0.0,0.0,0.0,0.0,76.5,225.1,132.1,160.2,347.1,43.0,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",15.8,2.1,3.0,12.3,44.2,205.5,8.3,8.7,10.0,2.9,14.5,3.4,20.0,6.3,13.2,18.0,5.3,4.1,7.4,24.5,8.9,26.6,0.0,6.7,3.0,1.5,90.8,13.1,48.9,30.2,14.1,0.7,4.3,8.7,4.3,42.1,5.9,4.7,12.8,9.0,1.4,0.1,0.4,10.1,16.3,0.0,0.0,0.0,0.0,15.7,41.0,20.2,43.3,32.5,12.7,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",24.2,8.6,10.0,25.8,34.8,18.9,600.0,29.6,11.9,8.3,8.1,2.8,21.6,13.3,19.3,148.7,5.1,4.2,12.6,16.8,63.5,379.7,0.0,3.5,17.9,0.4,2117.4,7.6,163.2,137.3,21.9,0.9,2.6,45.3,5.4,25.0,7.5,15.9,23.9,7.4,1.0,0.2,0.6,73.9,13.2,0.0,0.0,0.0,0.0,23.6,62.4,91.1,12.3,49.8,2.9,0.0
AUT Manufacture of paper and paper products,29.5,0.3,0.3,23.5,484.2,9.6,14.8,416.5,239.6,2.9,50.3,41.8,42.5,48.9,13.2,17.5,9.9,7.1,10.1,14.2,4.7,8.1,0.0,18.3,3.0,1.2,191.5,8.1,242.1,149.7,18.1,1.6,16.3,8.2,9.1,87.5,183.8,6.0,37.3,23.6,10.5,0.2,0.6,15.1,47.6,0.0,0.0,0.0,0.0,36.8,123.0,86.9,103.4,33.7,13.6,0.0
AUT Printing and reproduction of recorded media,11.5,1.3,0.6,29.7,117.2,10.4,8.4,97.7,68.3,2.6,29.0,11.1,22.5,21.2,18.7,25.5,10.4,10.0,27.1,31.9,7.4,8.9,0.0,26.8,6.0,3.7,166.8,16.4,506.5,574.6,18.3,1.7,5.0,7.2,33.1,119.6,115.2,70.3,140.2,131.1,32.4,0.6,0.8,61.4,157.7,0.0,0.0,0.0,0.0,154.0,380.1,175.8,50.2,182.6,37.8,0.0
AUT Manufacture of coke and refined petroleum products ,502.0,72.4,59.1,1453.8,83.7,6.5,35.1,25.3,9.1,608.3,269.4,7.3,111.9,57.4,141.6,49.9,8.5,9.3,14.2,32.5,12.8,8.0,0.0,121.7,161.6,47.9,621.6,99.8,128.0,45.4,2000.6,126.0,916.4,85.2,149.5,48.6,8.9,10.2,214.5,24.2,3.5,0.4,0.9,30.9,59.2,0.0,0.0,0.0,0.0,58.3,283.9,23.5,63.0,58.0,18.2,0.0
