Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",8424.3,275.9,93.5,47.7,18305.2,427.7,2.5,1.5,1.1,1.3,119.3,9.5,59.4,3.1,5.8,4.5,1.5,0.7,1.2,3.6,1.1,6.0,0.0,5.0,10.6,0.1,385.9,6.5,271.1,724.8,18.3,1.3,4.4,23.8,2.8,971.0,1.8,78.6,16.2,12.4,12.1,4.5,2.9,181.5,64.7,0.0,0.0,0.0,0.0,246.1,96.8,60.9,93.0,289.2,15.8,0.0
AUT Forestry and logging,93.8,51.4,1.1,6.1,0.8,0.1,1335.5,237.7,3.2,1.7,121.5,20.3,28.4,0.2,2.5,0.5,0.2,0.1,0.2,0.7,0.1,28.0,0.0,0.5,0.2,0.0,47.7,0.3,4.4,2.9,3.9,0.0,1.1,2.5,0.3,2.3,0.6,0.3,1.3,1.0,0.9,0.5,0.7,6.1,4.6,0.0,0.0,0.0,0.0,4.9,1.9,0.7,0.7,1.7,0.2,0.0
AUT Fishing and aquaculture,15.3,0.0,12.0,0.9,466.1,33.7,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.1,0.1,0.5,0.1,5.5,0.0,0.3,0.1,0.0,5.2,0.3,12.6,146.7,0.3,0.0,0.7,1.4,0.1,515.4,0.5,0.2,0.4,0.7,0.7,0.1,0.5,1.9,3.1,0.0,0.0,0.0,0.0,2.1,4.2,0.5,0.5,12.5,0.2,0.0
AUT Mining and quarrying,62.1,1.1,0.9,6746.5,200.2,12.0,24.4,34.3,13.6,11727.6,598.7,25.5,21.0,910.6,16808.2,70.9,21.1,31.2,48.8,56.9,15.6,12.7,0.0,2172.0,38.5,0.7,977.6,35.7,2184.7,205.0,282.4,3.7,21.5,82.5,12.2,150.9,16.7,28.1,79.3,115.8,12.9,6.1,40.5,201.4,542.4,0.0,0.0,0.0,0.0,160.2,156.4,40.6,75.6,92.4,13.8,0.0
"AUT Manufacture of food products, beverages and tobacco products",1321.3,11.3,74.3,119.8,9941.1,317.6,14.7,17.1,12.4,12.0,259.1,121.7,66.6,16.6,20.7,29.9,18.1,11.1,26.0,54.6,21.8,26.1,0.0,18.5,30.6,7.5,284.2,92.4,702.7,3651.0,43.2,3.0,22.0,39.0,25.5,9177.5,21.5,51.7,109.0,89.1,56.8,2.4,6.6,101.4,258.3,0.0,0.0,0.0,0.0,166.2,431.4,270.8,377.8,657.3,82.3,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",47.5,8.9,13.9,69.6,146.8,1194.7,22.1,29.0,36.0,4.0,50.3,10.6,94.9,22.2,30.1,76.0,19.7,12.2,21.5,76.9,42.0,145.3,0.0,21.6,6.8,8.3,374.6,41.7,208.1,138.4,63.5,3.4,19.6,44.2,22.4,213.9,25.5,19.8,45.2,37.8,6.2,0.3,0.8,33.7,77.8,0.0,0.0,0.0,0.0,80.4,202.1,84.3,276.5,138.1,70.2,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",34.2,12.9,15.0,61.1,53.4,31.6,1004.5,48.0,19.4,6.7,12.0,4.3,34.3,19.5,20.1,265.9,8.2,6.9,21.0,26.6,112.5,669.8,0.0,4.6,28.7,0.7,4548.9,12.0,257.0,235.8,41.9,1.5,4.9,86.1,10.6,44.3,12.4,26.5,38.6,11.4,2.0,0.3,0.9,122.6,24.2,0.0,0.0,0.0,0.0,44.2,101.6,158.6,24.7,81.2,4.8,0.0
AUT Manufacture of paper and paper products,50.1,0.6,0.6,67.0,889.0,23.1,29.0,790.0,457.1,2.7,90.5,77.0,80.8,86.1,16.4,37.0,19.5,14.5,20.2,26.5,9.8,17.0,0.0,30.6,5.6,2.4,484.0,15.7,453.8,304.5,41.3,3.4,37.5,18.1,21.3,186.6,352.3,11.6,71.8,44.3,24.5,0.3,1.1,28.4,109.8,0.0,0.0,0.0,0.0,81.7,238.5,180.2,248.0,64.3,26.3,0.0
AUT Printing and reproduction of recorded media,18.8,2.2,1.0,81.8,208.2,25.8,15.9,179.3,125.7,2.3,50.1,19.8,41.4,35.9,22.6,52.0,19.9,19.7,52.8,59.6,15.0,18.6,0.0,42.9,10.8,6.9,404.8,31.8,908.4,1121.7,40.6,3.5,11.1,15.6,74.5,244.6,211.1,133.7,260.1,239.6,72.8,1.3,1.7,115.8,357.0,0.0,0.0,0.0,0.0,331.4,705.8,348.2,116.5,336.2,69.9,0.0
AUT Manufacture of coke and refined petroleum products ,743.6,112.4,91.0,3611.1,137.2,11.3,60.9,42.2,16.2,507.7,424.9,12.4,188.3,87.9,156.3,94.2,15.6,17.6,26.3,58.9,24.2,15.5,0.0,175.4,267.1,79.9,1379.4,176.8,209.9,81.7,3974.9,231.2,1816.6,166.7,302.8,92.7,14.8,17.9,359.1,40.5,7.2,0.8,1.8,54.3,122.3,0.0,0.0,0.0,0.0,113.7,474.8,43.2,131.8,100.1,30.7,0.0
