Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",7110.9,231.0,79.7,25.1,13427.3,333.7,2.6,1.6,1.2,3.3,100.4,7.9,47.6,3.7,10.3,4.0,1.4,0.7,1.2,3.8,1.1,4.5,0.0,5.8,8.4,0.1,264.1,5.1,224.0,515.4,14.7,1.0,3.8,18.9,2.4,671.0,1.8,58.4,15.8,11.1,9.3,3.9,2.6,136.0,47.0,0.0,0.0,0.0,0.0,171.1,76.1,43.0,59.1,227.2,12.6,0.0
AUT Forestry and logging,78.7,42.7,1.0,3.1,0.8,0.1,986.8,185.0,2.5,3.2,100.7,16.2,22.4,0.3,3.4,0.4,0.2,0.1,0.2,0.7,0.1,19.9,0.0,0.6,0.2,0.0,32.1,0.3,4.7,2.7,2.7,0.0,0.9,2.2,0.2,2.1,0.7,0.3,1.3,1.0,0.8,0.4,0.6,5.6,3.9,0.0,0.0,0.0,0.0,4.4,1.9,0.7,0.6,1.8,0.2,0.0
AUT Fishing and aquaculture,13.4,0.0,10.5,0.6,351.5,27.0,0.2,0.1,0.2,0.5,0.2,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.5,0.1,4.0,0.0,0.3,0.1,0.0,4.6,0.3,10.5,106.4,0.3,0.0,0.6,1.3,0.1,363.0,0.5,0.2,0.4,0.7,0.5,0.1,0.4,1.9,2.8,0.0,0.0,0.0,0.0,1.9,3.6,0.5,0.5,10.3,0.2,0.0
AUT Mining and quarrying,10.8,0.2,0.2,852.5,38.1,2.3,4.5,6.6,2.1,5819.8,138.9,4.8,3.6,220.0,6010.5,12.5,3.2,5.6,8.8,8.8,2.8,2.3,0.0,531.5,6.4,0.1,124.9,5.0,464.3,29.2,47.0,0.5,2.5,10.1,1.8,24.9,2.4,4.6,13.9,16.4,1.5,0.7,4.6,25.3,62.8,0.0,0.0,0.0,0.0,20.3,23.7,6.1,10.8,14.6,2.4,0.0
"AUT Manufacture of food products, beverages and tobacco products",1051.6,9.1,59.6,53.7,6854.0,231.2,11.0,13.2,9.8,21.0,204.9,92.3,50.6,14.3,26.6,20.9,13.5,8.1,18.9,41.7,15.3,17.8,0.0,16.5,22.3,5.2,179.8,64.7,520.4,2414.9,27.9,2.1,14.2,26.1,15.5,5908.6,16.1,36.3,79.2,66.1,34.0,1.6,4.7,69.2,161.0,0.0,0.0,0.0,0.0,107.3,307.8,177.3,224.8,483.8,60.6,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",30.4,5.3,8.2,23.3,80.6,627.9,13.2,17.0,20.9,5.7,31.1,6.4,52.7,14.1,28.8,38.8,11.1,7.2,12.6,44.9,21.6,72.0,0.0,14.3,4.3,4.2,175.9,23.4,115.7,69.5,29.9,1.7,9.3,20.7,10.2,103.5,13.8,10.5,25.7,20.7,2.9,0.2,0.5,17.5,35.8,0.0,0.0,0.0,0.0,38.0,106.0,42.5,120.0,76.9,37.4,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",30.2,11.1,13.1,29.0,40.8,24.8,761.3,38.1,15.5,12.3,10.6,3.6,28.0,17.4,26.6,189.1,6.5,5.4,16.2,21.5,82.6,486.8,0.0,4.5,22.1,0.6,2824.5,9.7,204.9,169.3,27.7,1.1,3.4,57.3,6.9,31.6,9.5,19.9,30.2,9.2,1.3,0.2,0.7,85.0,16.8,0.0,0.0,0.0,0.0,30.4,78.3,111.9,16.2,64.6,3.8,0.0
AUT Manufacture of paper and paper products,38.7,0.5,0.5,27.9,590.7,15.3,19.8,560.3,323.5,4.5,68.8,55.9,58.3,67.6,19.2,23.6,13.4,9.6,13.6,19.0,6.5,11.2,0.0,24.5,3.9,1.6,270.1,10.7,321.0,194.6,24.2,2.2,21.8,11.0,12.3,116.2,242.5,7.8,49.5,30.9,14.0,0.2,0.8,18.2,63.7,0.0,0.0,0.0,0.0,49.6,162.8,112.9,141.0,45.6,18.6,0.0
AUT Printing and reproduction of recorded media,15.0,1.7,0.8,34.8,142.1,17.2,11.1,130.4,91.3,3.9,39.1,14.7,30.6,28.9,27.0,33.8,14.0,13.3,36.0,42.3,10.1,12.3,0.0,35.2,7.6,4.7,232.1,21.5,659.5,734.4,24.2,2.3,6.6,9.7,44.0,156.1,149.4,91.5,183.1,169.6,42.6,0.8,1.1,73.5,208.1,0.0,0.0,0.0,0.0,204.2,493.8,224.1,67.9,242.2,50.7,0.0
AUT Manufacture of coke and refined petroleum products ,647.5,97.4,80.2,1696.2,101.0,8.5,46.4,33.5,12.3,929.4,362.5,9.8,151.3,77.8,204.4,66.6,11.6,12.7,19.2,43.7,17.5,10.9,0.0,159.5,207.2,60.9,863.1,130.5,167.3,58.5,2621.5,166.3,1202.3,111.9,198.7,63.8,11.5,13.4,280.1,31.5,4.6,0.5,1.2,37.4,78.5,0.0,0.0,0.0,0.0,76.7,368.5,30.2,84.3,78.4,24.5,0.0
