Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",12924.2,112.5,228.5,538.9,25139.3,737.5,4.5,3.1,1.9,0.2,86.7,109.1,147.3,5.1,8.1,6.3,0.3,1.1,2.3,2.5,2.5,9.5,0.0,14.3,14.2,0.4,838.4,5.8,435.5,1338.1,50.2,4.5,6.7,27.5,4.6,1257.1,2.0,36.9,13.3,18.0,10.1,11.0,17.1,95.2,123.8,0.0,0.0,0.0,0.0,196.5,167.2,87.7,205.7,478.2,67.6,0.0
AUT Forestry and logging,83.0,201.5,0.2,17.2,2.6,0.1,1430.8,0.4,4.9,0.3,160.8,29.6,25.5,1.1,1.2,1.0,0.1,0.2,0.3,0.7,0.4,0.2,0.0,1.4,0.3,0.3,16.0,0.4,7.4,4.5,5.7,0.4,3.3,8.1,0.9,6.9,0.4,0.6,1.1,4.0,2.9,4.3,3.0,6.6,12.2,0.0,0.0,0.0,0.0,11.0,5.4,3.7,6.4,6.1,0.2,0.0
AUT Fishing and aquaculture,19.1,0.0,19.1,4.2,316.1,22.9,0.3,0.3,0.3,0.0,0.2,0.2,0.3,0.8,0.9,0.7,0.1,0.1,0.2,0.5,0.3,121.7,0.0,1.1,0.2,0.2,12.0,0.3,30.1,419.4,2.1,0.3,2.5,6.3,0.6,246.8,0.3,0.5,0.7,3.0,2.2,3.3,2.2,4.6,9.3,0.0,0.0,0.0,0.0,7.9,8.5,2.7,5.0,16.3,0.2,0.0
AUT Mining and quarrying,115.9,0.7,5.9,4492.0,331.6,6.0,29.7,49.8,21.4,10759.6,550.7,24.6,49.8,611.3,11722.1,108.1,4.9,12.3,24.6,27.5,26.5,28.1,0.0,998.4,28.5,3.3,2469.3,17.2,1366.6,163.8,196.1,17.8,63.6,151.9,60.5,191.8,16.2,20.9,85.5,83.0,27.3,32.5,108.8,271.2,459.1,0.0,0.0,0.0,0.0,193.7,221.0,68.5,121.4,102.6,3.7,0.0
"AUT Manufacture of food products, beverages and tobacco products",1590.8,0.9,42.5,203.0,10851.8,262.2,11.5,18.1,10.9,2.9,243.5,108.6,27.6,21.2,33.2,27.5,5.8,15.4,24.9,24.2,27.4,28.7,0.0,22.5,15.8,8.0,445.8,50.4,1205.2,1535.2,56.5,4.9,31.4,23.1,22.5,11916.8,4.3,21.2,19.9,27.1,95.5,35.1,28.3,49.0,275.3,0.0,0.0,0.0,0.0,191.5,403.8,419.4,1536.2,1157.0,64.6,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",42.4,0.5,2.7,92.4,66.9,65.5,7.1,7.1,12.5,0.6,28.7,11.9,22.3,21.9,22.2,38.2,3.6,6.0,18.5,24.0,23.7,34.7,0.0,17.0,4.7,1.3,309.9,17.7,96.9,49.0,38.3,1.9,5.8,4.3,6.9,38.3,1.3,7.4,11.6,5.1,3.4,2.1,2.3,8.9,24.9,0.0,0.0,0.0,0.0,28.7,55.2,49.1,166.6,72.0,9.0,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",23.0,0.1,1.1,31.5,10.5,3.0,547.4,187.2,1.7,0.5,3.0,1.2,10.9,20.3,24.3,67.5,0.9,2.1,14.2,10.1,74.8,345.8,0.0,2.2,9.5,1.1,6310.1,4.7,52.7,28.5,22.2,0.8,1.9,10.1,2.8,11.3,0.4,3.2,1.7,3.0,1.6,1.7,2.0,6.3,9.7,0.0,0.0,0.0,0.0,8.0,13.8,88.1,15.4,64.0,0.4,0.0
AUT Manufacture of paper and paper products,27.7,0.2,0.5,50.9,651.9,7.7,14.7,579.0,433.5,0.6,70.0,117.3,44.7,88.4,10.6,28.5,4.2,11.1,19.6,14.6,8.1,8.6,0.0,30.7,4.1,2.5,447.7,9.8,643.3,376.1,40.2,5.8,11.1,2.5,20.1,108.7,398.1,55.8,17.4,18.5,25.4,34.4,7.4,12.6,56.4,0.0,0.0,0.0,0.0,76.0,209.5,116.5,181.8,77.3,8.1,0.0
AUT Printing and reproduction of recorded media,64.6,0.1,0.9,239.1,87.2,4.6,9.2,66.8,403.8,0.5,22.2,23.8,14.9,30.2,37.0,51.4,3.5,15.1,34.5,21.9,27.8,10.4,0.0,49.6,11.2,2.8,573.1,19.7,427.7,471.5,79.7,10.8,28.4,61.9,46.8,65.1,536.4,383.7,153.0,154.1,49.8,215.6,156.0,165.2,622.4,0.0,0.0,0.0,0.0,264.7,386.6,219.9,93.4,204.0,7.4,0.0
AUT Manufacture of coke and refined petroleum products ,877.4,230.0,116.8,2247.5,105.0,6.6,17.0,20.1,13.1,100.7,500.7,9.2,128.6,75.3,683.7,84.0,2.1,4.4,11.2,16.7,66.0,3.3,0.0,135.0,74.9,40.8,3073.4,68.2,343.3,134.0,2286.2,279.6,2198.9,98.2,158.9,54.9,16.3,16.9,288.3,7.4,49.2,23.3,101.3,40.6,205.6,0.0,0.0,0.0,0.0,110.0,254.6,43.1,135.1,79.1,7.9,0.0
