Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",7073.8,233.8,83.9,28.3,10154.1,268.8,2.5,1.6,1.2,2.9,78.8,6.6,37.8,3.7,9.8,4.1,1.4,0.8,1.3,4.0,1.1,3.8,0.0,6.1,7.5,0.1,219.6,4.4,186.3,440.3,14.6,0.8,4.1,18.1,2.4,582.4,2.0,48.7,16.3,10.8,9.0,4.1,2.7,122.6,42.6,0.0,0.0,0.0,0.0,142.8,67.4,36.6,48.1,186.0,10.2,0.0
AUT Forestry and logging,92.2,50.8,1.2,4.0,0.8,0.1,850.3,168.9,2.4,2.6,92.0,15.3,20.7,0.3,3.1,0.5,0.2,0.1,0.2,0.9,0.1,19.1,0.0,0.8,0.3,0.0,30.9,0.4,5.4,3.4,2.8,0.1,1.2,2.7,0.3,2.7,0.8,0.4,1.7,1.3,0.9,0.5,0.7,6.8,4.6,0.0,0.0,0.0,0.0,5.0,2.4,0.8,0.7,2.1,0.3,0.0
AUT Fishing and aquaculture,13.8,0.0,11.3,0.8,270.9,22.1,0.2,0.2,0.2,0.5,0.2,0.2,0.3,0.2,0.3,0.3,0.1,0.1,0.1,0.6,0.1,3.4,0.0,0.4,0.1,0.0,4.6,0.3,8.8,91.6,0.3,0.0,0.7,1.4,0.1,316.6,0.6,0.2,0.5,0.8,0.5,0.1,0.4,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.4,0.5,0.5,8.8,0.2,0.0
AUT Mining and quarrying,13.9,0.2,0.2,913.6,32.7,2.1,3.8,6.0,2.2,4202.2,118.4,4.6,3.5,186.7,4878.0,12.1,3.4,5.4,8.4,9.3,2.6,2.1,0.0,468.6,6.6,0.1,120.2,5.3,404.1,32.0,43.9,0.5,2.9,11.1,1.7,25.1,2.7,4.7,14.1,18.7,1.7,0.8,5.4,28.7,68.6,0.0,0.0,0.0,0.0,21.0,26.2,6.3,10.5,15.2,2.3,0.0
"AUT Manufacture of food products, beverages and tobacco products",804.0,7.1,48.1,40.6,3985.2,139.7,6.2,7.9,5.9,10.7,122.3,56.9,30.1,8.5,15.3,13.5,8.4,5.2,12.0,26.5,9.6,10.9,0.0,10.3,14.3,3.4,102.8,39.8,314.6,1563.1,17.8,1.3,9.1,16.2,9.6,3884.1,10.3,23.0,50.9,42.3,21.7,1.0,3.0,43.8,98.4,0.0,0.0,0.0,0.0,63.0,198.6,113.4,137.8,301.5,36.8,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",15.1,2.0,2.9,10.4,29.7,142.7,6.3,6.6,7.8,2.3,11.1,2.7,14.8,4.8,10.5,14.8,4.2,3.4,6.1,20.0,7.1,20.3,0.0,5.1,2.5,1.1,69.9,10.4,36.0,23.4,11.2,0.5,3.5,6.7,3.3,33.3,4.6,3.6,10.3,7.0,1.1,0.1,0.3,7.5,12.5,0.0,0.0,0.0,0.0,11.5,31.4,15.7,32.0,25.2,9.1,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",26.1,9.9,12.0,24.8,26.0,16.4,489.8,25.2,10.3,7.1,7.0,2.4,19.0,11.7,17.3,139.9,4.5,3.8,11.6,15.2,59.1,348.3,0.0,3.0,16.1,0.4,1816.3,6.6,140.6,124.5,19.9,0.8,2.4,40.6,4.8,23.3,6.7,14.4,21.9,6.6,0.9,0.1,0.5,61.2,11.5,0.0,0.0,0.0,0.0,20.2,57.2,81.4,10.9,45.0,2.6,0.0
AUT Manufacture of paper and paper products,32.0,0.4,0.4,22.7,369.3,8.2,12.2,360.0,212.0,2.5,44.3,37.2,37.7,43.4,11.9,16.5,9.0,6.6,9.3,13.1,4.4,7.5,0.0,16.4,2.7,1.1,164.9,7.1,209.3,136.1,16.6,1.5,15.2,7.4,8.2,82.1,168.4,5.4,34.4,21.5,9.6,0.2,0.5,12.6,42.2,0.0,0.0,0.0,0.0,31.7,113.4,77.9,93.0,30.4,12.1,0.0
AUT Printing and reproduction of recorded media,12.1,1.4,0.7,28.1,87.4,8.7,6.7,82.6,59.1,2.2,24.9,9.7,19.6,18.4,16.5,23.5,9.2,9.1,24.5,28.6,6.7,8.0,0.0,23.4,5.2,3.3,140.4,14.1,428.6,511.2,16.4,1.5,4.5,6.4,29.2,109.8,103.2,62.5,126.4,116.8,29.3,0.6,0.7,49.9,136.7,0.0,0.0,0.0,0.0,129.6,342.9,154.1,44.2,161.4,33.1,0.0
AUT Manufacture of coke and refined petroleum products ,505.6,77.5,66.3,1306.2,59.8,5.3,26.7,20.3,7.5,483.8,219.9,6.1,91.9,47.4,119.0,43.9,7.2,8.1,12.3,28.0,11.1,6.9,0.0,100.9,135.0,40.8,496.7,81.8,103.2,38.5,1702.6,106.9,793.8,71.2,125.2,42.7,7.6,8.6,183.8,20.5,3.0,0.3,0.7,24.0,48.9,0.0,0.0,0.0,0.0,46.5,243.4,19.7,52.8,49.0,15.2,0.0
